object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,metric,value
group_coalition,cash,coalition,2021,0.0029406556554447683,0.0,-0.0029406556554447683,0.13294054781997158,0.0,-0.13294054781997158,0.4480266225253758,0.0,0.0,0.0,,
group_coalition,cash,coalition,2022,-0.07098337536211052,0.0,0.07098337536211052,-0.3925555936985177,0.0,0.3925555936985177,0.32954479506388035,0.0,0.0,0.0,,
group_coalition,cash,coalition,2023,-0.06031910763728798,0.0,0.06031910763728798,-0.3898777490492146,0.0,0.3898777490492146,0.39632118769099456,0.0,0.0,0.0,,
group_coalition,cash,coalition,2024,0.06821503071757551,0.0,-0.06821503071757551,0.429718323504386,0.0,-0.429718323504386,0.5440978180036313,0.0,0.0,0.0,,
group_coalition,cash,coalition,2025,0.5165797353772803,0.0,-0.5165797353772803,2.1935321360904703,0.0,-2.1935321360904703,0.5782438235915198,0.0,0.0,0.0,,
group_coalition,cash,coalition,2021H1,0.24893799167194453,0.0,-0.24893799167194453,3.071835242807882,0.0,-3.071835242807882,0.8538239802859432,0.0,0.0,0.0,,
group_coalition,cash,coalition,2021H2,-0.19785984963082448,0.0,0.19785984963082448,-2.7932256547119008,0.0,2.7932256547119008,0.18232715475348094,0.0,0.0,0.0,,
group_coalition,cash,coalition,2022H1,-0.06477702515250938,0.0,0.06477702515250938,-0.7230789850675907,0.0,0.7230789850675907,0.5940029861884063,0.0,0.0,0.0,,
group_coalition,cash,coalition,2022H2,-0.004512956055262585,0.0,0.004512956055262585,0.027823439228323324,0.0,-0.027823439228323324,0.4531125215929731,0.0,0.0,0.0,,
group_coalition,cash,coalition,2023H1,0.0509484040161825,0.0,-0.0509484040161825,0.7678236149964333,0.0,-0.7678236149964333,0.609582179899603,0.0,0.0,0.0,,
group_coalition,cash,coalition,2023H2,-0.10632026926329408,0.0,0.10632026926329408,-2.295242649962902,0.0,2.295242649962902,0.24631167656096872,0.0,0.0,0.0,,
group_coalition,cash,coalition,2024H1,-0.09485536840967668,0.0,0.09485536840967668,-1.2263976900051408,0.0,1.2263976900051408,0.46792793118980697,0.0,0.0,0.0,,
group_coalition,cash,coalition,2024H2,0.18015949433488965,0.0,-0.18015949433488965,1.0655359885390128,0.0,-1.0655359885390128,0.8216312748828363,0.0,0.0,0.0,,
group_coalition,cash,coalition,2025H1,0.03483459850082471,0.0,-0.03483459850082471,0.5727132492529325,0.0,-0.5727132492529325,0.5845653855342942,0.0,0.0,0.0,,
group_coalition,cash,coalition,2025H2,0.466221134770592,0.0,-0.466221134770592,3.257468496072225,0.0,-3.257468496072225,0.7823536094264479,0.0,0.0,0.0,,
group_coalition,structure,coalition,2021,0.0029406556554447683,-0.02127370505539994,-0.024214360710844707,0.13294054781997158,-0.6450200966721777,-0.7779606444921493,0.4811893430101318,4.0,0.04526748971193416,-0.030848947995637865,,
group_coalition,structure,coalition,2022,-0.07098337536211052,0.05093893551022588,0.1219223108723364,-0.3925555936985177,1.5532929085062117,1.9458485022047294,0.339759549386538,6.0,0.049586776859504134,-0.014271211022479857,,
group_coalition,structure,coalition,2023,-0.06031910763728798,0.011020311463902033,0.07133941910119002,-0.3898777490492146,0.3903508221692769,0.7802285712184915,0.3745697717778983,4.0,0.028925619834710745,-0.018919495635305594,,
group_coalition,structure,coalition,2024,0.06821503071757551,-0.04842511023398299,-0.1166401409515585,0.429718323504386,-0.8902868523129892,-1.3200051758173752,0.5252642103087461,5.0,0.08677685950413223,-0.06860688475245913,,
group_coalition,structure,coalition,2025,0.5165797353772803,0.16947006076395166,-0.34710967461332864,2.1935321360904703,1.0051192703312744,-1.188412865759196,0.3054403114783236,16.0,0.345679012345679,-0.18433929320625864,,
group_coalition,structure,coalition,2021H1,0.24893799167194453,0.0,-0.24893799167194453,3.071835242807882,0.0,-3.071835242807882,0.8538239802859432,0.0,0.0,0.0,,
group_coalition,structure,coalition,2021H2,-0.19785984963082448,-0.02127370505539994,0.17658614457542454,-2.7932256547119008,-0.8980642660700778,1.895161388641823,0.21176885344325963,4.0,0.088,-0.030848947995637865,,
group_coalition,structure,coalition,2022H1,-0.06477702515250938,0.04361171557488208,0.10838874072739146,-0.7230789850675907,2.195145452492334,2.9182244375599247,0.6299526926593412,4.0,0.05982905982905983,-0.014271211022479857,,
group_coalition,structure,coalition,2022H2,-0.004512956055262585,0.007021021157574525,0.01153397721283711,0.027823439228323324,0.6295410345919894,0.6017175953636661,0.4717440982518153,2.0,0.04,-0.013593886462882177,,
group_coalition,structure,coalition,2023H1,0.0509484040161825,0.011020311463902033,-0.03992809255228047,0.7678236149964333,0.557915649089941,-0.2099079659064923,0.5595997579781957,4.0,0.059322033898305086,-0.018919495635305594,,
group_coalition,structure,coalition,2023H2,-0.10632026926329408,0.0,0.10632026926329408,-2.295242649962902,0.0,2.295242649962902,0.24631167656096872,0.0,0.0,0.0,,
group_coalition,structure,coalition,2024H1,-0.09485536840967668,-0.06672744265519281,0.028127925754483862,-1.2263976900051408,-2.711917473978311,-1.4855197839731702,0.44033271510950306,4.0,0.10256410256410256,-0.06860688475245913,,
group_coalition,structure,coalition,2024H2,0.18015949433488965,0.019610918886633133,-0.16054857544825651,1.0655359885390128,0.7315211272005225,-0.33401486133849023,0.8038041427319613,1.0,0.072,-0.036121673003802535,,
group_coalition,structure,coalition,2025H1,0.03483459850082471,0.09640625957702054,0.06157166107619583,0.5727132492529325,1.4201522278310321,0.8474389785780996,0.145835455333376,6.0,0.3504273504273504,-0.058008658008657954,,
group_coalition,structure,coalition,2025H2,0.466221134770592,0.06663935065011262,-0.3995817841204794,3.257468496072225,0.7540697757164176,-2.5033987203558072,0.4674575484829175,10.0,0.3412698412698413,-0.18433929320625886,,
group_coalition,trend,coalition,2021,0.0029406556554447683,0.009804454703015608,0.00686379904757084,0.13294054781997158,0.170915085586344,0.03797453776637241,0.17764540922499178,30.0,0.5061728395061729,-0.19589320208932004,,
group_coalition,trend,coalition,2022,-0.07098337536211052,0.04439819445935478,0.1153815698214653,-0.3925555936985177,0.4226950371090679,0.8152506308075856,0.20916221252721307,28.0,0.38016528925619836,-0.14383752026990604,,
group_coalition,trend,coalition,2023,-0.06031910763728798,-0.07673787415358724,-0.016418766516299255,-0.3898777490492146,-0.681803915112607,-0.2919261660633924,0.20421988857392473,30.0,0.3884297520661157,-0.19978578481560572,,
group_coalition,trend,coalition,2024,0.06821503071757551,0.0949364812080733,0.02672145049049779,0.429718323504386,0.5163499674097182,0.08663164390533218,0.3434221413822067,33.0,0.40082644628099173,-0.2384387899280872,,
group_coalition,trend,coalition,2025,0.5165797353772803,0.2227609827791719,-0.2938187525981084,2.1935321360904703,1.2314502378834546,-0.9620818982070156,0.15023605640667423,33.0,0.5102880658436214,-0.14102529516436335,,
group_coalition,trend,coalition,2021H1,0.24893799167194453,0.2213604088892076,-0.02757758278273692,3.071835242807882,3.1861227815118625,0.11428753870398056,0.9999999999999857,11.0,0.559322033898305,-0.049314855464717144,,
group_coalition,trend,coalition,2021H2,-0.19785984963082448,-0.17413447055632714,0.023725379074497344,-2.7932256547119008,-3.4742115201931485,-0.6809858654812477,0.20657751236083954,20.0,0.456,-0.18941249014087647,,
group_coalition,trend,coalition,2022H1,-0.06477702515250938,-0.009312628777410126,0.055464396375099256,-0.7230789850675907,-0.008938796731131135,0.7141401883364595,0.8117803122184447,16.0,0.4017094017094017,-0.08976195567789669,,
group_coalition,trend,coalition,2022H2,-0.004512956055262585,0.05421571405566694,0.058728670110929526,0.027823439228323324,0.9890708768451563,0.961247437616833,0.2749963657318729,12.0,0.36,-0.05310827254929551,,
group_coalition,trend,coalition,2023H1,0.0509484040161825,0.03141986975990263,-0.019528534256279872,0.7678236149964333,0.5726767669198368,-0.19514684807659644,0.4035851645183347,16.0,0.5254237288135594,-0.10343328305761113,,
group_coalition,trend,coalition,2023H2,-0.10632026926329408,-0.10486296326506417,0.0014573059982299075,-2.295242649962902,-3.261099850283974,-0.9658572003210719,0.3939528206340293,14.0,0.25806451612903225,-0.11327288085463505,,
group_coalition,trend,coalition,2024H1,-0.09485536840967668,-0.06153187143326633,0.03332349697641035,-1.2263976900051408,-0.9921124182220161,0.23428527178312464,0.5798489517952413,16.0,0.38461538461538464,-0.10794319531414087,,
group_coalition,trend,coalition,2024H2,0.18015949433488965,0.16672740168630384,-0.013432092648585803,1.0655359885390128,1.0487077102756808,-0.016828278263331997,0.36775754305100283,17.0,0.416,-0.23843878992808643,,
group_coalition,trend,coalition,2025H1,0.03483459850082471,0.04288028411292388,0.008045685612099174,0.5727132492529325,0.7413408675458429,0.1686276182929104,0.24781239444049705,17.0,0.38461538461538464,-0.10827275959215255,,
group_coalition,trend,coalition,2025H2,0.466221134770592,0.17303854357921167,-0.29318259119138035,3.257468496072225,1.5670542689812679,-1.690414227090957,0.3739404120506625,17.0,0.626984126984127,-0.14102529516436368,,
group_coalition,volume_position,coalition,2021,0.0029406556554447683,-0.05649539550143978,-0.05943605115688455,0.13294054781997158,-0.24469581759986764,-0.37763636541983925,0.35005358735203257,29.0,0.6995884773662552,-0.18414880264868216,,
group_coalition,volume_position,coalition,2022,-0.07098337536211052,-0.26822879478158634,-0.19724541941947582,-0.3925555936985177,-1.4780094823187322,-1.0854538886202145,0.3928588964055661,21.0,0.8016528925619835,-0.3598620635709725,,
group_coalition,volume_position,coalition,2023,-0.06031910763728798,-0.05502752827385504,0.005291579363432941,-0.3898777490492146,-0.2923310017388635,0.09754674731035107,0.2054237807802689,27.0,0.8016528925619835,-0.23021313450965208,,
group_coalition,volume_position,coalition,2024,0.06821503071757551,-0.15496899972099665,-0.22318403043857216,0.429718323504386,-0.49677370121379233,-0.9264920247181783,0.2581501798175787,29.0,0.7975206611570248,-0.19976771196283394,,
group_coalition,volume_position,coalition,2025,0.5165797353772803,0.5868497446568925,0.07027000927961224,2.1935321360904703,2.3241762241291055,0.13064408803863525,0.12040711504124822,33.0,0.7777777777777778,-0.13090232044664762,,
group_coalition,volume_position,coalition,2021H1,0.24893799167194453,0.052644532221731266,-0.19629345945021326,3.071835242807882,0.7521064992843692,-2.3197287435235125,0.5148022794695324,13.0,0.7033898305084746,-0.18414880264868216,,
group_coalition,volume_position,coalition,2021H2,-0.19785984963082448,-0.10468021784788661,0.09317963178293787,-2.7932256547119008,-1.3091043926310537,1.484121262080847,0.19598588114479418,17.0,0.696,-0.15348301381046314,,
group_coalition,volume_position,coalition,2022H1,-0.06477702515250938,-0.184628773710513,-0.11985174855800362,-0.7230789850675907,-1.5523282180837836,-0.8292492330161929,0.6781335275747599,3.0,0.9829059829059829,-0.3598620635709725,,
group_coalition,volume_position,coalition,2022H2,-0.004512956055262585,-0.10061171078333819,-0.09609875472807561,0.027823439228323324,-1.5024758791226032,-1.5302993183509266,0.21712279961420689,19.0,0.632,-0.1728868862927434,,
group_coalition,volume_position,coalition,2023H1,0.0509484040161825,0.0862619287140276,0.0353135246978451,0.7678236149964333,1.2559874778527484,0.4881638628563152,0.2694378969780492,15.0,0.8135593220338984,-0.08931103837555465,,
group_coalition,volume_position,coalition,2023H2,-0.10632026926329408,-0.13050416603158976,-0.024183896768295687,-2.295242649962902,-1.9158481179026916,0.37939453206021057,0.35575722455046677,13.0,0.7903225806451613,-0.16529649468369922,,
group_coalition,volume_position,coalition,2024H1,-0.09485536840967668,-0.14856238556416035,-0.05370701715448367,-1.2263976900051408,-1.4972964938736075,-0.27089880386846676,0.44673984971164593,13.0,0.8290598290598291,-0.19976771196283394,,
group_coalition,volume_position,coalition,2024H2,0.18015949433488965,-0.006661580596196037,-0.18682107493108568,1.0655359885390128,0.1628174281001046,-0.9027185604389082,0.2836167088018564,17.0,0.768,-0.18272404362996264,,
group_coalition,volume_position,coalition,2025H1,0.03483459850082471,0.003919965681192794,-0.030914632819631915,0.5727132492529325,0.17261760112877853,-0.400095648124154,0.1976374120526012,15.0,0.7692307692307693,-0.13090232044664762,,
group_coalition,volume_position,coalition,2025H2,0.466221134770592,0.5814005371926443,0.11517940242205227,3.257468496072225,3.7564609240277025,0.4989924279554776,0.27167056897960595,19.0,0.7857142857142857,-0.1076265146115466,,
group_coalition,structure+trend,coalition,2021,0.0029406556554447683,0.0901994398072985,0.08725878415185373,0.13294054781997158,0.7980750372907737,0.6651344894708021,0.16713538919100057,26.0,0.49382716049382713,-0.13371045926980973,,
group_coalition,structure+trend,coalition,2022,-0.07098337536211052,0.0298338465911967,0.10081722195330722,-0.3925555936985177,0.3220571842638579,0.7146127779623757,0.1901389768160052,24.0,0.3512396694214876,-0.13383939274273293,,
group_coalition,structure+trend,coalition,2023,-0.06031910763728798,-0.05682554631706238,0.003493561320225602,-0.3898777490492146,-0.47028474683805205,-0.08040699778883748,0.20362235599679276,28.0,0.40082644628099173,-0.18570868140299113,,
