object_type,object_id,counterfactual,classification,median_return_delta,median_sharpe_delta,max_dominant_share,material_positive_years,material_negative_years
signal,raw__30m__cxt_third_buy_V230228__di_1,drop_and_reaggregate,inconclusive,0.05650430934368811,0.36658120829735763,0.999999999999996,4,1
signal,raw__daily__cxt_seven_bi_V230620__di_1,drop_and_reaggregate,inconclusive,0.03568293305567205,0.28138529747077545,0.999999999999992,4,1
signal,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,drop_and_reaggregate,inconclusive,-0.01605291355070404,-0.13363069213467382,0.6441995210010985,1,4
signal,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,zero_contribution,inconclusive,-0.04677942616171915,-0.13948169119730425,0.5867003261192923,1,4
state,raw__daily__cxt_bi_status_V230101::向上,zero_mapped_state,inconclusive,0.021349537529684603,0.08356146514705542,1.0,4,1
state,raw__daily__cxt_seven_bi_V230620__di_1::向上中枢完成,zero_mapped_state,inconclusive,0.0,0.0,1.0,0,0
state,raw__daily__cxt_seven_bi_V230620__di_1::向下中枢完成,zero_mapped_state,inconclusive,0.0,0.0,1.0,0,1
state,raw__daily__pressure_support_V240406__di_1__w_20::压力位,zero_mapped_state,inconclusive,0.0,0.0,1.0,1,0
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::空头,zero_mapped_state,inconclusive,-0.008547645859188102,-0.07129523201030841,0.8200715529517093,1,4
state,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::空头,zero_mapped_state,inconclusive,-0.017160137883681648,-0.07129523201030841,0.8200715529517093,1,4
state,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::空头,zero_mapped_state,inconclusive,-0.06077482313773763,-0.1822847643846823,0.9022655272506926,0,4
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N7,zero_mapped_state,inconclusive,0.011855475501282076,0.0767982405628791,1.0,5,0
state,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N8,zero_mapped_state,inconclusive,0.019940013906728726,0.05905389555835994,1.0,4,1
state,raw__weekly__cxt_bi_status_V230101::向上,zero_mapped_state,inconclusive,0.01356110099889285,0.10346004179482776,0.9999999999999871,4,1
state,raw__daily__cxt_bi_status_V230101::其他,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
state,raw__daily__cxt_five_bi_V230619__di_1::aAb式顶背驰,zero_mapped_state,insufficient_sample,0.0,0.0,0.0,0,0
