object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,value
threshold,entry,enter=0.10,2021,0.0029406556554447683,-0.10818447699177058,-0.11112513264721535,0.13294054781997158,-0.6104106157693844,-0.7433511635893559,0.3348223654130763,37,0.7119341563786008,-0.25106725252384354,inconclusive,0.1
threshold,entry,enter=0.10,2022,-0.07098337536211052,-0.05170032110122058,0.019283054260889942,-0.3925555936985177,-0.2483633382230318,0.14419225547548592,1.0,27,0.5619834710743802,-0.15008805441749296,inconclusive,0.1
threshold,entry,enter=0.10,2023,-0.06031910763728798,-0.07596812861520996,-0.01564902097792198,-0.3898777490492146,-0.5169523816004862,-0.1270746325512716,0.8697828714896733,31,0.6776859504132231,-0.20381437152612114,inconclusive,0.1
threshold,entry,enter=0.10,2024,0.06821503071757551,0.04362895063979555,-0.02458608007777996,0.429718323504386,0.3554831340095363,-0.0742351894948497,1.0,33,0.5413223140495868,-0.1974778643478592,inconclusive,0.1
threshold,entry,enter=0.10,2025,0.5165797353772803,0.5171290212268613,0.0005492858495810271,2.1935321360904703,2.186350088120841,-0.0071820479696294015,0.639836127729662,23,0.7325102880658436,-0.12466526082289675,inconclusive,0.1
threshold,entry,enter=0.10,2021H1,0.24893799167194453,0.15634969574681024,-0.09258829592513429,3.071835242807882,1.980512180728271,-1.0913230620796108,0.7048201710471318,9,0.6949152542372882,-0.13935706922657198,inconclusive,0.1
threshold,entry,enter=0.10,2021H2,-0.19785984963082448,-0.2296257954049632,-0.031765945774138715,-2.7932256547119008,-3.2246085931314834,-0.43138293841958264,0.4308130061804544,29,0.728,-0.2510672525238431,inconclusive,0.1
threshold,entry,enter=0.10,2022H1,-0.06477702515250938,-0.04536514931331803,0.01941187583919135,-0.7230789850675907,-0.4536033459814355,0.26947563908615524,1.0,13,0.5641025641025641,-0.15008805441749296,inconclusive,0.1
threshold,entry,enter=0.10,2022H2,-0.004512956055262585,-0.004512956055262585,0.0,0.027823439228323324,0.027823439228323324,0.0,0.0,15,0.56,-0.09410443425020654,inconclusive,0.1
threshold,entry,enter=0.10,2023H1,0.0509484040161825,0.0509484040161825,0.0,0.7678236149964333,0.7678236149964333,0.0,0.0,15,0.847457627118644,-0.09040812622954864,inconclusive,0.1
