object_type,object_id,parent,mapped_score,total_days,eligible_years
group,structure,,,1246,
group,trend,,,1246,
group,volume_position,,,1246,
signal,raw__30m__cxt_bi_status_V230101,structure,,1246,
state,raw__30m__cxt_bi_status_V230101::向上,raw__30m__cxt_bi_status_V230101,1.0,505,5.0
state,raw__30m__cxt_bi_status_V230101::向下,raw__30m__cxt_bi_status_V230101,-1.0,679,5.0
signal,raw__30m__cxt_third_buy_V230228__di_1,structure,,1246,
state,raw__30m__cxt_third_buy_V230228__di_1::三买,raw__30m__cxt_third_buy_V230228__di_1,1.0,100,5.0
state,raw__30m__cxt_third_buy_V230228__di_1::其他,raw__30m__cxt_third_buy_V230228__di_1,0.0,1084,5.0
signal,raw__daily__cxt_bi_status_V230101,structure,,1246,
state,raw__daily__cxt_bi_status_V230101::其他,raw__daily__cxt_bi_status_V230101,0.0,11,1.0
state,raw__daily__cxt_bi_status_V230101::向上,raw__daily__cxt_bi_status_V230101,1.0,542,5.0
state,raw__daily__cxt_bi_status_V230101::向下,raw__daily__cxt_bi_status_V230101,-1.0,659,5.0
signal,raw__daily__cxt_five_bi_V230619__di_1,structure,,1246,
state,raw__daily__cxt_five_bi_V230619__di_1::aAb式底背驰,raw__daily__cxt_five_bi_V230619__di_1,1.0,64,4.0
state,raw__daily__cxt_five_bi_V230619__di_1::aAb式顶背驰,raw__daily__cxt_five_bi_V230619__di_1,-1.0,24,2.0
state,raw__daily__cxt_five_bi_V230619__di_1::上颈线突破,raw__daily__cxt_five_bi_V230619__di_1,0.0,72,4.0
state,raw__daily__cxt_five_bi_V230619__di_1::下颈线突破,raw__daily__cxt_five_bi_V230619__di_1,0.0,92,4.0
state,raw__daily__cxt_five_bi_V230619__di_1::其他,raw__daily__cxt_five_bi_V230619__di_1,0.0,852,5.0
state,raw__daily__cxt_five_bi_V230619__di_1::类三买,raw__daily__cxt_five_bi_V230619__di_1,1.0,27,3.0
state,raw__daily__cxt_five_bi_V230619__di_1::类三卖,raw__daily__cxt_five_bi_V230619__di_1,0.0,51,4.0
state,raw__daily__cxt_five_bi_V230619__di_1::类趋势底背驰,raw__daily__cxt_five_bi_V230619__di_1,1.0,17,2.0
state,raw__daily__cxt_five_bi_V230619__di_1::类趋势顶背驰,raw__daily__cxt_five_bi_V230619__di_1,-1.0,13,2.0
signal,raw__daily__cxt_seven_bi_V230620__di_1,structure,,1246,
state,raw__daily__cxt_seven_bi_V230620__di_1::aAbcd式底背驰,raw__daily__cxt_seven_bi_V230620__di_1,1.0,14,2.0
