mechanism,direction,quantile,raw_events,independent_events,rolling_60_median,rolling_60_p10,rolling_60_minimum,rolling_60_maximum,density_pass
VOL_REPRICING_UP_Q50,VOL_REPRICING_UP,0.5,119,60,6.0,0.0,0.0,10.0,False
VOL_REPRICING_DOWN_Q50,VOL_REPRICING_DOWN,0.5,108,57,6.0,0.0,0.0,11.0,False
VOL_REPRICING_UP_Q60,VOL_REPRICING_UP,0.6,107,56,5.0,0.0,0.0,10.0,False
VOL_REPRICING_DOWN_Q60,VOL_REPRICING_DOWN,0.6,93,52,5.0,0.0,0.0,11.0,False
VOL_REPRICING_UP_Q70,VOL_REPRICING_UP,0.7,84,45,4.0,0.0,0.0,10.0,False
VOL_REPRICING_DOWN_Q70,VOL_REPRICING_DOWN,0.7,75,49,4.0,0.0,0.0,10.0,False
