trial_id,annualized_sharpe
20260910_S003_EX05:M01:09:45,-0.9258423387254533
20260910_S003_EX05:M01:10:30,-0.5559380912714105
20260910_S003_EX05:M01:11:30,-0.20577645056629676
20260910_S003_EX05:M01:15:00,-0.4553277940726149
20260910_S003_EX05:M02:09:45,-1.6641411751111477
20260910_S003_EX05:M02:10:30,-1.457125897999085
20260910_S003_EX05:M02:11:30,-1.0125465356462782
20260910_S003_EX05:M02:15:00,-0.6705885998875594
20260910_S003_EX05:M03:09:45,-1.342514133126243
20260910_S003_EX05:M03:10:30,-1.2349935953955795
20260910_S003_EX05:M03:11:30,-1.1228552175414797
20260910_S003_EX05:M03:15:00,-0.49622725104258764
20260910_S003_EX05:M04:09:45,-1.0218060726459608
20260910_S003_EX05:M04:10:30,-0.40429444751182414
20260910_S003_EX05:M04:11:30,-0.06552549124085905
20260910_S003_EX05:M04:15:00,-0.12004769519294821
20260910_S003_EX05:M05:09:45,-1.755784890259222
20260910_S003_EX05:M05:10:30,-1.3760750253075733
20260910_S003_EX05:M05:11:30,-1.1174670078224878
20260910_S003_EX05:M05:15:00,-0.4456886682073959
20260910_S003_EX05:M06:09:45,-0.7412638005897386
20260910_S003_EX05:M06:10:30,-0.34297435031562534
20260910_S003_EX05:M06:11:30,-0.148672606263051
20260910_S003_EX05:M06:15:00,-0.2785054364781565
20260910_S003_EX05:M07:09:45,-1.1867474894326937
20260910_S003_EX05:M07:10:30,-0.9143758313747027
20260910_S003_EX05:M07:11:30,-0.24263159298098716
20260910_S003_EX05:M07:15:00,-0.029176258615678727
20260910_S003_EX06:M01:12,-3.1467424388478795
20260910_S003_EX06:M01:24,-1.617171137137402
20260910_S003_EX06:M01:3,-5.375185236059646
20260910_S003_EX06:M01:6,-4.419794248994273
20260910_S003_EX06:M02:12,-2.8327124276680333
20260910_S003_EX06:M02:24,-1.736004982352001
20260910_S003_EX06:M02:3,-5.887086264455163
20260910_S003_EX06:M02:6,-3.987215222543177
20260910_S003_EX06:M03:12,-3.131331907477942
20260910_S003_EX06:M03:24,-1.7473488344790034
20260910_S003_EX06:M03:3,-6.506331696003103
20260910_S003_EX06:M03:6,-4.709168400103707
20260910_S003_EX06:M04:12,-2.4671051675283953
20260910_S003_EX06:M04:24,-1.4070924905374396
20260910_S003_EX06:M04:3,-4.574851142922749
20260910_S003_EX06:M04:6,-3.2501902419129896
20260910_S003_EX06:M05:12,-2.543167568827694
20260910_S003_EX06:M05:24,-1.4263865745139268
20260910_S003_EX06:M05:3,-5.035561275831116
20260910_S003_EX06:M05:6,-3.892709992625542
20260910_S003_EX06:M06:12,-2.7520625358416235
20260910_S003_EX06:M06:24,-1.4315738435699887
20260910_S003_EX06:M06:3,-4.88087524749904
20260910_S003_EX06:M06:6,-3.5503289753339895
20260910_S003_EX06:M07:12,-3.1497776138642264
20260910_S003_EX06:M07:24,-2.2792893709857727
20260910_S003_EX06:M07:3,-5.289476095209726
20260910_S003_EX06:M07:6,-3.870216584896685
20260910_S003_EX07:M01,-8.292515689563297
20260910_S003_EX07:M02,2.2437919339465857
20260910_S003_EX07:M03,-1.12592858782444
20260910_S003_EX07:M04,-3.2949163003716477
20260910_S003_EX07:M05,4.958835783325537
20260910_S003_EX07:M06,-8.126412124330056
20260910_S003_EX07:M07,-4.885252240298484
20260910_S003_EX08:M01,-1.8977052959217338
20260910_S003_EX08:M02,-3.0598331046779093
20260910_S003_EX08:M03,-2.539052673499232
20260910_S003_EX08:M04,-1.322335493101022
20260910_S003_EX08:M05,-2.1247191875591316
20260910_S003_EX08:M06,-1.5700079484947713
20260910_S003_EX08:M07,-2.437842818202772
20260910_S003_EX10:CONTINUATION:-1:10:30,-1.3083316824975786
20260910_S003_EX10:CONTINUATION:-1:11:30,-0.385708745672729
20260910_S003_EX10:CONTINUATION:-1:15:00,0.6311023990857855
20260910_S003_EX10:CONTINUATION:1:10:30,-1.1010190909953967
20260910_S003_EX10:CONTINUATION:1:11:30,-0.09108498793886127
20260910_S003_EX10:CONTINUATION:1:15:00,-0.022047348040198367
20260910_S003_EX10:REVERSAL:-1:10:30,-1.3316955840832616
20260910_S003_EX10:REVERSAL:-1:11:30,-1.6372006288709986
20260910_S003_EX10:REVERSAL:-1:15:00,-1.0586497314264487
20260910_S003_EX10:REVERSAL:1:10:30,-1.0110611196437589
20260910_S003_EX10:REVERSAL:1:11:30,-1.5026274393889973
20260910_S003_EX10:REVERSAL:1:15:00,-1.770392866682734
20260910_S003_EX12:PRESSURE_CONTINUATION:-1:15:00,-0.06814486464406988
20260910_S003_EX12:PRESSURE_CONTINUATION:1:15:00,-0.3744256004734899
20260910_S003_EX12:PRESSURE_REVERSAL:-1:15:00,-1.5557467577742672
20260910_S003_EX12:PRESSURE_REVERSAL:1:15:00,-1.2995362533051127
