entry_signal_date,net_return_4,net_return_5,net_return_6,delta_5_vs_4,delta_5_vs_6,delta_5_vs_neighbor_mean,band_return_4_6,absolute_peak_contribution
2021-03-10,0.018200598747110552,0.026237849490034604,0.023856441862501576,0.008037250742924051,0.0023814076275330276,0.0052093291852285395,0.022764963366548912,0.0052093291852285395
2021-05-21,0.02309104507963755,0.02281572456158587,0.02873511569969467,-0.00027532051805168045,-0.005919391138108798,-0.0030973558280802393,0.024880628446972697,0.0030973558280802393
2022-08-04,0.029904729769356875,0.04478979468687694,0.04011163142708485,0.014885064917520063,0.00467816325979209,0.009781614088656077,0.03826871862777289,0.009781614088656077
2022-10-25,-0.010513790723685634,0.01089336284238862,0.013781629593366596,0.021407153566074255,-0.0028882667509779747,0.00925944340754814,0.00472040057068986,0.00925944340754814
2022-12-02,-0.005178073768778324,-0.004374501938219977,-0.00662450306378326,0.0008035718305583472,0.0022500011255632835,0.0015267864780608154,-0.00539235959026052,0.0015267864780608154
2023-02-17,0.012676724356701197,0.008383025933706323,0.007110818993559809,-0.004293698422994874,0.0012722069401465141,-0.0015107457414241798,0.009390189761322443,0.0015107457414241798
2023-03-06,-0.029096389305347303,-0.02566232508745614,-0.026130606571714066,0.003434064217891164,0.00046828148425792637,0.0019511728510745452,-0.026963106988172503,0.0019511728510745452
2023-03-20,0.018983732847239976,0.01866142263599624,0.017694492002265028,-0.00032231021124373704,0.0009669306337312111,0.00032231021124373704,0.018446549161833747,0.00032231021124373704
2023-03-29,0.02047924914752386,0.02238847131618149,0.03129817476991725,0.0019092221686576316,-0.008909703453735762,-0.0035002406425390653,0.024721965077874202,0.0035002406425390653
2023-05-11,-0.0032670111118239253,-0.004724696665934225,-0.002781115927120714,-0.0014576855541102995,-0.0019435807388135107,-0.0017006331464619051,-0.0035909412349596215,0.0017006331464619051
2023-07-10,0.003922492686978751,0.0026099612371512926,-0.0001791680937326401,-0.0013125314498274587,0.0027891293308839327,0.000738298940528237,0.0021177619434658013,0.000738298940528237
2023-07-18,-0.004933863885254519,0.0027709315673636326,0.0019512724766597156,0.007704795452618152,0.000819659090703917,0.004262227271661034,-7.055328041039033e-05,0.004262227271661034
2023-09-15,-0.01770692240086824,-0.0009995002498748295,-0.00582226128315122,0.016707422150993412,0.00482276103327639,0.010765091592134901,-0.008176227977964764,0.010765091592134901
2023-10-11,-0.013495684402413,-0.027206775347558887,-0.038314494594259396,-0.013711090945145887,0.01110771924670051,-0.001301685849222689,-0.02633898478141043,0.001301685849222689
2023-11-02,0.02323501322115229,0.0196447149291481,0.0196447149291481,-0.0035902982920041904,0.0,-0.0017951491460020952,0.02084148102648283,0.0017951491460020952
2023-12-15,-0.018916357038871623,-0.021269075607123655,-0.022716902418355778,-0.0023527185682520324,0.0014478268112321224,-0.000452445878509955,-0.020967445021450353,0.000452445878509955
2024-03-14,0.02185883078962081,0.014361298208666051,-0.0017309668431388925,-0.007497532580954758,0.016092265051804944,0.004297366235425093,0.011496387385049323,0.004297366235425093
2024-06-03,-0.012710226471184694,-0.009310338213385005,-0.002888327059763607,0.003399888257799688,-0.006422011153621399,-0.0015110614479108553,-0.00830296391477777,0.0015110614479108553
2024-11-26,0.043231583793022166,0.04012158569625601,0.03061881373391473,-0.0031099980967661534,0.009502771962341283,0.003196386932787565,0.037990661074397636,0.003196386932787565
2025-01-23,0.03039304553146316,0.04815225714490601,0.05496892422885358,0.01775921161344285,-0.00681666708394757,0.00547127226474764,0.04450474230174092,0.00547127226474764
2025-03-25,-0.012617743041507867,-0.010092038086805255,-0.01581696931746479,0.0025257049547026122,0.005724931230659536,0.004125318092681074,-0.012842250148592638,0.004125318092681074
2025-04-24,0.007013872742773097,0.03247859136385478,0.020191419441794478,0.025464718621081683,0.012287171922060303,0.018875945271570993,0.019894627849474118,0.018875945271570993
2025-11-20,-0.0056440503332439995,-0.008036697345888744,0.0066006726138199134,-0.002392647012644744,-0.014637369959708657,-0.0085150084861767,-0.002360025021770943,0.0085150084861767
2026-04-02,0.04027400357246358,0.03638027679677136,0.05260413836215583,-0.003893726775692219,-0.016223861565384468,-0.010058794170538343,0.043086139577130256,0.010058794170538343
2026-08-03,0.07014752329323981,0.06894390823329988,0.06747282316003989,-0.0012036150599399331,0.0014710850732599923,0.00013373500666002958,0.06885475156219319,0.00013373500666002958
