mechanism,event_date,prior_supply_pressure_score,first_hour_absorption_score,supply_absorption_score,threshold
SUPPLY_ABSORPTION_Q50,2021-08-09,0.6888888888888889,0.21833333333333332,0.33157787303531333,0.0
SUPPLY_ABSORPTION_Q50,2021-08-13,0.5027777777777778,0.5266666666666666,0.5144450440726749,0.0
SUPPLY_ABSORPTION_Q50,2021-08-19,0.7416666666666667,0.31666666666666665,0.4438320209973753,0.0
SUPPLY_ABSORPTION_Q50,2021-08-25,0.2138888888888889,0.3516666666666667,0.26599541584806813,0.0
SUPPLY_ABSORPTION_Q50,2021-08-31,0.7972222222222222,0.33999999999999997,0.4766976062530532,0.0
SUPPLY_ABSORPTION_Q50,2021-09-06,0.5472222222222223,0.7,0.6142538975501114,0.0
SUPPLY_ABSORPTION_Q50,2021-09-10,0.6916666666666667,0.28500000000000003,0.40366894197952224,0.0
SUPPLY_ABSORPTION_Q50,2021-09-16,0.6527777777777777,0.3166666666666667,0.4264565425023878,0.0
SUPPLY_ABSORPTION_Q50,2021-09-24,0.4111111111111111,0.8083333333333332,0.5450265755504935,0.0
SUPPLY_ABSORPTION_Q50,2021-09-30,0.5138888888888888,0.45666666666666667,0.4835909177637855,0.0
SUPPLY_ABSORPTION_Q50,2021-10-13,0.8250000000000001,0.5583333333333333,0.6659638554216869,0.0
SUPPLY_ABSORPTION_Q50,2021-10-19,0.763888888888889,0.3883333333333333,0.5149067823850851,0.0
SUPPLY_ABSORPTION_Q50,2021-10-25,0.41666666666666663,0.33333333333333337,0.3703703703703704,0.0
SUPPLY_ABSORPTION_Q50,2021-10-29,0.55,0.8516666666666666,0.6683709869203329,0.0
SUPPLY_ABSORPTION_Q50,2021-11-04,0.38611111111111107,0.7366666666666666,0.506663367969652,0.0
SUPPLY_ABSORPTION_Q50,2021-11-10,0.20277777777777783,0.3516666666666667,0.2572311289245158,0.11543029595015579
SUPPLY_ABSORPTION_Q50,2021-11-16,0.4472222222222222,0.34500000000000003,0.3895161290322581,0.2847403533830156
SUPPLY_ABSORPTION_Q50,2021-11-22,0.22222222222222232,0.9383333333333332,0.35934258816020437,0.31256738544474394
SUPPLY_ABSORPTION_Q50,2021-11-29,0.7166666666666668,0.8316666666666667,0.7698959454610693,0.33169303607841805
SUPPLY_ABSORPTION_Q50,2021-12-03,0.9388888888888889,0.6633333333333333,0.7774156264447527,0.3412600183133224
SUPPLY_ABSORPTION_Q50,2021-12-09,0.30833333333333324,0.655,0.41929065743944627,0.3449611092712185
SUPPLY_ABSORPTION_Q50,2021-12-15,0.45833333333333337,0.5266666666666666,0.4901297236322617,0.3643990334862363
SUPPLY_ABSORPTION_Q50,2021-12-21,0.8472222222222222,0.38333333333333336,0.5278404815650865,0.39045302146569855
SUPPLY_ABSORPTION_Q50,2021-12-30,0.875,0.9283333333333333,0.9008780036968577,0.4033433873134923
SUPPLY_ABSORPTION_Q50,2022-01-06,0.875,0.425,0.5721153846153846,0.40660194424111673
SUPPLY_ABSORPTION_Q50,2022-01-12,0.8972222222222223,0.8416666666666668,0.8685569755058575,0.4184295055667272
SUPPLY_ABSORPTION_Q50,2022-01-20,0.8722222222222222,0.3633333333333334,0.5129796163069545,0.43459197360363416
SUPPLY_ABSORPTION_Q50,2022-01-26,0.95,0.385,0.547940074906367,0.44249969582509285
SUPPLY_ABSORPTION_Q50,2022-02-08,0.6611111111111112,0.43499999999999994,0.5247339077546884,0.444962356775009
SUPPLY_ABSORPTION_Q50,2022-02-14,0.6694444444444445,0.6333333333333334,0.6508884150675196,0.44851082532483355
SUPPLY_ABSORPTION_Q50,2022-02-22,0.5444444444444445,0.4966666666666667,0.5194592671647101,0.444962356775009
SUPPLY_ABSORPTION_Q50,2022-03-02,0.5638888888888889,0.4699999999999999,0.5126813541106932,0.46192467717670654
SUPPLY_ABSORPTION_Q50,2022-03-08,0.9583333333333334,0.43,0.5936374549819928,0.47361075213233395
SUPPLY_ABSORPTION_Q50,2022-03-15,0.8972222222222223,0.7516666666666667,0.818019991015274,0.46192467717670654
SUPPLY_ABSORPTION_Q50,2022-03-21,0.5222222222222224,0.72,0.605366726296959,0.46192467717670654
SUPPLY_ABSORPTION_Q50,2022-03-25,0.8583333333333333,0.3466666666666667,0.4938681420009221,0.44914658047628786
SUPPLY_ABSORPTION_Q50,2022-04-01,0.9027777777777778,0.7233333333333334,0.8031545382074935,0.46192467717670654
SUPPLY_ABSORPTION_Q50,2022-04-11,0.9,0.3616666666666667,0.5159841479524439,0.46192467717670654
