scenario_id,blocking,net_cagr,max_drawdown,calmar,profit_factor,closed_trades
total_cost_15bp,True,0.22486946819457065,-0.12038409756598889,1.8679333295770881,2.4778218783539305,139
total_cost_20bp,False,0.21145638576411985,-0.1603424207721087,1.31878005050615,2.2466815521641217,139
total_cost_30bp,False,0.18245923444169798,-0.2692986399846582,0.6775349272172061,1.856545507074233,139
total_cost_50bp,False,0.11264270603817583,-0.5371206299999984,0.20971584360514353,1.295637038033274,139
