l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688206.SH,概伦电子,2021-12-10,2022-11-10,N
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688209.SH,英集芯,2022-04-01,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688213.SH,思特威-W,2022-04-29,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,688216.SH,气派科技,2021-06-07,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688220.SH,翱捷科技-U,2021-12-24,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688230.SH,芯导科技,2021-11-19,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688233.SH,神工股份,2020-02-04,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688234.SH,天岳先进,2021-12-24,,Y
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688249.SH,晶合集成,2023-04-14,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688252.SH,天德钰,2022-09-09,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688256.SH,寒武纪,2020-07-07,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688259.SH,创耀科技,2021-12-24,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688261.SH,东微半导,2022-01-14,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688262.SH,国芯科技,2021-12-17,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688270.SH,ST臻镭,2022-01-14,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688279.SH,峰岹科技,2022-04-01,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688286.SH,敏芯股份,2020-07-22,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688325.SH,赛微微电,2022-04-01,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688332.SH,中科蓝讯,2022-07-01,,Y
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688347.SH,华虹宏力,2023-07-31,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,688352.SH,颀中科技,2023-03-31,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688361.SH,中科飞测,2023-05-04,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,688362.SH,甬矽电子,2022-10-28,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688368.SH,晶丰明源,2019-09-19,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,688372.SH,伟测科技,2022-09-30,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688380.SH,中微半导,2022-07-25,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688381.SH,帝奥微,2022-08-05,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688385.SH,复旦微电,2021-07-23,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688391.SH,钜泉科技,2022-08-26,,Y
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688396.SH,华润微,2020-02-04,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688401.SH,路维光电,2022-08-05,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,688403.SH,汇成股份,2022-08-05,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688409.SH,富创精密,2022-09-16,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688416.SH,恒烁股份,2022-08-12,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688419.SH,耐科装备,2022-10-21,,Y
