feature,discovery_tau,confirmation_tau,tau_2024,tau_2025,tau_2026,same_sign_confirmation_years,fsc_review_proposal
w20__tsfresh__log_amount_change__minimum,0.11448054986392987,0.03285187355553878,-0.1220257754940366,0.05093451832818368,0.10046110956844154,2,True
w20__tsfresh__log_volume_change__minimum,0.1100286225253377,0.038794625528334466,-0.10874598053433827,0.0575157481877703,0.11445978877060141,2,True
w60__tsfresh__range_pct__minimum,0.08626557599076648,-0.03429496612730154,-0.07160385855483667,-0.0368381407428994,-0.03525984043963503,0,False
w60__tsfresh__return_1d__absolute_maximum,0.08618254579228288,0.03213972836816794,0.16159689161690519,-0.017635915760152342,0.045644704256154287,2,True
w10__tsfresh__log_amount_change__minimum,0.0833084093930089,-0.029030795274404022,-0.11733293697684673,0.004795075659101381,0.0004821590044931845,2,False
