cycle_id,status,entry_date,exit_date,quantity,entry_price,exit_price,net_return
CYC-BC25D85C0E0BF909F39C,CLOSED,2021-03-09,2021-03-12,63900,1.304,1.2969999999999997,-0.007355374686663141
CYC-6519598E05B0CF6AD11E,CLOSED,2021-03-24,2021-03-26,65500,1.259,1.251,-0.008339555599285564
CYC-60D4E030B79972A8E7C3,CLOSED,2021-04-06,2021-04-07,62100,1.327,1.32,-0.007262518943001228
CYC-03B681EF1D77A5269296,CLOSED,2021-04-13,2021-04-15,64400,1.267,1.277,0.0058788882782567775
CYC-98BCC19F4E942546A24B,CLOSED,2021-04-21,2021-04-22,62400,1.311,1.312,-0.0012367495205022339
CYC-9B71D0C6107B2A3200A3,CLOSED,2021-04-27,2021-05-06,61200,1.34,1.346,0.0024706636646936175
CYC-C54F14FCC3A7DA29D988,CLOSED,2021-05-10,2021-05-12,63500,1.295,1.28,-0.013557870700727781
CYC-3DA4227C2439BC1BC782,CLOSED,2021-05-18,2021-05-19,60000,1.356,1.345,-0.010093888412472496
CYC-DF5E2049863571C4A0BC,CLOSED,2021-05-27,2021-06-01,57900,1.385,1.47,0.05925121809598344
CYC-68101A6CFE18C629C27E,CLOSED,2021-06-03,2021-06-07,58200,1.45,1.466,0.009014433842019942
CYC-BBFDF9C5C7FB045CD4F4,CLOSED,2021-06-08,2021-06-10,58200,1.464,1.457,-0.0067698694747874155
CYC-E4431D5486408EA7A1F5,CLOSED,2021-06-15,2021-06-18,57600,1.469,1.505,0.022459501016342198
CYC-2C0073DFCF2C0EDF9BD2,CLOSED,2021-06-24,2021-06-28,55100,1.554,1.571,0.008919651776794435
CYC-B18250DADA0CCBD13AF4,CLOSED,2021-06-29,2021-07-01,54400,1.595,1.627,0.01802460862022004
CYC-3094728F2B732F4EF45E,CLOSED,2021-07-02,2021-07-06,54700,1.604,1.6130000000000002,0.0036017598361737235
CYC-B92A1EDB87595290EF06,CLOSED,2021-07-07,2021-07-08,56300,1.557,1.602,0.02684598638355884
CYC-4444FEFFE4A667D120E7,CLOSED,2021-07-13,2021-07-16,55100,1.631,1.607,-0.016683500435799803
CYC-FB2773AD768DCEFD2736,CLOSED,2021-07-26,2021-07-30,55500,1.598,1.626,0.015488891584010567
CYC-3BD7235AD68F716436AC,CLOSED,2021-08-09,2021-08-10,55400,1.61,1.604,-0.005717264102357289
CYC-5ECC4BAD8A53E58C71A1,CLOSED,2021-08-18,2021-08-19,57900,1.552,1.556,0.0005741680999413745
CYC-BE4C1DBF82D2D84E0910,CLOSED,2021-09-03,2021-09-07,62500,1.439,1.466,0.016727539312667794
CYC-08A67AB81FE09EA583A3,CLOSED,2021-09-09,2021-09-10,62900,1.444,1.436,-0.00752709893984127
CYC-DE2AD2D76DE05B7DAC8C,CLOSED,2021-11-03,2021-11-10,62800,1.452,1.456,0.0007513148009017367
CYC-1D88FC62076B33D8A956,CLOSED,2021-11-16,2021-11-18,61800,1.466,1.47,0.0007250593880878675
CYC-7F6E9B548739A79AD6C1,CLOSED,2021-11-25,2021-11-26,60100,1.507,1.501,-0.005971467152621757
CYC-BE40358A7765DA9278FB,CLOSED,2021-12-14,2021-12-15,60800,1.471,1.477,0.00207270635550727
CYC-049A42E32FA29F23B373,CLOSED,2022-01-06,2022-01-07,65900,1.371,1.366,-0.005637688351036174
CYC-60D726B6F6094A6F18F0,CLOSED,2022-01-19,2022-01-20,65300,1.379,1.36,-0.015748573399044785
