cycle_id,status,entry_date,exit_date,quantity,entry_price,exit_price,net_return
CYC-AA58B6E47CCD7D3087F5,CLOSED,2021-04-15 09:30:00,2021-04-15 11:30:00,7100,6.946000000000001,6.9,-0.006860898546479088
CYC-6BAB8F80C0EFDE0EEB11,CLOSED,2021-04-19 09:30:00,2021-04-19 11:30:00,7100,7.039,7.123,0.011690678380137376
CYC-C8F5278A41AF7BF7F4F5,CLOSED,2021-04-20 09:30:00,2021-04-20 11:30:00,7100,7.109,7.1610000000000005,0.007072945029126032
CYC-42853EDAEE68CC0433F0,CLOSED,2021-05-17 09:30:00,2021-05-17 11:30:00,7000,7.268999999999999,7.338000000000001,0.009250115739310116
CYC-8FD3D7BA8057223529BB,CLOSED,2021-05-26 09:30:00,2021-05-26 11:30:00,7000,7.363,7.35,-0.002005132194132564
CYC-542A49704EDEC448F773,CLOSED,2021-06-11 09:30:00,2021-06-11 11:30:00,6800,7.543000000000003,7.521000000000002,-0.0031558827285151914
CYC-2681659B8E403DB87F1D,CLOSED,2021-06-21 09:30:00,2021-06-21 11:30:00,6900,7.428999999999999,7.464999999999999,0.004604740202746482
CYC-32B74889908440CDED42,CLOSED,2021-06-22 09:30:00,2021-06-22 11:30:00,6800,7.498000000000001,7.518,0.0024267666701014434
CYC-10BA93FD62AE3BC3EBFF,CLOSED,2021-06-28 09:30:00,2021-06-28 11:30:00,6700,7.613999999999999,7.617999999999999,0.00028525077122099063
CYC-ABF53ECB1DA0DE8FDA1B,CLOSED,2021-07-08 09:30:00,2021-07-08 11:30:00,6800,7.569,7.56,-0.0014287465052350568
CYC-24627BDF3E8410E0E3EC,CLOSED,2021-07-12 09:30:00,2021-07-12 11:30:00,6700,7.6530000000000005,7.738,0.01086411901576656
CYC-8A282C1F68C99C4FFD22,CLOSED,2021-07-14 09:30:00,2021-07-14 11:30:00,6700,7.792,7.769,-0.003191008249441074
CYC-C6D92543D9FEFB5EFD64,CLOSED,2021-07-23 09:30:00,2021-07-23 11:30:00,6600,7.883,7.841,-0.00556661349819787
CYC-13745E5378F7CBC34A10,CLOSED,2021-07-29 09:30:00,2021-07-29 11:30:00,6800,7.55,7.552,2.4865890265290957e-05
CYC-C9E69730B39332DE5656,CLOSED,2021-08-05 09:30:00,2021-08-05 11:30:00,6600,7.747,7.775,0.003373463778641339
CYC-390B0CB9A8BCDBD3E604,CLOSED,2021-08-10 09:30:00,2021-08-10 11:30:00,6600,7.812,7.841,0.0034713755496293963
CYC-6915A3DFCCF6A40923E8,CLOSED,2021-08-12 09:30:00,2021-08-12 11:30:00,6500,7.921,7.961,0.004808684414757014
CYC-6C84BA6774E3CDDB3140,CLOSED,2021-08-19 09:30:00,2021-08-19 11:30:00,6700,7.772,7.775,0.0001459371967491574
CYC-7C9FAFE920B55AA0EF27,CLOSED,2021-08-24 09:30:00,2021-08-24 11:30:00,6600,7.909999999999999,7.954,0.00532127295167073
CYC-4380E751BD2AF47A2984,CLOSED,2021-08-26 09:30:00,2021-08-26 11:30:00,6500,8.024000000000001,8.036,0.0012551833760008346
CYC-527473C143CC03F89464,CLOSED,2021-08-30 09:30:00,2021-08-30 11:30:00,6500,8.07,8.119,0.005830442849956041
CYC-1A61C9F139E6F84E588A,CLOSED,2021-09-01 09:30:00,2021-09-01 11:30:00,6500,8.15,8.076,-0.00931754692504394
CYC-402B8CE549D528AAC86D,CLOSED,2021-09-03 09:30:00,2021-09-03 11:30:00,6300,8.249999999999998,8.189999999999998,-0.007510953231066986
CYC-0DD6BB2FB1497FEB13FA,CLOSED,2021-09-07 09:30:00,2021-09-07 11:30:00,6300,8.237,8.383000000000001,0.017480675173173976
CYC-0CB8A5324A8BD6971D33,CLOSED,2021-09-08 09:30:00,2021-09-08 11:30:00,6200,8.429,8.458,0.003199706200162966
CYC-43DE3E0C02CC1B372F71,CLOSED,2021-09-09 09:30:00,2021-09-09 11:30:00,6200,8.472,8.516,0.004952361335148092
CYC-08D17C75CF457354EDA0,CLOSED,2021-09-10 09:30:00,2021-09-10 11:30:00,6200,8.548,8.558,0.0009296123585431637
CYC-113494A9B55695655415,CLOSED,2021-09-24 09:30:00,2021-09-24 11:30:00,6300,8.429,8.367,-0.007593764273260306
CYC-C756CA17798CAD757CE5,CLOSED,2021-10-14 09:30:00,2021-10-14 11:30:00,6800,7.805000000000001,7.88,0.009366947715153229
CYC-7ABA509189BE4B3C802C,CLOSED,2021-10-26 09:30:00,2021-10-26 11:30:00,6700,7.975999999999999,8.005999999999998,0.0035204100482866263
CYC-AE1663434EE6D05359F7,CLOSED,2021-11-01 09:30:00,2021-11-01 11:30:00,6800,7.866999999999999,7.941000000000001,0.009164152621502497
CYC-ECA89D6B76F5A6DFFF6C,CLOSED,2021-11-02 09:30:00,2021-11-02 11:30:00,6800,7.911,7.9,-0.0016301064982047198
CYC-2E32ACF476C1A02C6AE0,CLOSED,2021-11-04 09:30:00,2021-11-04 11:30:00,6800,7.8809999999999985,7.925999999999998,0.005468593863902083
CYC-403695B166CEA6540F88,CLOSED,2021-11-09 09:30:00,2021-11-09 11:30:00,6800,7.92,7.929,0.0008961197383587916
CYC-186CB3239A07D74BA51F,CLOSED,2021-11-12 09:30:00,2021-11-12 11:30:00,6800,8.0,8.019,0.0021344588649363505
CYC-F82FB8090D54B95745DF,CLOSED,2021-11-18 09:30:00,2021-11-18 11:30:00,6800,7.966,8.002,0.004278150945261183
CYC-5EF26EA694A028C57B28,CLOSED,2021-11-22 09:30:00,2021-11-22 11:30:00,6700,8.079999999999998,8.133,0.006317860668601183
CYC-2B5CD513BF47A162A26A,CLOSED,2021-12-02 09:30:00,2021-12-02 11:30:00,6700,8.171,8.133,-0.004889448757520842
CYC-BAFFCF48FC0C5E9436FD,CLOSED,2021-12-17 09:30:00,2021-12-17 11:30:00,6600,8.284000000000002,8.223000000000003,-0.007601796620716472
CYC-A26CF578D94205ADB6E4,CLOSED,2021-12-22 09:30:00,2021-12-22 11:30:00,6600,8.17,8.2,0.003431118253569565
CYC-CF698D1DA97795D6C776,CLOSED,2021-12-31 09:30:00,2021-12-31 11:30:00,6600,8.216,8.243999999999998,0.003167195399064182
CYC-E9C7BC1E3C4F3253317D,CLOSED,2022-01-04 09:30:00,2022-01-04 11:30:00,6600,8.285000000000002,8.240000000000002,-0.005670170514963546
CYC-2EC5DE7597847288656B,CLOSED,2022-01-18 09:30:00,2022-01-18 11:30:00,6800,8.034999999999998,8.064,0.0033683723976771773
CYC-5A6E65EC4F2ED71F646F,CLOSED,2022-01-25 09:30:00,2022-01-25 11:30:00,7000,7.828000000000001,7.700000000000002,-0.016587605808202177
CYC-AEA163DD61BFD982D854,CLOSED,2022-01-27 09:30:00,2022-01-27 11:30:00,7000,7.6080000000000005,7.496,-0.014957784455980838
CYC-AB5748E3D52711EF55CC,CLOSED,2022-02-09 09:30:00,2022-02-09 11:30:00,7000,7.589000000000001,7.654000000000001,0.008323001766866511
CYC-05C3A53715076E2D90D7,CLOSED,2022-02-10 09:30:00,2022-02-10 11:30:00,6900,7.6739999999999995,7.679,0.00041142313378506046
CYC-DA238924BB8A48988609,CLOSED,2022-02-21 09:30:00,2022-02-21 11:30:00,6900,7.675,7.6850000000000005,0.0010626477265727186
CYC-99BE7F238859FDDF7E17,CLOSED,2022-02-24 09:30:00,2022-02-24 11:30:00,6900,7.702000000000001,7.669,-0.004523544424733905
CYC-292304E308B79181D7A9,CLOSED,2022-03-14 09:30:00,2022-03-14 11:30:00,7100,7.225,7.212000000000001,-0.002038847379836728
CYC-57950C209F0EFA2B38C6,CLOSED,2022-03-17 09:30:00,2022-03-17 11:30:00,7100,7.0,7.132000000000001,0.018612646482422335
CYC-16E68BF4D3D375044CAF,CLOSED,2022-03-21 09:30:00,2022-03-21 11:30:00,7100,7.12,7.118,-0.0005208026722186565
CYC-6336788419DE360CA6D1,CLOSED,2022-03-29 09:30:00,2022-03-29 11:30:00,7100,7.06,7.0120000000000005,-0.007037206526718021
CYC-02B432CEC4740F9D3119,CLOSED,2022-03-31 09:30:00,2022-03-31 11:30:00,7100,7.151,7.133000000000001,-0.0027564976358896986
CYC-B468A5E27DD858887724,CLOSED,2022-04-06 09:30:00,2022-04-06 11:30:00,7100,7.149999999999999,7.114999999999998,-0.0051339014143476636
CYC-91588071BBC3FC1FB38B,CLOSED,2022-04-13 09:30:00,2022-04-13 11:30:00,7100,6.86,6.84,-0.0031547234739993657
CYC-1405AA0DB7A85FC1C2BC,CLOSED,2022-04-15 09:30:00,2022-04-15 11:30:00,7100,6.852,6.808000000000001,-0.00665991301125568
CYC-BFCF44226BBFD0339C0B,CLOSED,2022-04-28 09:30:00,2022-04-28 11:30:00,7100,6.06,6.072,0.00173975162584461
CYC-CEC6FABEF741FCFDD834,CLOSED,2022-05-05 09:30:00,2022-05-05 11:30:00,7100,6.324,6.435,0.017307998941455294
CYC-68CF4EA89356FA17927B,CLOSED,2022-05-11 09:30:00,2022-05-11 11:30:00,7100,6.409,6.565,0.024094958503559916
CYC-A8BAE3ECE970D6ABB8E8,CLOSED,2022-05-20 09:30:00,2022-05-20 11:30:00,7100,6.596,6.643,0.006883849499006223
CYC-58A0FABFC193DF82056D,CLOSED,2022-05-23 09:30:00,2022-05-23 11:30:00,7100,6.7,6.664000000000001,-0.005611816134302616
CYC-7F40F6F9DF8E7C163125,CLOSED,2022-05-26 09:30:00,2022-05-26 11:30:00,7100,6.582,6.671,0.013278509890876311
CYC-732AE0F78EEFC0832181,CLOSED,2022-05-27 09:30:00,2022-05-27 11:30:00,7100,6.68,6.68,-0.00023997120345542466
CYC-41DCD86E70759055A74F,CLOSED,2022-06-01 09:30:00,2022-06-01 11:30:00,7100,6.795,6.808000000000001,0.0016727411400847547
CYC-FC2B452167A0D98396BB,CLOSED,2022-06-06 09:30:00,2022-06-06 11:30:00,7100,6.863999999999999,7.013999999999999,0.021607931523741852
CYC-EA9D7F2209060EC3B813,CLOSED,2022-06-07 09:30:00,2022-06-07 11:30:00,7100,6.989000000000001,7.009,0.0026209818049764966
