decision_id,signal_date,valid_session,target_position,factor_score,regime,threshold,observed_weight_ratio,action
DEC-9A6418FB64B2B2E11BFD,2021-04-14,2021-04-15,1,0.5215299999999999,,0.4744367184644977,1.0,INTRADAY_LONG_OVERLAY
DEC-1CC6BF294F3D2A73942E,2021-04-16,2021-04-19,1,0.71933,,0.47596071426763537,1.0,INTRADAY_LONG_OVERLAY
DEC-0EDBE9FFE96F995E22C7,2021-04-19,2021-04-20,1,0.57562,,0.4817706020074979,1.0,INTRADAY_LONG_OVERLAY
DEC-B529BC23EB375358D5E8,2021-05-14,2021-05-17,1,0.6166746669866795,,0.49843400000000004,1.0,INTRADAY_LONG_OVERLAY
DEC-8FFA1D3A3E71CE266932,2021-05-25,2021-05-26,1,0.6406356254250171,,0.4744402582657588,1.0,INTRADAY_LONG_OVERLAY
DEC-386372A856C07712E8F6,2021-06-10,2021-06-11,1,0.44404108287580135,,0.42632163382535304,1.0,INTRADAY_LONG_OVERLAY
DEC-D91FF24A0CCCF15FA84C,2021-06-18,2021-06-21,1,0.5117058194073586,,0.4307122165751603,1.0,INTRADAY_LONG_OVERLAY
DEC-27E253E50F364DA482E3,2021-06-21,2021-06-22,1,0.45786205034352406,,0.444568439723578,1.0,INTRADAY_LONG_OVERLAY
DEC-283CDE5651883E35D4B8,2021-06-25,2021-06-28,1,0.6120028401988139,,0.4345444181092677,1.0,INTRADAY_LONG_OVERLAY
DEC-E13D44FF7A8F551D2D7B,2021-07-07,2021-07-08,1,0.44666572903899865,,0.42833805038352685,1.0,INTRADAY_LONG_OVERLAY
DEC-12475825EB89D6C31B88,2021-07-09,2021-07-12,1,0.5042711076839881,,0.4345444181092677,1.0,INTRADAY_LONG_OVERLAY
DEC-72EB4F2D8A37115F2F8E,2021-07-13,2021-07-14,1,0.4575242596913586,,0.4445660121084408,1.0,INTRADAY_LONG_OVERLAY
DEC-403187638E6DB270682F,2021-07-22,2021-07-23,1,0.43031210133499415,,0.4278389584206134,1.0,INTRADAY_LONG_OVERLAY
DEC-C16092AF08E63E5305B5,2021-07-28,2021-07-29,1,0.5757512124393781,,0.43068373145152217,1.0,INTRADAY_LONG_OVERLAY
DEC-6D263B3FA0C24083E618,2021-08-04,2021-08-05,1,0.44096645798747924,,0.4345444181092677,1.0,INTRADAY_LONG_OVERLAY
DEC-69903505B33FBA80FB1E,2021-08-09,2021-08-10,1,0.49078197721072064,,0.4339294931316033,1.0,INTRADAY_LONG_OVERLAY
DEC-BED1B5AF60C6F5424545,2021-08-11,2021-08-12,1,0.43742448650825616,,0.4320867895478767,1.0,INTRADAY_LONG_OVERLAY
DEC-C71BF64607B22560739B,2021-08-18,2021-08-19,1,0.46798440420443355,,0.43322109883575866,1.0,INTRADAY_LONG_OVERLAY
DEC-C94F43E60C1724444EDF,2021-08-23,2021-08-24,1,0.4887993279596776,,0.43322109883575866,1.0,INTRADAY_LONG_OVERLAY
DEC-0D1B134C272BFBD5CA79,2021-08-25,2021-08-26,1,0.4565274203924091,,0.4381328808041008,1.0,INTRADAY_LONG_OVERLAY
DEC-DABF57CF8C6081D179E1,2021-08-27,2021-08-30,1,0.4734284057043423,,0.44158138296514365,1.0,INTRADAY_LONG_OVERLAY
DEC-56DFD054B1EAF82D33F0,2021-08-31,2021-09-01,1,0.4472166022315259,,0.4445660121084408,1.0,INTRADAY_LONG_OVERLAY
DEC-5C6C3D9296D139D969EE,2021-09-02,2021-09-03,1,0.5207771833138903,,0.4467759036775041,1.0,INTRADAY_LONG_OVERLAY
DEC-4C51FE547E60AF3C07F2,2021-09-06,2021-09-07,1,0.5098254153425319,,0.44907876586370254,1.0,INTRADAY_LONG_OVERLAY
DEC-2B2CA8746199ECD3F2A4,2021-09-07,2021-09-08,1,0.5411118709521702,,0.45672678825219903,1.0,INTRADAY_LONG_OVERLAY
DEC-CF983E6F0C4D9FF6148A,2021-09-08,2021-09-09,1,0.49973852528259377,,0.4575918178217917,1.0,INTRADAY_LONG_OVERLAY
DEC-93F64DD9289384AF4138,2021-09-09,2021-09-10,1,0.5264692867774247,,0.459886521115706,1.0,INTRADAY_LONG_OVERLAY
DEC-0691D32DE7CDC974D6B9,2021-09-23,2021-09-24,1,0.4669965503022257,,0.45672678825219903,1.0,INTRADAY_LONG_OVERLAY
DEC-9BE9A44ACAE830FE4FA5,2021-10-13,2021-10-14,1,0.5699884763765719,,0.45672678825219903,1.0,INTRADAY_LONG_OVERLAY
DEC-3A47C7E7776E0FDA6459,2021-10-25,2021-10-26,1,0.5034060627917694,,0.45862124637437246,1.0,INTRADAY_LONG_OVERLAY
DEC-BA35311AF2FB35911C45,2021-10-29,2021-11-01,1,0.6031865098415746,,0.4671941210826673,1.0,INTRADAY_LONG_OVERLAY
DEC-6A923B27E4D8E5FFA405,2021-11-01,2021-11-02,1,0.484289371574863,,0.4671941210826673,1.0,INTRADAY_LONG_OVERLAY
DEC-879086FFF805375C7572,2021-11-03,2021-11-04,1,0.5711828473138926,,0.4690732045044153,1.0,INTRADAY_LONG_OVERLAY
DEC-99FC21B35EF15F4C73D5,2021-11-08,2021-11-09,1,0.5069002760110405,,0.47560059887844647,1.0,INTRADAY_LONG_OVERLAY
DEC-10E80BDA8CC62D1221E5,2021-11-11,2021-11-12,1,0.5270210808432337,,0.47560059887844647,1.0,INTRADAY_LONG_OVERLAY
DEC-C84065CD6139E1E4CAC1,2021-11-17,2021-11-18,1,0.5118704748189928,,0.48519136285182596,1.0,INTRADAY_LONG_OVERLAY
DEC-297BF24296FEEFB8E253,2021-11-19,2021-11-22,1,0.6141045641825673,,0.4909871674242609,1.0,INTRADAY_LONG_OVERLAY
DEC-E291F1BAB20F96D4FA6A,2021-12-01,2021-12-02,1,0.5054847079330416,,0.5004720327844289,1.0,INTRADAY_LONG_OVERLAY
DEC-C3AFA6C755B3104EECB0,2021-12-16,2021-12-17,1,0.4847303053938921,,0.4685873727763668,1.0,INTRADAY_LONG_OVERLAY
DEC-9F921BC242AFA868B97A,2021-12-21,2021-12-22,1,0.5964126459241444,,0.4768184044533175,1.0,INTRADAY_LONG_OVERLAY
DEC-E27AE32BFF64C87D1D19,2021-12-30,2021-12-31,1,0.5191843278721379,,0.48437755833866886,1.0,INTRADAY_LONG_OVERLAY
DEC-64BA05CD18CD3C8894B3,2021-12-31,2022-01-04,1,0.5735658099103161,,0.4852878299644924,1.0,INTRADAY_LONG_OVERLAY
DEC-9FAB05038D1C2DE85D33,2022-01-17,2022-01-18,1,0.5352909888301235,,0.4852878299644924,1.0,INTRADAY_LONG_OVERLAY
DEC-5B3E6D1776C9ED403FF4,2022-01-24,2022-01-25,1,0.5332236082815651,,0.4852878299644924,1.0,INTRADAY_LONG_OVERLAY
DEC-CE5DEE554B71AE1CAC82,2022-01-26,2022-01-27,1,0.5006372750720071,,0.4852878299644924,1.0,INTRADAY_LONG_OVERLAY
DEC-78640C5138D2FEA7686D,2022-02-08,2022-02-09,1,0.6454435455645443,,0.4852878299644924,1.0,INTRADAY_LONG_OVERLAY
DEC-06EDF45568D99369500E,2022-02-09,2022-02-10,1,0.6117138828611713,,0.4852878299644924,1.0,INTRADAY_LONG_OVERLAY
DEC-29D429CB65DB10F2A54C,2022-02-18,2022-02-21,1,0.6378417367087086,,0.47690659121712337,1.0,INTRADAY_LONG_OVERLAY
DEC-C88498CA0C0ABF58B2E8,2022-02-23,2022-02-24,1,0.5374083472922957,,0.47690659121712337,1.0,INTRADAY_LONG_OVERLAY
DEC-B55B57F16BDD65880FDD,2022-03-11,2022-03-14,1,0.5652788640876,,0.47389507834448974,1.0,INTRADAY_LONG_OVERLAY
DEC-DB4B97F668D69F38353A,2022-03-16,2022-03-17,1,0.6486318905512442,,0.4834534651858301,1.0,INTRADAY_LONG_OVERLAY
DEC-DA0EFB63242C018B32F1,2022-03-18,2022-03-21,1,0.5903972317785422,,0.48791169932951517,1.0,INTRADAY_LONG_OVERLAY
DEC-C20897A61F159CD68ECB,2022-03-28,2022-03-29,1,0.5687855028402272,,0.4866348591214531,1.0,INTRADAY_LONG_OVERLAY
DEC-80DF9524AD22BA7C6538,2022-03-30,2022-03-31,1,0.746269701576126,,0.5043466856320332,1.0,INTRADAY_LONG_OVERLAY
DEC-3114694362424C93BABD,2022-04-01,2022-04-06,1,0.6114883446503395,,0.5219921839540234,1.0,INTRADAY_LONG_OVERLAY
DEC-DA5E7ADE129AF58330C5,2022-04-12,2022-04-13,1,0.6970909127273818,,0.5071545417139187,1.0,INTRADAY_LONG_OVERLAY
DEC-0DA1B4A0E745AEBFD04A,2022-04-14,2022-04-15,1,0.5441963258897767,,0.5336370843912768,1.0,INTRADAY_LONG_OVERLAY
DEC-8301277B38CD13307ABA,2022-04-27,2022-04-28,1,0.7991029320275341,,0.5340605560837113,1.0,INTRADAY_LONG_OVERLAY
DEC-85370ADD608618887A2A,2022-04-29,2022-05-05,1,0.7585241526018985,,0.5387659430117919,1.0,INTRADAY_LONG_OVERLAY
DEC-C2BF7CC8003AE9A94CCF,2022-05-10,2022-05-11,1,0.6614838516148385,,0.5484128335293414,1.0,INTRADAY_LONG_OVERLAY
DEC-DD8B22D98B884FBBFD18,2022-05-19,2022-05-20,1,0.5834416558344165,,0.5387659430117919,1.0,INTRADAY_LONG_OVERLAY
DEC-1A484FABD6C34394FD29,2022-05-20,2022-05-23,1,0.6833116688331166,,0.5484128335293414,1.0,INTRADAY_LONG_OVERLAY
DEC-A699ADDC0D6AD6DA5DB3,2022-05-25,2022-05-26,1,0.5856055072492771,,0.5484128335293414,1.0,INTRADAY_LONG_OVERLAY
DEC-51879E08CBAC8DE500E5,2022-05-26,2022-05-27,1,0.6217768483405208,,0.5659801918381254,1.0,INTRADAY_LONG_OVERLAY
DEC-3C82B0BD34BD272EDAB8,2022-05-31,2022-06-01,1,0.6964700675002766,,0.5717167334390652,1.0,INTRADAY_LONG_OVERLAY
DEC-FD2C2FBF6FA04C980136,2022-06-02,2022-06-06,1,0.6019951181134131,,0.5838744261173886,1.0,INTRADAY_LONG_OVERLAY
DEC-86B605DB0BB7433C479E,2022-06-06,2022-06-07,1,0.713885134453612,,0.5865638521551301,1.0,INTRADAY_LONG_OVERLAY
DEC-690A9366E198F682CD9E,2022-06-10,2022-06-13,1,0.7302152468176958,,0.5927168090455164,1.0,INTRADAY_LONG_OVERLAY
DEC-0BED8A5D8E392FA5AAE5,2022-06-23,2022-06-24,1,0.660190380761523,,0.5888834294221044,1.0,INTRADAY_LONG_OVERLAY
DEC-353236F8918949AC6163,2022-06-28,2022-06-29,1,0.6085170340681363,,0.6038937634207984,1.0,INTRADAY_LONG_OVERLAY
DEC-0E02E27A66010FBE9C9C,2022-07-18,2022-07-19,1,0.6414823873774534,,0.5838744261173886,0.997589975899759,INTRADAY_LONG_OVERLAY
