path_id,component_id,catalog_id,information_family,frequency,horizon_sessions,role,trigger_states_json,global_bh_qvalue,confirmation_residual_ic,discovery_episodes,confirmation_episodes,eligible_confirmation_years,positive_confirmation_years,confirmation_mean_role_benefit,drop_best_two_mean_role_benefit,yearly_evidence_json,robustness_label
SIG-30M-03BD2DFB4E965635:H1,SIG-30M-03BD2DFB4E965635,SIG-CZSC-cxt_bi_end_V230104,MARKET_STRUCTURE,30m,1,OPPORTUNITY,"[""看空""]",6.320149416157518e-06,0.0101585646472254,4,0,0,0,,,{},FAIL_ROBUSTNESS
SIG-WEEKLY-805AD0886329DF6F:H5,SIG-WEEKLY-805AD0886329DF6F,SIG-CZSC-cxt_bi_end_V230322,MARKET_STRUCTURE,weekly,5,VETO,"[""看空""]",3.5210372985085624e-05,0.0412526537549818,2,2,0,0,0.02789709062719984,,"{""2025"": {""eligible"": false, ""episodes"": 1, ""mean_role_benefit"": -0.002822228930508184}, ""2026"": {""eligible"": false, ""episodes"": 1, ""mean_role_benefit"": 0.06010973598283612}}",FAIL_ROBUSTNESS
SIG-DAILY-6F79BBC32C80CADC:H1,SIG-DAILY-6F79BBC32C80CADC,SIG-CZSC-cxt_bs_V240526,MARKET_STRUCTURE,daily,1,OPPORTUNITY,"[""买点""]",0.0362801520538018,0.0049066802965409,2,7,2,1,0.019177386775306237,-0.003276444613554913,"{""2024"": {""eligible"": true, ""episodes"": 2, ""mean_role_benefit"": 0.07560660134711056}, ""2025"": {""eligible"": true, ""episodes"": 5, ""mean_role_benefit"": -0.0034243759769783215}}",FAIL_ROBUSTNESS
SIG-30M-8DF533FC1033A5A5:H3,SIG-30M-8DF533FC1033A5A5,SIG-CZSC-tas_boll_bc_V221118,VOLATILITY_RISK,30m,3,OPPORTUNITY,"[""一卖""]",0.074438087873781,0.130301790307504,2,5,1,1,0.06928593381660601,0.029668860676926524,"{""2024"": {""eligible"": false, ""episodes"": 1, ""mean_role_benefit"": 0.17648804244234087}, ""2025"": {""eligible"": false, ""episodes"": 1, ""mean_role_benefit"": 0.024186472191387073}, ""2026"": {""eligible"": true, ""episodes"": 3, ""mean_role_benefit"": 0.04865567806189358}}",FAIL_ROBUSTNESS
SIG-WEEKLY-DDF69292A422AE1C:H3,SIG-WEEKLY-DDF69292A422AE1C,SIG-CZSC-xl_bar_trend_V240329,TREND_MOMENTUM,weekly,3,OPPORTUNITY,"[""顶部十字孕线""]",0.074438087873781,0.1685427658624587,2,6,2,1,0.02054235049874321,-0.0012584085729588704,"{""2024"": {""eligible"": true, ""episodes"": 2, ""mean_role_benefit"": -0.01670061096681056}, ""2025"": {""eligible"": true, ""episodes"": 3, ""mean_role_benefit"": 0.032581871616728104}, ""2026"": {""eligible"": false, ""episodes"": 1, ""mean_role_benefit"": 0.0579907211032996}}",FAIL_ROBUSTNESS
SIG-WEEKLY-9ADE6701E768156D:H5,SIG-WEEKLY-9ADE6701E768156D,SIG-CZSC-tas_dma_bs_V240608,TREND_MOMENTUM,weekly,5,VETO,"[""买点""]",0.0011860706290569,0.1499485393544111,1,4,2,2,0.05305943188240635,0.006362310653685345,"{""2025"": {""eligible"": true, ""episodes"": 2, ""mean_role_benefit"": 0.048844437736158625}, ""2026"": {""eligible"": true, ""episodes"": 2, ""mean_role_benefit"": 0.05876775182658232}}",LIMITED_SAMPLE
SIG-30M-71715CA35A184B70:H1,SIG-30M-71715CA35A184B70,SIG-CZSC-zdy_macd_bc_V230422,TREND_MOMENTUM,30m,1,VETO,"[""下跌""]",0.0657138356870436,0.0336424171600633,11,8,2,2,0.009098283523240866,0.0044590334777789,"{""2024"": {""eligible"": true, ""episodes"": 3, ""mean_role_benefit"": 0.012729030517853623}, ""2025"": {""eligible"": true, ""episodes"": 4, ""mean_role_benefit"": 0.002939632897894605}, ""2026"": {""eligible"": false, ""episodes"": 1, ""mean_role_benefit"": 0.022768056076295642}}",LIMITED_SAMPLE
