trial_number,min_return_delta,win_count,median_return_delta,mean_return_delta,active_factor_count
0,0.0,0,0.0,0.0,12
3123,-0.0023558955354250344,6,0.01724680816420099,0.02375375714429652,9
2806,-0.008356940507929567,7,0.01960842212798941,0.020973192416750733,9
629,-0.01242348737781529,6,0.01916052939066648,0.03521233542787661,16
3607,-0.014467820528691222,5,0.030124958707502814,0.029443944026987856,6
3662,-0.014694417350950006,4,-0.0001251701662527971,0.005512970763911218,9
2615,-0.017906468089318173,5,0.008276699010507427,0.00749306148868327,7
2299,-0.017906468089318173,4,0.007019574735346645,0.011977323892951391,9
2461,-0.017906468089318173,3,-0.003603329870474181,0.003284268550693553,6
3332,-0.01961643714411354,4,0.017884629534433427,0.01824618695910185,6
2769,-0.02384026205418821,5,0.007831137844776848,0.011817762237725002,6
2244,-0.023919830845733014,6,0.002618886216735228,0.009211732209997131,6
2913,-0.02533533112223796,5,0.02816945775963181,0.026704964565852612,6
2485,-0.026239024083278606,4,-0.0027268632042394825,0.01856374461023294,6
3368,-0.027961206059787025,5,0.004675108991117227,0.00498089438837955,6
3702,-0.02808240177030208,5,0.0014973591842719625,0.003292540314987935,7
1068,-0.028118878685564397,4,-0.0028765180447971606,-0.0019571942403111,6
3084,-0.028860834377263056,4,0.00899882785359496,0.024251052895587252,8
3881,-0.029798973038505094,4,-0.001921889547778055,-0.0029413542637663215,9
3291,-0.03020855812206058,6,0.006475548301701495,0.006852835455212425,7
1821,-0.031037320043772132,3,-0.016183599643549984,0.010613681930061014,10
2820,-0.031924347361678596,5,0.009369535372381999,0.010730752344153244,6
2415,-0.03220248536102255,5,0.008894673803530928,0.010272397730341887,11
468,-0.032309167520462534,5,0.011924010468763346,0.02394006943488282,7
2711,-0.03318470456747047,5,0.009877085269420771,0.015549075883215802,7
436,-0.033724588037125636,3,-0.007214978103615488,-0.005557276173005984,10
1440,-0.03380243097775515,3,-0.011173459977966704,-0.003770435616891818,10
987,-0.034691835687707284,3,-0.01617239711040247,0.010841705623764644,13
2494,-0.035101546029071784,6,0.028472616886368818,0.018270677505121305,6
2941,-0.036242127738723484,2,-0.0211981533280739,-0.005270742026561526,6
1594,-0.037706815104165514,3,-0.009624683178201088,-0.005567933414792253,10
3557,-0.03778868239894595,4,0.022506381565160827,0.01725237814870402,17
3763,-0.03804081941182447,5,0.006475166911946051,0.005326719818539688,7
2015,-0.040284549235941824,3,-0.014081898279573957,-0.004203762749941192,16
3675,-0.04058062990049649,5,0.013914611929309095,0.007743785174725251,14
1109,-0.04073290988889666,3,-0.023684133113132444,-0.010119196183104015,12
733,-0.04120401852300226,5,0.004675108991117227,0.0022965246959663344,6
1192,-0.04163287635856394,5,0.04173699417521182,0.05536846654122264,9
2718,-0.04193678503336429,6,0.02664175560874693,0.03096259706896494,6
3409,-0.04200787298921316,6,0.03888560138787206,0.025908742007372032,7
2629,-0.04200787298921316,5,0.019701024043977555,0.022299502750828773,6
2375,-0.04200787298921316,5,0.006998187744497064,0.004074952473307858,8
3206,-0.04200787298921316,5,0.004675108991117227,0.007745380405915783,7
2957,-0.04200787298921316,5,0.004675108991117227,0.004778706173743666,6
