ts_code,trade_date,suspend_timing,suspend_type
688027.SH,2024-03-06,,S
688027.SH,2024-03-07,,S
688027.SH,2024-03-08,,S
688027.SH,2024-03-11,,S
688041.SH,2025-05-26,,S
688041.SH,2025-05-27,,S
688041.SH,2025-05-28,,S
688041.SH,2025-05-29,,S
688041.SH,2025-05-30,,S
688041.SH,2025-06-03,,S
688041.SH,2025-06-04,,S
688041.SH,2025-06-05,,S
688041.SH,2025-06-06,,S
688041.SH,2025-06-09,,S
