group,family,horizon_sessions,paths,median_discovery_sge_ic,median_confirmation_sge_ic,median_confirmation_etf_ic,supported_paths
CORE_UPSIDE,GOLD_TREND,120,3,-0.29562499680788173,0.14585424005847983,0.13752609650352018,0
CORE_UPSIDE,GOLD_TREND,252,3,-0.400190290476062,0.12400265169394509,0.11766793076224925,0
CORE_UPSIDE,GOLD_TREND_QUALITY,120,1,-0.26488267812895355,0.20390768243408147,0.19619401220642327,0
CORE_UPSIDE,GOLD_TREND_QUALITY,252,1,-0.37122827753422405,0.218147331797697,0.21044892906011134,0
CORE_UPSIDE,REAL_YIELD,120,2,-0.19427422250256332,-0.2338972774266521,-0.2352032381317971,0
CORE_UPSIDE,REAL_YIELD,252,2,-0.1648733062863095,-0.3031618513831993,-0.3085837774804166,0
RECOVERY_OR_RISK,CROSS_ASSET_RELATIVE_STRENGTH,120,1,-0.2073539521869378,0.26047659522349037,0.2521259975876093,0
RECOVERY_OR_RISK,CROSS_ASSET_RELATIVE_STRENGTH,252,1,-0.24697884469050477,0.3081992797097473,0.3054303073697615,0
RECOVERY_OR_RISK,EQUITY_RISK_APPETITE,120,1,-0.061002778348157066,0.1650296978532337,0.16356975954946926,0
RECOVERY_OR_RISK,EQUITY_RISK_APPETITE,252,1,-0.13443199074107146,0.2348835565774931,0.23556888550655455,0
RECOVERY_OR_RISK,EQUITY_STRESS,120,2,-0.10716259267749356,0.1518925240467252,0.14449366163258817,0
RECOVERY_OR_RISK,EQUITY_STRESS,252,2,-0.0127197267853877,0.2754342292892305,0.2738424330059883,1
RECOVERY_OR_RISK,GOLD_LOCATION,120,1,0.062179939222553986,0.24083617319434467,0.23481647589819962,0
RECOVERY_OR_RISK,GOLD_LOCATION,252,1,-0.1282896810533339,0.3218330177601827,0.31597545339929756,0
RECOVERY_OR_RISK,GOLD_RECOVERY,120,1,-0.027343136348298727,-0.038177098536186845,-0.03565315023415876,0
RECOVERY_OR_RISK,GOLD_RECOVERY,252,1,9.483440000707203e-05,-0.051856490813618435,-0.049026195528094944,0
RECOVERY_OR_RISK,GOLD_VOLATILITY,120,1,0.005085895862713633,-0.15193351809945024,-0.15119831175608908,0
RECOVERY_OR_RISK,GOLD_VOLATILITY,252,1,0.11599333709992066,-0.06669395382799533,-0.06722439392191586,0
