trial_id,behavior_hash,nearest_points,neighborhood_radius,local_feasible_rate,local_feasible_points
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02686,5e9e3030333c4437584a55452e5fbf0e74d89758130f419df8fcf736a1661de2,20,0.11825507180007633,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02565,97f1a0b7454dae7855015b7d1df163c086c57cfdfbd40bf1b66a6812e792b30f,20,0.11825507180007633,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02050,54ab0a6a15b3b24055aead69c690a89510b5d561f6f23196cd959d26bca96690,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02872,0de6fe3302e1b0536d2a19a7a787d07926b66c887fd20f8327248ca44ed8759e,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02199,0a265b7409935f6e35c7aa787299d4fb987ec17abad0dba77e52b65a4def691a,20,0.042357413768844665,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02869,f19c9adc44f9ff1c202a0ba0a7fc46d9a3e2906dc4206620d3234a52c4fe0c83,20,0.07717798084241967,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02618,217ecc8e1b150ba7658a24c781dd0de0b938fe7cd828f3e2f58bcad7465f5196,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02701,217ecc8e1b150ba7658a24c781dd0de0b938fe7cd828f3e2f58bcad7465f5196,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02888,217ecc8e1b150ba7658a24c781dd0de0b938fe7cd828f3e2f58bcad7465f5196,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02389,7c76ac1e18c50eb7267d5329f98823dae4f4fbee426a48743acda388edaff7b7,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02266,5d1c025c33d5b2414b4a1788430cefb70cc945593ea334305a79de21e65e867e,20,0.09618732398590679,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02804,19cfd25ac66526ec71fd4e9e939b4e7f1c03cd5e345d2e7bd753efd52eeabb86,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02239,a35b8625cc15c777fb10f74a77d3e916d0241b52916e31a889b0cc774e4f6039,20,0.11653740999933282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02665,a35b8625cc15c777fb10f74a77d3e916d0241b52916e31a889b0cc774e4f6039,20,0.11059346879867826,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02783,565605308b274820b991d34f3bd5f8dc55955a9312ac5f3a72ceb9eac0af22e8,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02544,f1d59b5aeec294679e8358e9e61020370572abc5d9b58b971082112ce8d83499,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02215,8725c8ac5f51d49a656271410cfd1cf638d1d31b2f9631f7db00585fb81fe1b9,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02744,c5b0581381c4668d0e3b52da14476b5f3359418c73fb8cf571a5cb6ef151dfd9,20,0.042357413768844665,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02521,7d34ebbabbdae42d0962f189991143b06181684ba93865c79e59e3e378205932,20,0.042357413768844665,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01811,2601591b3827de13bdfdb0c6544b99486c26edfe40f38b9430feab4d681d88e0,20,0.12151008077708692,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01943,f247dab5df8284cfb624e7856444743481ab68299703dc6c8a3a4200ce6f514f,20,0.09358789697504943,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02191,f247dab5df8284cfb624e7856444743481ab68299703dc6c8a3a4200ce6f514f,20,0.09358789697504943,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01908,111f30542137213ae79315db5d34ee65e58e48dcbf29c01d22c12e9b665c9b75,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02136,f884cd26d5170f64cb3d206243f7744c2eaa2b7134bc163a8eeec093a48e0d1e,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02909,9b9194cc1303d2a2cf1a489c6bf14cb0afcc5e5852ae9b99a37d79cc6f735a14,20,0.03635241385006993,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02849,adbfebf33d0409915061868952abec3cc7ae5efb7f7e7ba1f78cabc1dc4bca91,20,0.1033742941058306,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02379,88b37825dc9410be0164b9d38b5ddb6303fc88b4816f5685c1775d0aa8109cfb,20,0.03670734725419089,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02948,6ddaa237fb5bc71c001a7af86418deffdfbc0141a13fefea6431dd524c795e0c,20,0.042357413768844665,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02110,9c6165cf31007fbdf86c25b93a36655623b00fd2be8f71c596bae0a304604cae,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01822,273cb67b167b30f8817c20700342057fe7bb104509dc8d3a210a919fac624fad,20,0.18977522096095623,0.8,16
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02941,8d0202f376501115f78b9f753598bfd556f626ae921aa050b26033648e5576df,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02487,86b1f722e68099408086856d7afc23ffa6ae3a59060966ad4f0480a165347f0a,20,0.09618732398590679,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01969,9d5b6bdec8b2c5e760191b234aa7b9cdf7c1275a2840fd8f26112fa23c80654b,20,0.15690263205399457,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02540,2a83ed6ac6c1fb4db6002d887a91ddee4c5e4c91c7b00eb75376c391bbefafba,20,0.11653740999933282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02090,81ba9695afc9afe6ea1c4e2a50b78cc9990d54fb68724a614bc1a40d62f1aea9,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02280,9c66086efd37819cb48eb4c50c67fbf4d0e8e5863ce37828501ce84e78003ffe,20,0.10142550159996189,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01027,8ea2b0c051d0966e76d11c042095f5caf6f6039a5630d94dcf5bfba4011631be,20,0.13359321058747176,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02630,1f94c220bd799821bfaa74b9d875de128d4c71f8c16a2b5ea970e46bd536329c,20,0.08972799177267154,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02722,50259b35626e4dcee8a0b6ca03dc653a60099d892b3bfbd2c4f64b081b3c4796,20,0.13003051314439107,0.9,18
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02558,76caf75e76b996fe51696c06872731834d9b2e6757a52145fe6801e918a5575e,20,0.1226822247718482,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01986,31fc46b0dbe8926c04164116c00cc50761bd0550fc68bdb159e60622be9c3601,20,0.09358789697504943,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02821,d6dafcf9f65c2ea0be11f7c127a2a6e4acf0aa4a4e767dcf6fc3e21042ff26a3,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02099,d641914f51b625e7bf741181c641d04d4504f460f377b58b506555e8a126b76e,20,0.09358789697504943,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02591,0391293313fbf295405f781a0d29a3d3a5a56c52737215acd64ecd86bcff0d7c,20,0.130201504480979,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02949,c9acd8dfb767370984799445437fce39a3fa19d721b3f479cf3f58bf40d2fc8f,20,0.09960459713933534,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02104,c748fc95c8d2b802d0638e30977064af901ddc585a0405355cb994157594914b,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02831,988d3792cc2dfaa007bf3b48d87ba85c7110b8f20c62d276110d073b4524b8cb,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01776,d275f2f8f5c128fcbb5d6c89df8757ab5040e2cbbfae2c9f935ec11582eb3756,20,0.03670734725419089,1.0,20
