parameter,normalized_minimum,normalized_q10,normalized_median,normalized_q90,normalized_maximum,lower_boundary_share,upper_boundary_share,dependency_side
risk_context_total,0.1123077481597602,0.2819285084466285,0.4302571271512347,0.9321329182197964,0.9939607425671644,0.0,0.023086269744835967,NONE
opportunity_share_nonrisk,0.062447008720474255,0.14512659722923701,0.46116094705171967,0.6792485075107049,0.8580146456747028,0.0,0.0,NONE
opp_spx_fraction,0.042016029838038316,0.15976717752903624,0.29133280826111074,0.3065566059344951,0.6060911140717886,0.001215066828675577,0.0,NONE
confirm_share_fraction,0.02528990941697673,0.2142412373156617,0.3104285613015685,0.5264348019778173,0.9881696075110935,0.002430133657351154,0.002430133657351154,NONE
risk_shibor_fraction,0.002170802389955151,0.6071219652179232,0.8880992735171829,0.9703740737492828,0.9826610089605554,0.004860267314702308,0.39611178614823817,NONE
entry_quantile,0.516728161153852,0.6925616103029724,0.7092431835568206,0.7454037563665691,0.8659318241774492,0.0,0.0,NONE
exit_quantile,0.2762387294269338,0.5210550205995872,0.913736168548331,0.9504435158025218,0.9982963487448908,0.0,0.36573511543134873,NONE
confirmation_gate_quantile,0.13971670774617984,0.48505775492374004,0.6868708132809791,0.7447911910720008,0.9871584301609492,0.0,0.012150668286755772,NONE
