window,group,return_contribution,sharpe_contribution
2021,structure,-0.059669738383166596,-0.5005368251225641
2021,trend,0.13743565423493634,1.1262428198680186
2021,volume_position,-0.08396505647535003,-0.5726996420926204
2022,structure,0.03285088490396865,0.16891775233032394
2022,trend,0.19050818904832212,1.3578405054219604
2022,volume_position,-0.1467407540997258,-0.8897187242202017
2023,structure,-0.004369068684354549,-0.0461976883345606
2023,trend,-0.02652854716450687,-0.3138717960897106
2023,volume_position,-0.01947513680094748,0.015429757244468684
2024,structure,0.045611362905361025,0.10465838158874266
2024,trend,0.19505116369291078,0.873824118159363
2024,volume_position,-0.0189574692540311,-0.11027021096299637
2025,structure,0.12590822401854324,0.6532298305858498
2025,trend,-0.10671222587221699,-0.13466883083628614
2025,volume_position,0.411918315185899,1.4373488666704133
2021H1,structure,0.008706833808144262,0.025289390839553505
2021H1,trend,0.17372780235575308,2.615339269779224
2021H1,volume_position,0.010633139145792298,0.016148691239626867
2021H2,structure,-0.05844932168058242,-1.1051631116120944
2021H2,trend,-0.020889789035762992,-0.6364504441574835
2021H2,volume_position,-0.0886095045349275,-1.0991642362640808
2022H1,structure,0.04903328362404652,0.5274802847792697
2022H1,trend,0.061448022630483656,0.6851497879993013
2022H1,volume_position,-0.06417336259112222,-0.4871315255200872
2022H2,structure,-0.015998197548394932,-0.29164242596770923
2022H2,trend,0.13841008708823843,2.3407182471929415
2022H2,volume_position,-0.09124362956576004,-1.4756141260190907
2023H1,structure,-0.02313757426445754,-0.3073574454021367
2023H1,trend,0.0029183773610340262,0.1080826053448673
2023H1,volume_position,0.03981173619631613,0.5794856408823092
2023H2,structure,0.015818246158309658,0.37464960383691065
2023H2,trend,-0.029691521428551595,-1.6722143131295466
2023H2,volume_position,-0.054747560256098754,-0.2936497610766463
2024H1,structure,0.025156962907071256,0.3680848361824424
2024H1,trend,0.011101365983348155,-0.22517069135155887
2024H1,volume_position,-0.06848063130616439,-0.5561137047781949
2024H2,structure,0.0159594977941682,0.04986139102736914
2024H2,trend,0.1954457515611622,1.0733493077122145
2024H2,volume_position,0.050976659624214306,0.2690527395686447
2025H1,structure,0.05935364608189201,0.8878280041503188
2025H1,trend,-0.04123768720287431,-0.4231138097354865
2025H1,volume_position,0.024616874425453274,0.22308117741180775
2025H2,structure,0.04651737298240144,0.5329325351188496
2025H2,trend,-0.042296057581942555,0.011614183415983248
2025H2,volume_position,0.3688922059840684,2.248367890998904
