object_type,object_id,classification,positive_years,negative_years,median_return_contribution,median_sharpe_contribution,single_interval_dominated
component,weights,regime_dependent,2,2,0.003586663761288633,0.012430998985860309,False
component,thresholds,regime_dependent,3,2,0.006359691226190456,0.032807022883551806,False
factor_group,structure,regime_dependent,3,2,0.03285088490396865,0.10465838158874266,False
factor_group,trend,regime_dependent,3,2,0.13743565423493634,0.873824118159363,False
factor_group,volume_position,regime_dependent,1,3,-0.01947513680094748,-0.11027021096299637,False
