regime,trading_days,baseline_exposure,ex04_exposure,baseline_daily_return_sum,ex04_daily_return_sum,daily_return_delta_sum
uptrend,237,0.7383966244725738,0.6835443037974683,0.3031737967521888,0.16212515233704017,-0.14104864441514864
downtrend,270,0.45185185185185184,0.35185185185185186,0.2163303307288661,0.3930873242625891,0.17675699353372298
sideways,678,0.6504424778761062,0.5619469026548672,-0.037928993296516444,0.13408599382403041,0.17201498712054686
warmup,27,0.5925925925925926,0.4444444444444444,0.009842774362439743,0.01437720146916921,0.004534427106729466
