entry_year,trades,stress_mean,total_return
2021,20,-0.0015358150529840963,-0.034626554463641934
2022,28,-0.00039495746525168774,-0.022437039673880443
2023,30,-0.0057828853260316025,-0.16630014718287123
2024,27,-0.004771627157331732,-0.1393048784096651
2025,28,0.00792264067800961,0.22103243098100922
2026,23,-0.0013572958510458496,-0.04658667426238616
