metric,window_id,candidate_value,incumbent_value,normalized_score,comparable,passed,reason_code
net_cagr,full,0.273616848726818,0.22827288231482012,1.9863930376741932,True,True,PASS
max_drawdown,full,-0.20194954536072063,-0.23930043158137382,1.867544311032658,True,True,PASS
calmar,full,1.3548772701522345,0.9539175537892677,4.203295292871232,True,True,PASS
profit_factor,full,3.0492499963813358,2.559187275003216,1.2766102899536182,True,True,PASS
net_cagr,2021,-0.001240647265367656,-0.02006222495348564,93.81600361752446,True,True,PASS
max_drawdown,2021,-0.14959180949786433,-0.16390070095531006,0.7154445728722872,True,True,PASS
calmar,2021,-0.00829355076011276,-0.12240475383296806,0.9322448638601893,True,False,NONINFERIORITY_CALMAR_2021
net_cagr,2022,0.10028427122875172,0.046605477191796085,11.517700766382173,True,True,PASS
max_drawdown,2022,-0.0966340454934469,-0.1086605991095978,0.7378665750480926,True,True,PASS
calmar,2022,1.037773703011868,0.4289087081582224,14.195678084228561,True,True,PASS
net_cagr,2023,-0.012982411874407518,-0.027223798054621162,52.312267934253974,True,True,PASS
max_drawdown,2023,-0.14391843581230368,-0.1563365538682875,0.6209059027991907,True,True,PASS
calmar,2023,-0.09020673273116302,-0.17413584591072048,0.4819749359507976,True,False,NONINFERIORITY_CALMAR_2023
net_cagr,2024,0.3097347299277611,0.24534582816542838,2.6244139647207474,True,True,PASS
max_drawdown,2024,-0.18231061322144249,-0.1823126122341735,9.995063655066089e-05,True,True,PASS
calmar,2024,1.698939652797633,1.345742486813206,2.6245523898172958,True,True,PASS
net_cagr,2025,0.5542567460861132,0.495062798916444,1.1956856241112928,True,True,PASS
max_drawdown,2025,-0.11730043754648212,-0.13940725597655257,1.105340921503523,True,True,PASS
calmar,2025,4.725103824668006,3.5511982173991754,3.3056606120076686,True,True,PASS
net_cagr,2026_ytd,1.2400434907611495,1.133113302903078,0.9436848687956669,True,True,PASS
max_drawdown,2026_ytd,-0.1208663277918196,-0.12085951871133305,-0.000375592012895651,True,True,PASS
calmar,2026_ytd,10.259627419946131,9.375457679998402,0.9430683494353748,True,True,PASS
net_cagr,full,0.2803008021604896,0.22827288231482012,2.2791984452150444,True,True,PASS
max_drawdown,full,-0.2254367659133768,-0.23930043158137382,0.6931832833998501,True,True,PASS
