candidate_id,window_id,scenario_id,measurement_tier,net_cagr,total_return,max_drawdown,calmar,calmar_status,profit_factor,profit_factor_status,closed_trades,turnover,cost_drag,objective_values
S001-v1,full,standard,FORMAL,0.22827288231482012,2.068100727711914,-0.23930043158137382,0.9539175537892677,VALID,2.559187275003216,VALID,70,176.77693835617,0.08838846917808502,"{'net_cagr': 0.22827288231482012, 'total_return': 2.068100727711914, 'full_return': 2.068100727711914, 'range_return': -0.25135542590887305, 'range_trade_count': 32.0, 'range_short_loss_count': 25.0, 'range_to_trend_return': 0.739487696026307}"
S001-v1,2021,standard,FORMAL,-0.02006222495348564,-0.01935269609999979,-0.16390070095531006,-0.12240475383296806,VALID,0.928285513161987,VALID,13,27.085792199999997,0.0135428961,"{'net_cagr': -0.02006222495348564, 'total_return': -0.01935269609999979, '2021_return': -0.01935269609999979, 'range_return': -0.0650774701352933, 'range_trade_count': 3.0, 'range_short_loss_count': 3.0, 'range_to_trend_return': 0.08564081458516593}"
S001-v1,2022,standard,FORMAL,0.046605477191796085,0.04471532005000012,-0.1086605991095978,0.4289087081582224,VALID,1.3342601335569737,VALID,11,22.933159900000007,0.011466579950000002,"{'net_cagr': 0.046605477191796085, 'total_return': 0.04471532005000012, '2022_return': 0.04471532005000012, 'range_return': -0.13119760759835297, 'range_trade_count': 6.0, 'range_short_loss_count': 6.0, 'range_to_trend_return': 0.0}"
S001-v1,2023,standard,FORMAL,-0.027223798054621162,-0.02615774525000014,-0.1563365538682875,-0.17413584591072048,VALID,0.8370283942695759,VALID,14,29.623290500000003,0.01481164525,"{'net_cagr': -0.027223798054621162, 'total_return': -0.02615774525000014, '2023_return': -0.02615774525000014, 'range_return': -0.0399932694554479, 'range_trade_count': 7.0, 'range_short_loss_count': 4.0, 'range_to_trend_return': 0.08067630999396203}"
S001-v1,2024,standard,FORMAL,0.24534582816542838,0.23454982489999998,-0.1823126122341735,1.345742486813206,VALID,2.5018698607149092,VALID,12,26.9531502,0.0134765751,"{'net_cagr': 0.24534582816542838, 'total_return': 0.23454982489999998, '2024_return': 0.23454982489999998, 'range_return': -0.11793587002454087, 'range_trade_count': 5.0, 'range_short_loss_count': 4.0, 'range_to_trend_return': 0.018900908111681325}"
S001-v1,2025,standard,FORMAL,0.495062798916444,0.4737424671366506,-0.13940725597655257,3.5511982173991754,VALID,5.358007279394724,VALID,12,30.847068926699997,0.015423534463349998,"{'net_cagr': 0.495062798916444, 'total_return': 0.4737424671366506, '2025_return': 0.4737424671366506, 'range_return': 0.04778812957046874, 'range_trade_count': 8.0, 'range_short_loss_count': 7.0, 'range_to_trend_return': 0.0}"
S001-v1,2026_ytd,standard,FORMAL,1.133113302903078,0.6274548587304802,-0.12085951871133305,9.375457679998402,VALID,12.662729723569845,LOW_SAMPLE,7,18.42457929904,0.009212289649520002,"{'net_cagr': 1.133113302903078, 'total_return': 0.6274548587304802, '2026_ytd_return': 0.6274548587304802, 'range_return': 0.0320776457957892, 'range_trade_count': 3.0, 'range_short_loss_count': 1.0, 'range_to_trend_return': 0.2923337269149946}"
R0539,full,standard,FORMAL,0.273616848726818,2.738621757579071,-0.20194954536072063,1.3548772701522345,VALID,3.0492499963813358,VALID,71,191.18317724186,0.09559158862093001,"{'net_cagr': 0.273616848726818, 'total_return': 2.738621757579071, 'full_return': 2.738621757579071, 'range_return': -0.08651441987191899, 'range_trade_count': 32.0, 'range_short_loss_count': 20.0, 'range_to_trend_return': 1.0753116664209457}"
R0539,2021,standard,FORMAL,-0.001240647265367656,-0.0011963649499997508,-0.14959180949786433,-0.00829355076011276,VALID,1.0389879790080534,VALID,12,25.1029299,0.01255146495,"{'net_cagr': -0.001240647265367656, 'total_return': -0.0011963649499997508, '2021_return': -0.0011963649499997508, 'range_return': -0.04776772675251861, 'range_trade_count': 2.0, 'range_short_loss_count': 2.0, 'range_to_trend_return': 0.08564081458516593}"
R0539,2022,standard,FORMAL,0.10028427122875172,0.09611945135000055,-0.0966340454934469,1.037773703011868,VALID,1.6669038035001396,VALID,11,23.7774973,0.011888748650000003,"{'net_cagr': 0.10028427122875172, 'total_return': 0.09611945135000055, '2022_return': 0.09611945135000055, 'range_return': -0.09303471638123961, 'range_trade_count': 5.0, 'range_short_loss_count': 3.0, 'range_to_trend_return': -0.025782232921178316}"
R0539,2023,standard,FORMAL,-0.012982411874407518,-0.012470462749999967,-0.14391843581230368,-0.09020673273116302,VALID,0.9591019900715875,VALID,16,33.5035255,0.016751762750000003,"{'net_cagr': -0.012982411874407518, 'total_return': -0.012470462749999967, '2023_return': -0.012470462749999967, 'range_return': -0.0676819503370536, 'range_trade_count': 9.0, 'range_short_loss_count': 6.0, 'range_to_trend_return': 0.08589192925069011}"
R0539,2024,standard,FORMAL,0.3097347299277611,0.29578578415,-0.18231061322144249,1.698939652797633,VALID,3.268548117456089,VALID,13,29.9762317,0.014988115850000002,"{'net_cagr': 0.3097347299277611, 'total_return': 0.29578578415, '2024_return': 0.29578578415, 'range_return': -0.04856635113038554, 'range_trade_count': 7.0, 'range_short_loss_count': 4.0, 'range_to_trend_return': 0.0}"
R0539,2025,standard,FORMAL,0.5542567460861132,0.5299691097254202,-0.11730043754648212,4.725103824668006,VALID,7.880930114887291,VALID,13,34.057794589160004,0.01702889729458,"{'net_cagr': 0.5542567460861132, 'total_return': 0.5299691097254202, '2025_return': 0.5299691097254202, 'range_return': 0.11235357148615321, 'range_trade_count': 8.0, 'range_short_loss_count': 5.0, 'range_to_trend_return': 0.2536476859609411}"
R0539,2026_ytd,standard,FORMAL,1.2400434907611495,0.6794414236350854,-0.1208663277918196,10.259627419946131,VALID,108.79649249195879,LOW_SAMPLE,5,12.86751430983,0.006433757154915,"{'net_cagr': 1.2400434907611495, 'total_return': 0.6794414236350854, '2026_ytd_return': 0.6794414236350854, 'range_return': 0.0650350991878228, 'range_trade_count': 1.0, 'range_short_loss_count': 0.0, 'range_to_trend_return': 0.2923337269149946}"
