mechanism_id,variant,year,episodes,mean_return,median_return,win_rate,profit_factor,cumulative_return,annualized_return
PRIOR_INTRADAY_CONTINUATION,PRIMARY,2021,59,-0.0007910446069534937,-0.0006745624282902263,0.4745762711864407,0.7754351735773739,-0.0475091390515765,-0.0475091390515765
PRIOR_INTRADAY_CONTINUATION,PRIMARY,2022,64,0.0009280471680234558,-0.0007880576220954949,0.4375,1.324945634231747,0.05830295020784759,0.05830295020784759
PRIOR_INTRADAY_CONTINUATION,PRIMARY,2023,65,-0.0022542789198244234,-0.0025055426119838797,0.2923076923076923,0.3852001179425711,-0.1376833965546631,-0.1376833965546631
PRIOR_INTRADAY_CONTINUATION,PRIMARY,2024,64,-0.000986654256941803,-0.0023441520136132654,0.421875,0.8394638084680434,-0.06940031088182219,-0.06940031088182219
PRIOR_INTRADAY_CONTINUATION,PRIMARY,2025,63,0.00021402509497885322,-0.0005135734980815654,0.47619047619047616,1.0807402725186601,0.011814466717887884,0.011814466717887884
PRIOR_INTRADAY_CONTINUATION,PRIMARY,2026,50,-0.002788524561055865,-0.0016075110250589053,0.46,0.5237987798088731,-0.13307775728347915,-0.13307775728347915
PRIOR_INTRADAY_CONTINUATION,OPPOSITE,2021,59,-0.0015402860979585131,-0.0017237229203564963,0.423728813559322,0.6086377029569657,-0.08873838558967184,-0.08873838558967184
PRIOR_INTRADAY_CONTINUATION,OPPOSITE,2022,64,-0.0032382439104322747,-0.0016103339821467721,0.390625,0.349241593476193,-0.18963187012303673,-0.18963187012303673
PRIOR_INTRADAY_CONTINUATION,OPPOSITE,2023,65,-9.894452976712584e-05,0.00010869235538413236,0.5384615384615384,0.9560297415717034,-0.00783636667018528,-0.00783636667018528
PRIOR_INTRADAY_CONTINUATION,OPPOSITE,2024,64,-0.0011393635125830325,-5.3084304249884084e-05,0.5,0.8138612388431321,-0.07842760680924787,-0.07842760680924787
PRIOR_INTRADAY_CONTINUATION,OPPOSITE,2025,63,-0.0025556483058218294,-0.0018845169297979636,0.36507936507936506,0.3785133002313271,-0.15036228577959498,-0.15036228577959498
PRIOR_INTRADAY_CONTINUATION,OPPOSITE,2026,50,0.0005202115148960429,-0.0007908802135401238,0.46,1.1241210317038008,0.023068021840479735,0.023068021840479735
PRIOR_INTRADAY_CONTINUATION,FIXED_LONG,2021,59,8.49786081358422e-05,0.0016454951865110257,0.5932203389830508,1.0289082456732073,0.0030847434965881604,0.0030847434965881604
PRIOR_INTRADAY_CONTINUATION,FIXED_LONG,2022,64,-0.000513850454317644,-0.0002076749401249689,0.484375,0.8525999920436829,-0.035075326997197065,-0.035075326997197065
