mechanism_id,entry_year,episodes,stress_mean_return,stress_total_return
OPENING_SELLOFF_REVERSAL,2021,31,-0.001170282253914274,-0.038446796492613955
OPENING_SELLOFF_REVERSAL,2022,48,-0.0037521137424217942,-0.17221192632097548
OPENING_SELLOFF_REVERSAL,2023,46,-0.004118741410891642,-0.1752921058969774
OPENING_SELLOFF_REVERSAL,2024,54,-0.004689188922310459,-0.23407289540761766
OPENING_SELLOFF_REVERSAL,2025,45,-0.0023134048482877723,-0.10524624758273693
OPENING_SELLOFF_REVERSAL,2026,40,0.00473905667736507,0.18956395524694236
OPENING_BREAKOUT_CONTINUATION,2021,27,0.000296210606126563,0.004573239256202344
OPENING_BREAKOUT_CONTINUATION,2022,45,-0.002046091433692232,-0.09568228505370202
OPENING_BREAKOUT_CONTINUATION,2023,46,0.0019658849632980886,0.09038010348315217
OPENING_BREAKOUT_CONTINUATION,2024,50,0.0030275720044792265,0.13289470902459377
OPENING_BREAKOUT_CONTINUATION,2025,52,-0.002756581944919723,-0.14316432834366388
OPENING_BREAKOUT_CONTINUATION,2026,34,-0.0008040498064392351,-0.051062759637127364
LATE_SELLOFF_REVERSAL,2021,26,0.0026229524789208505,0.06900970718106558
LATE_SELLOFF_REVERSAL,2022,53,0.0002434905284424138,0.005177085660545533
LATE_SELLOFF_REVERSAL,2023,47,-0.0015416421337930656,-0.0746735299428023
LATE_SELLOFF_REVERSAL,2024,57,0.0053326131945135215,0.31857545063376347
LATE_SELLOFF_REVERSAL,2025,39,0.00241803128986567,0.08249670731551695
LATE_SELLOFF_REVERSAL,2026,40,0.0038624703443909197,0.1508491541835586
LATE_BREAKOUT_CONTINUATION,2021,30,-0.005298672768434805,-0.1509899657599877
LATE_BREAKOUT_CONTINUATION,2022,51,-0.001668175752630798,-0.08995282499730628
LATE_BREAKOUT_CONTINUATION,2023,47,-0.0039048096073427503,-0.17161999020869878
LATE_BREAKOUT_CONTINUATION,2024,50,-0.0029435777123897645,-0.15293622911206017
LATE_BREAKOUT_CONTINUATION,2025,47,-0.0029736323219783038,-0.1364541785406529
LATE_BREAKOUT_CONTINUATION,2026,39,-0.00800061049505791,-0.28450161149266584
