eligible_rank,family,pressure_position,candidate_id,full_champion_return,full_challenger_return,full_return_delta,full_champion_max_drawdown,full_challenger_max_drawdown,max_drawdown_improvement,worst_annual_return_delta,median_annual_return_delta,full_champion_sharpe,full_challenger_sharpe,full_champion_exposure,full_challenger_exposure,full_trade_count,transition_count,2021_champion_return,2021_challenger_return,2021_return_delta,2021_challenger_max_drawdown,2022_champion_return,2022_challenger_return,2022_return_delta,2022_challenger_max_drawdown,2023_champion_return,2023_challenger_return,2023_return_delta,2023_challenger_max_drawdown,audit_status,eligible
,trend_damage,0.5,trend_L20_D0.06_P0.50,0.016356216392118927,-0.018387994042408873,-0.0347442104345278,-0.2551487317445502,-0.24642912830754227,0.00871960343700795,-0.029943210048602786,-0.003563555601393542,0.1393497704175517,0.04556118073613768,0.5268225584594223,0.48693259972489683,97,97,-0.00619914062358029,-0.03614235067218308,-0.029943210048602786,-0.1836087892259397,0.07661831985256495,0.07305476425117141,-0.003563555601393542,-0.08290014042209093,-0.050372752649808894,-0.050978338212744334,-0.0006055855629354401,-0.1502058310994725,PASS,False
,trend_damage,0.75,trend_L20_D0.06_P0.75,0.016356216392118927,-0.000878718629381825,-0.017234935021500752,-0.2551487317445502,-0.2507751874227754,0.004373544321774836,-0.015017035053379701,-0.001634843239649575,0.1393497704175517,0.09371721264882171,0.5268225584594223,0.5068775790921596,97,97,-0.00619914062358029,-0.021216175676959992,-0.015017035053379701,-0.18243839189198052,0.07661831985256495,0.07498347661291538,-0.001634843239649575,-0.08290014042209082,-0.050372752649808894,-0.05060298735630564,-0.00023023470649674582,-0.1483903667598908,PASS,False
,trend_damage,0.5,trend_L20_D0.10_P0.50,0.016356216392118927,0.0020701657183648248,-0.014286050673754103,-0.2551487317445502,-0.24988959336360583,0.005259138380944384,-0.0178139667545385,0.0,0.1393497704175517,0.10241656721464151,0.5268225584594223,0.5178817056396149,85,85,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.07661831985256495,0.05880435309802645,-0.0178139667545385,-0.08290014042209037,-0.050372752649808894,-0.04796832285017261,0.0024044297996362873,-0.14874763424838988,PASS,False
,trend_damage,0.75,trend_L20_D0.10_P0.75,0.016356216392118927,0.009275405221391697,-0.00708081117072723,-0.2551487317445502,-0.25252179343871095,0.002626938305839266,-0.008853523824882803,0.0,0.1393497704175517,0.12113765790466231,0.5268225584594223,0.5223521320495186,85,85,-0.00619914062358029,-0.00619914062358029,0.0,-0.1812898546014765,0.07661831985256495,0.06776479602768215,-0.008853523824882803,-0.08290014042209015,-0.050372752649808894,-0.049169559775210425,0.0012031928745984688,-0.14982171171745873,PASS,False
,trend_damage,0.5,trend_L60_D0.06_P0.50,0.016356216392118927,-0.03754411094322674,-0.053900327335345666,-0.2551487317445502,-0.24295991918923776,0.012188812555312456,-0.03271658207588812,-0.028718354512719313,0.1393497704175517,-0.009696847835804599,0.5268225584594223,0.47248968363136173,108,109,-0.00619914062358029,-0.0349174951362996,-0.028718354512719313,-0.18360878922593948,0.07661831985256495,0.08747175713642785,0.010853437283862899,-0.08290014042209104,-0.050372752649808894,-0.08308933472569702,-0.03271658207588812,-0.17193664058346947,PASS,False
,trend_damage,0.75,trend_L60_D0.06_P0.75,0.016356216392118927,-0.010632475029407451,-0.02698869142152638,-0.2551487317445502,-0.24903537814804222,0.006113353596507998,-0.016382511460303006,-0.014417341979980458,0.1393497704175517,0.06705419960715056,0.5268225584594223,0.49965612104539203,108,109,-0.00619914062358029,-0.02061648260356075,-0.014417341979980458,-0.18243839189198052,0.07661831985256495,0.08219720613754511,0.005578886284980156,-0.08290014042209104,-0.050372752649808894,-0.0667552641101119,-0.016382511460303006,-0.16138797879217914,PASS,False
,trend_damage,0.5,trend_L60_D0.10_P0.50,0.016356216392118927,-0.07836979398659505,-0.09472601037871398,-0.2551487317445502,-0.24799125734141447,0.007157474403135744,-0.04870230068352144,-0.024548952185080464,0.1393497704175517,-0.12241083639351084,0.5268225584594223,0.4855570839064649,102,102,-0.00619914062358029,-0.030748092808660754,-0.024548952185080464,-0.18760417851194644,0.07661831985256495,0.055364478410644846,-0.021253841441920107,-0.08290014042209093,-0.050372752649808894,-0.09907505333333033,-0.04870230068352144,-0.18756964817245025,PASS,False
,trend_damage,0.75,trend_L60_D0.10_P0.75,0.016356216392118927,-0.03192146451055389,-0.048277680902672815,-0.2551487317445502,-0.251555151671251,0.0035935800732992407,-0.024590941310639103,-0.012316103786380261,0.1393497704175517,0.011081424551769848,0.5268225584594223,0.5061898211829436,102,102,-0.00619914062358029,-0.018515244409960552,-0.012316103786380261,-0.18444385781538497,0.07661831985256495,0.06607185438290575,-0.010546465469659205,-0.08290014042209082,-0.050372752649808894,-0.074963693960448,-0.024590941310639103,-0.1693745339749626,PASS,False
,trend_damage,0.5,trend_L120_D0.06_P0.50,0.016356216392118927,-0.02287817171377593,-0.03923438810589486,-0.2551487317445502,-0.23086255589742144,0.024286175847128777,-0.04502129399266264,0.0037837414639997347,0.1393497704175517,0.030631286494337794,0.5268225584594223,0.469050894085282,112,113,-0.00619914062358029,-0.0024153991595805557,0.0037837414639997347,-0.1710446231828897,0.07661831985256495,0.08260033385315113,0.005982014000586178,-0.08430098040778022,-0.050372752649808894,-0.09539404664247153,-0.04502129399266264,-0.17146480960944344,PASS,False
,trend_damage,0.75,trend_L120_D0.06_P0.75,0.016356216392118927,-0.0031120795765184894,-0.019468295968637417,-0.2551487317445502,-0.24305387646995325,0.012094855274596972,-0.022644878102560106,0.0019204059748006985,0.1393497704175517,0.08684453927046352,0.5268225584594223,0.49793672627235214,112,113,-0.00619914062358029,-0.004278734648779592,0.0019204059748006985,-0.17616132351952185,0.07661831985256495,0.07977725284119219,0.003158932988627239,-0.08359268274633458,-0.050372752649808894,-0.073017630752369,-0.022644878102560106,-0.1611476199440246,PASS,False
