period,subject,cagr,total_return,maximum_drawdown,calmar,closed_trades,order_count,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio
FULL,S007_PLATFORM_MEDOID,0.26339264295125697,2.577879669447525,-0.1958398099707267,1.3449392286002921,160,320,7.0,4.0,0.3930131004366812
FULL,BUYHOLD,0.03057517319806058,0.17846143876617027,-0.599514563106796,0.05099988403887029,0,1,0.0,0.0,1.0
FULL,S007_MINUS_BUYHOLD,0.2328174697531964,2.3994182306813547,0.40367475313606926,1.2939393445614218,160,320,7.0,4.0,-0.6069868995633187
DISCOVERY,S007_PLATFORM_MEDOID,0.023671033565962896,0.0698231444420272,-0.18238482850101945,0.12978619855889267,84,169,7.0,4.0,0.33012379642365886
DISCOVERY,BUYHOLD,-0.15545202797308966,-0.3857898394002435,-0.4878640776699029,-0.318637987686134,0,1,0.0,0.0,1.0
DISCOVERY,S007_MINUS_BUYHOLD,0.17912306153905255,0.45561298384227067,0.30547924916888347,0.44842418624502667,84,169,7.0,4.0,-0.6698762035763411
CONFIRMATION,S007_PLATFORM_MEDOID,0.6000383028443488,2.3426942034431617,-0.1808872742621045,3.3171946743743685,76,152,7.0,4.0,0.46367851622874806
CONFIRMATION,BUYHOLD,0.2886662966514031,0.917702731203206,-0.3022437307523098,0.955077863593361,0,1,0.0,0.0,1.0
CONFIRMATION,S007_MINUS_BUYHOLD,0.3113720061929457,1.4249914722399557,0.12135645649020532,2.3621168107810075,76,152,7.0,4.0,-0.536321483771252
YEAR_2021,S007_PLATFORM_MEDOID,0.03445148335849879,0.033200874377358636,-0.06141016900605323,0.5610061642250633,28,56,8.0,5.0,0.345679012345679
YEAR_2021,BUYHOLD,0.011902032423231734,0.01147453052895675,-0.18467583497053042,0.0644482393981378,0,1,0.0,0.0,1.0
YEAR_2021,S007_MINUS_BUYHOLD,0.022549450935267057,0.021726343848401886,0.12326566596447719,0.4965579248269255,28,56,8.0,5.0,-0.654320987654321
YEAR_2022,S007_PLATFORM_MEDOID,-0.014735030431013763,-0.014154465295384777,-0.14552912097105453,-0.10125142193323997,33,66,8.0,6.0,0.30578512396694213
YEAR_2022,BUYHOLD,-0.32310255328134974,-0.31253885252495694,-0.3766183110535324,-0.8579045250814267,0,1,0.0,0.0,1.0
YEAR_2022,S007_MINUS_BUYHOLD,0.308367522850336,0.29838438722957217,0.23108919008247786,0.7566531031481867,33,66,8.0,6.0,-0.6942148760330579
YEAR_2023,S007_PLATFORM_MEDOID,0.0524446723706804,0.05031205566902064,-0.09191949784588571,0.5705500312742169,23,47,5.0,3.0,0.33884297520661155
YEAR_2023,BUYHOLD,-0.1214831404603739,-0.11695621287633784,-0.28956228956228947,-0.41954061298524487,0,1,0.0,0.0,1.0
YEAR_2023,S007_MINUS_BUYHOLD,0.1739278128310543,0.16726826854535848,0.19764279171640375,0.9900906442594617,23,47,5.0,3.0,-0.6611570247933884
YEAR_2024,S007_PLATFORM_MEDOID,0.47532188754398774,0.4527300797682865,-0.159521295950669,2.9796766927656995,31,62,8.0,6.0,0.512396694214876
YEAR_2024,BUYHOLD,0.16950721403147417,0.1622629052446254,-0.24349751729639768,0.6961352867723135,0,1,0.0,0.0,1.0
YEAR_2024,S007_MINUS_BUYHOLD,0.30581467351251357,0.2904671745236611,0.08397622134572869,2.283541405993386,31,62,8.0,6.0,-0.487603305785124
YEAR_2025,S007_PLATFORM_MEDOID,0.48059145390358915,0.45998456849545866,-0.10762651461154671,4.465362978985003,24,49,5.0,4.0,0.411522633744856
YEAR_2025,BUYHOLD,0.3870188754648707,0.3709070217366566,-0.17489177489177488,2.212904956247157,0,1,0.0,0.0,1.0
YEAR_2025,S007_MINUS_BUYHOLD,0.09357257843871847,0.08907754675880208,0.06726526028022817,2.252458022737846,24,49,5.0,4.0,-0.588477366255144
YEAR_2026,S007_PLATFORM_MEDOID,1.0048279669677402,0.5638404025995907,-0.1808872742621045,5.554995347609423,21,42,9.0,5.0,0.4691358024691358
YEAR_2026,BUYHOLD,0.3251424890123933,0.19838778150722058,-0.3022437307523098,1.0757625582608001,0,1,0.0,0.0,1.0
YEAR_2026,S007_MINUS_BUYHOLD,0.679685477955347,0.3654526210923701,0.12135645649020532,4.479232789348623,21,42,9.0,5.0,-0.5308641975308642
