year,feature,raw_coverage,normalized_coverage,normalized_mean,normalized_std,normalized_q10,normalized_q90
2021,micro_share_change_5d_lag1,0.9753086419753086,0.897119341563786,-0.00959876714122337,0.25193141138181446,-0.38095238095238093,0.30861512319456247
2021,tsfresh__log_volume_change__mean__lb20,0.9176954732510288,0.8395061728395061,0.018964669275207208,0.27304246796971915,-0.36701048951048953,0.3991013071895425
2021,price_close_vwap_deviation,1.0,0.9218106995884774,0.00254610843736821,0.27628116331858854,-0.3973349921424829,0.37148958333333343
2021,risk_global_spx_return,1.0,0.9218106995884774,0.0015296628548404567,0.2741169188805154,-0.3873214285714286,0.37014260249554376
2021,risk_chinext_turnover_z20,0.9218106995884774,0.8436213991769548,0.05975154076404532,0.2889095711787228,-0.3974499201179796,0.4245652173913044
2021,risk_shibor_on_change_5d,0.9794238683127572,0.9012345679012346,0.06631015787496944,0.2309844758984491,-0.27284020327498587,0.3451477832512316
2021,price_intraday_range,1.0,0.9218106995884774,-0.05103635873285671,0.2913558208926617,-0.4342482844666251,0.3650101714617846
2022,micro_share_change_5d_lag1,1.0,1.0,-0.0836074896193159,0.251510439374797,-0.37896825396825395,0.2755235226620769
2022,tsfresh__log_volume_change__mean__lb20,1.0,1.0,0.046765428148151954,0.28925929393198924,-0.3547619047619047,0.4145278450363196
2022,price_close_vwap_deviation,1.0,1.0,0.013109053146078018,0.30968055552742035,-0.42619047619047623,0.4222222222222222
2022,risk_global_spx_return,1.0,1.0,-0.03492490503104187,0.3326637068960322,-0.44642857142857145,0.45833333333333337
2022,risk_chinext_turnover_z20,1.0,1.0,-0.02208975343130557,0.28378600247930047,-0.40634920634920635,0.39841269841269844
2022,risk_shibor_on_change_5d,1.0,1.0,0.0009616989639203519,0.2851739325057939,-0.3907898636633077,0.4103174603174603
2022,price_intraday_range,1.0,1.0,0.04418719220159186,0.28552110535332687,-0.36507936507936506,0.43452380952380953
2023,micro_share_change_5d_lag1,1.0,1.0,0.015987800078709164,0.28443214297897046,-0.3853174603174603,0.40634920634920635
2023,tsfresh__log_volume_change__mean__lb20,1.0,1.0,-0.0022464908828545224,0.3070230401032461,-0.45396825396825397,0.40634920634920635
2023,price_close_vwap_deviation,1.0,1.0,-0.004558572740390918,0.26681262635752767,-0.3746031746031746,0.3626984126984127
2023,risk_global_spx_return,1.0,1.0,0.030868752459661544,0.2334283678321667,-0.30674603174603177,0.330952380952381
2023,risk_chinext_turnover_z20,1.0,1.0,0.011380034107306838,0.28207321734067897,-0.3865079365079365,0.4027777777777778
2023,risk_shibor_on_change_5d,1.0,1.0,-0.011503017184835363,0.2934006708426467,-0.4103174603174603,0.3904761904761905
2023,price_intraday_range,1.0,1.0,-0.11138987275350912,0.2739185945614059,-0.4581349206349206,0.2873015873015873
2024,micro_share_change_5d_lag1,1.0,1.0,0.0868588482224846,0.2916435058492326,-0.34206349206349207,0.43452380952380953
2024,tsfresh__log_volume_change__mean__lb20,1.0,1.0,-0.015463072281254094,0.3316257227843821,-0.44642857142857145,0.453968253968254
2024,price_close_vwap_deviation,1.0,1.0,0.02010363373999737,0.31832661904746407,-0.43412698412698414,0.4380952380952381
2024,risk_global_spx_return,1.0,1.0,0.0016479732388823326,0.2870077540280507,-0.39444444444444443,0.39841269841269844
2024,risk_chinext_turnover_z20,1.0,1.0,-0.010379771743408107,0.2837373564123412,-0.3861111111111111,0.3829365079365079
2024,risk_shibor_on_change_5d,1.0,1.0,0.024899973763610125,0.2516854559433033,-0.3648809523809524,0.35297619047619044
2024,price_intraday_range,1.0,1.0,0.13642922733831825,0.25942534418651847,-0.23968253968253964,0.4543650793650794
2025,micro_share_change_5d_lag1,1.0,1.0,0.04880299170422627,0.2528207814296305,-0.29325396825396816,0.3861111111111112
2025,tsfresh__log_volume_change__mean__lb20,1.0,1.0,0.009904304657391078,0.258544903015524,-0.3519841269841269,0.3464285714285715
2025,price_close_vwap_deviation,1.0,1.0,-0.029925207394343192,0.2750472025776133,-0.3900793650793651,0.36230158730158735
2025,risk_global_spx_return,1.0,1.0,-0.0037967862041936164,0.28851293955638097,-0.4099206349206349,0.38055555555555565
2025,risk_chinext_turnover_z20,1.0,1.0,0.0139297145469985,0.29412984016554655,-0.4321428571428571,0.39722222222222237
2025,risk_shibor_on_change_5d,1.0,1.0,-0.0028822914625383747,0.24833615046967417,-0.3484126984126984,0.36626984126984136
2025,price_intraday_range,1.0,1.0,-0.05140766869161931,0.2958843584756283,-0.444047619047619,0.34563492063492074
2026,micro_share_change_5d_lag1,1.0,1.0,0.030496766607877725,0.3617145318732953,-0.47817460317460314,0.4583333333333333
2026,tsfresh__log_volume_change__mean__lb20,1.0,1.0,0.004531648050166569,0.2928702335758246,-0.39444444444444443,0.3908730158730159
2026,price_close_vwap_deviation,1.0,1.0,-0.007985498726239468,0.35379930550788335,-0.4543650793650794,0.4777777777777778
2026,risk_global_spx_return,1.0,1.0,-0.012186458945718206,0.2965985220476779,-0.4047619047619047,0.4103174603174603
2026,risk_chinext_turnover_z20,1.0,1.0,-0.018959435626102288,0.29592595746431677,-0.417063492063492,0.3746031746031746
2026,risk_shibor_on_change_5d,1.0,1.0,-0.03974377816970409,0.24259207166026384,-0.3543650793650793,0.3113095238095238
2026,price_intraday_range,1.0,1.0,0.21960121497158533,0.22867035402094668,-0.1246031746031746,0.457936507936508
