year,trades,stress_mean
2021,24,-0.0033290395565651032
2022,74,-0.002612018264531698
2023,63,-0.0008531640816770067
2024,63,-0.0026011847533482686
2025,67,-0.000692865854121231
2026,44,-0.001157897795758842
