hypothesis_id,mechanism,signal_name,state_primary,exit_clock,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar,positive_years,rolling_30d_median_episodes,rolling_30d_p10_episodes,rolling_30d_min_episodes,rolling_30d_max_episodes,density_pass,matched_random_percentile,evidence
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,09:45,886,-0.0007115389216459976,-0.0010365952702703907,0.4322799097065463,0.8247739115406696,-0.11232725200575955,-0.6030352776701615,-0.18626978580712236,2,19.0,17.0,14,26,True,0.831,DIRECTION_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,09:45,876,-0.0012717463225051411,-0.001199280431741001,0.4257990867579909,0.698340429213766,-0.18449970296366336,-0.6950223566179867,-0.2654586592889588,0,19.0,16.0,14,24,True,0.2725,DIRECTION_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,09:45,968,-0.001202980877461407,-0.0014747628440126004,0.41115702479338845,0.7304921607742401,-0.19503958643596198,-0.7123624293274231,-0.2737926347689456,0,21.0,17.0,14,28,True,0.3435,DIRECTION_FAIL
M04,rbreaker_long,bar_r_breaker_V230326,做多,09:45,759,-0.0010629756824736061,-0.0009986777565917926,0.4413702239789196,0.7577691298053554,-0.1401108284238839,-0.587037677838862,-0.2386743367814006,0,16.0,14.0,10,24,False,0.485,EVIDENCE_RATE_FAIL
M05,cci_oversold_reversal,cci_decision_V240620,开多,09:45,756,-0.0016642725180847327,-0.0016400956433294533,0.41798941798941797,0.6468580313714456,-0.20502856243622314,-0.7305615247903849,-0.2806451687899258,0,16.0,13.0,10,23,False,0.066,EVIDENCE_RATE_FAIL
M06,10bar_price_momentum_continuation,ntmdk_V230824,看多,09:45,921,-0.0006111380423854666,-0.001199280431740779,0.42779587404994573,0.8462660518223271,-0.10219592683553402,-0.5603961118901207,-0.18236373284397808,2,20.0,18.0,15,28,True,0.8835,DIRECTION_FAIL
M07,macd_direction_continuation,tas_macd_direct_V221106,向上,09:45,1142,-0.0010127667827965177,-0.001199280431741001,0.42819614711033277,0.7702261849738391,-0.19489699276963235,-0.7450135541108299,-0.2616019422656558,2,25.0,22.0,19,29,True,0.5485,DIRECTION_FAIL
M01,10bar_momentum_continuation,bar_section_momentum_V221112,上涨,10:30,765,-0.0005191136149811229,-0.0010262979725154109,0.4549019607843137,0.8847126660078526,-0.07601853337922204,-0.5115735010465603,-0.1485974805647787,3,17.0,14.0,12,23,False,0.807,EVIDENCE_RATE_FAIL
M02,10bar_down_move_reversal,bar_section_momentum_V221112,下跌,10:30,767,-0.0013978503211657823,-0.0013770029797068872,0.4302477183833116,0.7103169222759165,-0.1791486693594413,-0.6784779107839432,-0.26404495490862046,0,17.0,15.0,12,22,False,0.1415,EVIDENCE_RATE_FAIL
M03,weak_bottom_fractal_reversal,cxt_fx_power_V221107,弱底,10:30,799,-0.0012590429302142432,-0.0013717253073570745,0.42428035043804757,0.7373672776866135,-0.17152880336479492,-0.6745998052792668,-0.2542674961102108,1,17.0,15.0,11,24,False,0.2325,EVIDENCE_RATE_FAIL
M04,rbreaker_long,bar_r_breaker_V230326,做多,10:30,723,-0.0005311088971875525,-0.0009245071938953631,0.46473029045643155,0.8885261338097702,-0.07520335937293576,-0.4932162120566834,-0.1524754408605955,2,16.0,13.0,10,23,False,0.7805,EVIDENCE_RATE_FAIL
M05,cci_oversold_reversal,cci_decision_V240620,开多,10:30,676,-0.0014326613178328748,-0.0008682927471522772,0.4467455621301775,0.7139119077836683,-0.164093784077318,-0.6505862880002526,-0.2522244736846564,1,15.0,12.0,10,20,False,0.137,EVIDENCE_RATE_FAIL
