mechanism,family,quantile,raw_events,independent_events,rolling_60_median,rolling_60_p10,rolling_60_minimum,rolling_60_maximum,density_pass
COORDINATED_EXTERNAL_DEMAND_Q60,COORDINATED_EXTERNAL_DEMAND,0.6,60,52,2.0,1.0,0.0,5.0,False
EXTERNAL_FLOW_PRICE_DIVERGENCE_Q60,EXTERNAL_FLOW_PRICE_DIVERGENCE,0.6,35,33,2.0,0.0,0.0,4.0,False
EXTERNAL_FLOW_PRICE_DIVERGENCE_Q80,EXTERNAL_FLOW_PRICE_DIVERGENCE,0.8,19,19,1.0,0.0,0.0,3.0,False
COORDINATED_EXTERNAL_DEMAND_Q70,COORDINATED_EXTERNAL_DEMAND,0.7,24,21,1.0,0.0,0.0,3.0,False
EXTERNAL_FLOW_PRICE_DIVERGENCE_Q70,EXTERNAL_FLOW_PRICE_DIVERGENCE,0.7,30,29,1.0,0.0,0.0,4.0,False
COORDINATED_EXTERNAL_DEMAND_Q80,COORDINATED_EXTERNAL_DEMAND,0.8,8,8,0.0,0.0,0.0,1.0,False
