excluded_year,episodes,stress_mean_return,stress_profit_factor
2021,236,0.0020898678130798383,1.280752313609736
2022,209,0.002624404642733665,1.365325662763498
2023,215,0.0029481988308235263,1.408943876158398
2024,205,0.0012558371524464065,1.1891107035656208
2025,223,0.0020946293633812675,1.3147379355345528
2026,222,0.0018329133088430052,1.270889058223794
