window,start,end,strategy_cagr,buyhold_cagr,required_strategy_cagr,return_gate,strategy_max_drawdown,drawdown_gate
FULL,2021-01-04,2026-09-02,0.26753541939751724,0.0287521887706077,0.04312828315591155,PASS,-0.21533380100584476,FAIL
2021,2021-01-04,2021-12-31,-0.018862721129590865,0.011902032423232844,0.017853048634849267,FAIL,-0.16399176937661653,FAIL
2022,2022-01-04,2022-12-30,0.09626263918388966,-0.32324121938022665,0.0,PASS,-0.09534298863188362,PASS
2023,2023-01-03,2023-12-29,-0.015316386277952398,-0.12102572613126983,0.0,FAIL,-0.1444856348653185,PASS
2024,2024-01-02,2024-12-31,0.3091099470481238,0.17011613730014008,0.2551742059502101,PASS,-0.18231336323128544,FAIL
2025,2025-01-02,2025-12-31,0.5357594479031509,0.36829492989403767,0.5524423948410565,FAIL,-0.11707955660468494,PASS
2026,2026-01-05,2026-09-02,1.408910514273785,0.34123968631973756,0.5118595294796063,PASS,-0.12035534331473885,PASS
