event_id,window,year,signal_date,start_date,end_date,interval_days,path_mechanisms,alternative_log_value,event_type,action_family,regime,block_label,ex04_margin,margin_band,model_eligible
2021H1:missed_baseline_entry:20210106,2021H1,2021,2021-01-06,2021-01-07,2021-01-12,4,late_entry,-0.006756412655956404,missed_baseline_entry,enter_now,warmup,threshold_block,-0.0199256797050813,far,False
2021H1:missed_baseline_entry:20210415,2021H1,2021,2021-04-15,2021-04-16,2021-04-16,1,late_entry,0.0056729840654298,missed_baseline_entry,enter_now,downtrend,threshold_block,-0.0080316262648669,near,True
2021H1:early_ex04_exit:20210616,2021H1,2021,2021-06-16,2021-06-17,2021-06-17,1,interrupted_holding,0.0439557062251363,early_ex04_exit,continue_hold,uptrend,joint_margin_block,-0.0016635186917023,near,True
2021H2:early_ex04_exit:20210706,2021H2,2021,2021-07-06,2021-07-07,2021-07-07,1,interrupted_holding,0.0308629887718,early_ex04_exit,continue_hold,uptrend,joint_margin_block,-0.0016635186917023,near,True
2021H2:missed_baseline_entry:20210723,2021H2,2021,2021-07-23,2021-07-26,2021-07-29,4,late_entry,0.0199406012531431,missed_baseline_entry,enter_now,uptrend,independent_double_block,-0.0318197331452957,far,True
2021H2:missed_baseline_entry:20210831,2021H2,2021,2021-08-31,2021-09-01,2021-09-03,3,fully_missed_entry,-0.014948010789036598,missed_baseline_entry,enter_now,sideways,independent_double_block,-0.056511091169987,far,True
2021H2:missed_baseline_entry:20210910,2021H2,2021,2021-09-10,2021-09-13,2021-09-15,3,fully_missed_entry,-0.0324027193327759,missed_baseline_entry,enter_now,sideways,independent_double_block,-0.0318197331452957,far,True
2021H2:missed_baseline_entry:20210927,2021H2,2021,2021-09-27,2021-09-28,2021-10-11,5,fully_missed_entry,-0.0169346858277151,missed_baseline_entry,enter_now,downtrend,independent_double_block,-0.0318197331452957,far,True
2021H2:early_ex04_exit:20211223,2021H2,2021,2021-12-23,2021-12-24,2021-12-27,2,early_exit,-0.01516971125585,early_ex04_exit,continue_hold,sideways,joint_margin_block,-0.0016635186917023,near,True
2022H1:early_ex04_exit:20220120,2022H1,2022,2022-01-20,2022-01-21,2022-01-21,1,early_exit,-0.0107317414451761,early_ex04_exit,continue_hold,sideways,independent_double_block,-0.0370464692304902,far,True
2022H1:early_ex04_exit:20220303,2022H1,2022,2022-03-03,2022-03-04,2022-03-08,3,early_exit,-0.0550927864505023,early_ex04_exit,continue_hold,downtrend,independent_double_block,-0.04923973245256,far,True
2022H1:missed_baseline_entry:20220318,2022H1,2022,2022-03-18,2022-03-21,2022-03-21,1,late_entry,0.0071305138240406,missed_baseline_entry,enter_now,downtrend,threshold_block,-0.0196264699232259,far,True
2022H1:early_ex04_exit:20220324,2022H1,2022,2022-03-24,2022-03-25,2022-03-25,1,early_exit,-0.0229079658563327,early_ex04_exit,continue_hold,downtrend,independent_double_block,-0.0370464692304902,far,True
2022H1:missed_baseline_entry:20220429,2022H1,2022,2022-04-29,2022-05-05,2022-05-05,1,late_entry,0.0107534406450766,missed_baseline_entry,enter_now,downtrend,threshold_block,-0.0080316262648669,near,True
2022H2:missed_baseline_entry:20220916,2022H2,2022,2022-09-16,2022-09-19,2022-09-21,3,fully_missed_entry,-0.028115042074624202,missed_baseline_entry,enter_now,sideways,independent_double_block,-0.0327229842895582,far,True
