mechanism,signal_date,event_date,signal_clock,execution_clock,announcement_date,premium_rate,prior_60_premium_q20
ETF_DISCOUNT_REVERSAL,2021-10-20,2021-10-22,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-21,-0.0014631035302061,-0.0013606568750962398
ETF_DISCOUNT_REVERSAL,2021-10-25,2021-10-27,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-26,-0.0014410124678904,-0.00139671326456706
ETF_DISCOUNT_REVERSAL,2021-09-30,2021-10-28,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-10-27,-0.0013534173788816,-0.0010974172763342199
ETF_DISCOUNT_REVERSAL,2021-11-03,2021-11-05,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-11-04,-0.0015849870031066,-0.0013606568750962398
ETF_DISCOUNT_REVERSAL,2021-11-04,2021-11-08,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-11-05,-0.0014340704958865,-0.0013606568750962398
ETF_DISCOUNT_REVERSAL,2021-11-09,2021-11-11,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-11-10,-0.0014951814949302,-0.0013606568750962398
ETF_DISCOUNT_REVERSAL,2021-11-17,2021-11-19,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-11-18,-0.0017032788117126,-0.0013606568750962398
ETF_DISCOUNT_REVERSAL,2021-11-22,2021-11-24,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-11-23,-0.0023179092213542,-0.0013606568750962398
ETF_DISCOUNT_REVERSAL,2021-11-30,2021-12-02,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-12-01,-0.0015816770681347,-0.00139671326456706
ETF_DISCOUNT_REVERSAL,2021-12-09,2021-12-13,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-12-10,-0.0018811821105648,-0.00142689960559018
ETF_DISCOUNT_REVERSAL,2021-12-13,2021-12-15,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-12-14,-0.0016963528413909,-0.00143409755841588
ETF_DISCOUNT_REVERSAL,2021-12-21,2021-12-23,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2021-12-22,-0.0014932314998409,-0.0014355671404048
ETF_DISCOUNT_REVERSAL,2022-01-05,2022-01-07,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-01-06,-0.0014910475533265,-0.0014355671404048
ETF_DISCOUNT_REVERSAL,2022-01-17,2022-01-19,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-01-18,-0.0015538566722604,-0.0012496350795345999
ETF_DISCOUNT_REVERSAL,2022-01-28,2022-02-07,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-01-29,-0.0019066679287635,-0.00119676383603372
ETF_DISCOUNT_REVERSAL,2022-02-07,2022-02-09,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-02-08,-0.0020526764768606,-0.00119676383603372
ETF_DISCOUNT_REVERSAL,2022-02-09,2022-02-11,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-02-10,-0.0014691924642128,-0.0012496350795345999
ETF_DISCOUNT_REVERSAL,2022-02-10,2022-02-14,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-02-11,-0.0012615916865008,-0.0012496350795345999
ETF_DISCOUNT_REVERSAL,2022-02-15,2022-02-17,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-02-16,-0.0012898470609913,-0.0012740506175818
ETF_DISCOUNT_REVERSAL,2022-02-21,2022-02-23,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-02-22,-0.0013862437975307,-0.0012672427613989001
ETF_DISCOUNT_REVERSAL,2022-03-01,2022-03-03,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-03-02,-0.0013720617168893,-0.0012371761484536
ETF_DISCOUNT_REVERSAL,2022-03-02,2022-03-04,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-03-03,-0.0013327639972567,-0.0012672427613989001
