mechanism_id,variant,episodes,gross_mean_return,baseline_mean_return,baseline_profit_factor,stress_mean_return,stress_profit_factor,stress_win_rate,stress_cumulative_return,positive_years,rolling_window_sessions,rolling_median_episodes,rolling_p10_episodes,rolling_min_episodes,rolling_max_episodes,density_pass,incremental_terminal_return_vs_static,opposite_stress_mean_return,stress_mean_advantage,evidence
VWAP_DEVIATION_REVERSION,PRIMARY,370,-0.0008214120975228457,-0.001061186185728765,0.7823397846249069,-0.0020197074258088274,0.627922516835597,0.3972972972972973,-0.5404413530969268,0,60,15.0,9.0,5.0,31.0,True,-0.23302802879711038,-0.00021898362934532202,-0.0018007237964635053,DIRECTION_FAIL
VWAP_DEVIATION_REVERSION,OPPOSITE,370,0.00098147386479592,0.0007412671358759382,1.1870728606317484,-0.00021898362934532202,0.9505998012500383,0.47297297297297297,-0.10462387109240334,2,60,15.0,9.0,5.0,31.0,True,-0.04511182259847013,-0.0020197074258088274,0.0018007237964635053,CONTROL
DIRECTIONAL_EFFICIENCY_CONTINUATION,PRIMARY,366,0.001237507575252243,0.0009972394056146435,1.306884087706835,3.674302489218089e-05,1.0099207145926525,0.4781420765027322,-0.009323024449879647,3,60,16.0,12.0,10.0,24.0,True,-0.00401991075911079,-0.0023093153738183996,0.0023460583987105804,DIRECTION_FAIL
DIRECTIONAL_EFFICIENCY_CONTINUATION,OPPOSITE,366,-0.00111136778371294,-0.0013510722909038958,0.6967288918521355,-0.0023093153738183996,0.5422457971625759,0.35792349726775957,-0.5806432752476904,0,60,16.0,12.0,10.0,24.0,True,-0.25036233273030173,3.674302489218089e-05,-0.0023460583987105804,CONTROL
ABNORMAL_ACTIVITY_CONTINUATION,PRIMARY,360,0.00039720156658255905,0.00015713504618912374,1.040447086161983,-0.0008025552212246231,0.8180909162201119,0.41944444444444445,-0.27043133248170315,2,60,16.0,10.0,5.0,25.0,True,-0.1166048452289421,-0.001450278674932399,0.0006477234537077759,DIRECTION_FAIL
ABNORMAL_ACTIVITY_CONTINUATION,OPPOSITE,360,-0.00025129962191051925,-0.0004912105206933187,0.8829984064143169,-0.001450278674932399,0.6924301735605308,0.4222222222222222,-0.42229869532185604,0,60,16.0,10.0,5.0,25.0,True,-0.1820871625950402,-0.0008025552212246231,-0.0006477234537077759,CONTROL
