mechanism_id,variant,regime,episodes,mean_return,median_return,win_rate,profit_factor,cumulative_return,annualized_return
VWAP_DEVIATION_REVERSION,PRIMARY,range,150,-0.003073697243818881,-0.0025596379963440663,0.36666666666666664,0.4404383081590806,-0.37545960344441487,-0.07959491615381675
VWAP_DEVIATION_REVERSION,PRIMARY,trend_down,101,-0.0002604546337875776,-0.001199280431741001,0.45544554455445546,0.952046302425566,-0.03741578654393818,-0.006696408517928076
VWAP_DEVIATION_REVERSION,PRIMARY,trend_up,119,-0.002184296159360408,-0.001452976321902999,0.3865546218487395,0.5912418004533796,-0.23556304747440138,-0.04622592879788623
VWAP_DEVIATION_REVERSION,OPPOSITE,range,150,0.0007988395273859128,0.0001629326590854019,0.5066666666666667,1.2362894470836763,0.11710355291536167,0.019703172751995623
VWAP_DEVIATION_REVERSION,OPPOSITE,trend_down,101,-0.0019039345915919266,-0.001199280431741001,0.45544554455445546,0.6939872352279549,-0.18475476318813866,-0.035350524758788526
VWAP_DEVIATION_REVERSION,OPPOSITE,trend_up,119,-7.186956483085281e-05,-0.0009455200863220936,0.44537815126050423,0.9830524026859687,-0.016840888105097762,-0.002988058739059829
DIRECTIONAL_EFFICIENCY_CONTINUATION,PRIMARY,range,159,0.0009310303940941316,-0.0001053037399902923,0.48427672955974843,1.3284722671819413,0.15081090838033862,0.025058210747050502
DIRECTIONAL_EFFICIENCY_CONTINUATION,PRIMARY,trend_down,94,-0.0007830897364619415,-0.0005169374272559479,0.46808510638297873,0.847228180383544,-0.0797777240007822,-0.014541997394024953
DIRECTIONAL_EFFICIENCY_CONTINUATION,PRIMARY,trend_up,113,-0.0005396057550708515,-0.000107524492175326,0.4778761061946903,0.8558622222496364,-0.0645181676295461,-0.011682225449610506
DIRECTIONAL_EFFICIENCY_CONTINUATION,OPPOSITE,range,159,-0.0032313973900661296,-0.0022920602124503198,0.3522012578616352,0.3679462044412352,-0.4067069840959594,-0.08788117844141674
DIRECTIONAL_EFFICIENCY_CONTINUATION,OPPOSITE,trend_down,94,-0.0014131588991987776,-0.0018811571767028967,0.40425531914893614,0.7441764800857952,-0.13277775169994743,-0.02478818451368081
DIRECTIONAL_EFFICIENCY_CONTINUATION,OPPOSITE,trend_up,113,-0.001757347834268448,-0.0022898443120994427,0.3274336283185841,0.6138680836079702,-0.1849505386850424,-0.035391344804099334
ABNORMAL_ACTIVITY_CONTINUATION,PRIMARY,range,170,0.0001465615614284527,-0.00119928043174089,0.4294117647058823,1.0426842264060499,0.01576837312815793,0.002760417466538101
ABNORMAL_ACTIVITY_CONTINUATION,PRIMARY,trend_down,91,-0.0022323707659117242,-0.0023657143718439633,0.37362637362637363,0.6558998544976953,-0.19314753352764402,-0.03710774742286871
ABNORMAL_ACTIVITY_CONTINUATION,PRIMARY,trend_up,99,-0.0011180768220781247,-0.0010573246728482477,0.4444444444444444,0.7327507770776552,-0.10982097532150092,-0.020288474159872227
ABNORMAL_ACTIVITY_CONTINUATION,OPPOSITE,range,170,-0.002435109595604506,-0.0011992804317409456,0.4176470588235294,0.4833177289523743,-0.34534401359911615,-0.07192593991422314
ABNORMAL_ACTIVITY_CONTINUATION,OPPOSITE,trend_down,91,8.178629559486305e-05,-3.148269715291807e-05,0.4945054945054945,1.0157734583241356,-0.0037784252434953647,-0.0006667740625453389
ABNORMAL_ACTIVITY_CONTINUATION,OPPOSITE,trend_up,99,-0.0011674166123437398,-0.001341216017866853,0.36363636363636365,0.7277121231413192,-0.11420288403516476,-0.02113992078664817
