path_id,feature,hypothesis_id,information_family,provider,horizon_sessions,orientation,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_minus_bottom_return,bootstrap_positive_probability,bootstrap_ic_lower_90,bootstrap_ic_median,bootstrap_ic_upper_90,identifiable,horizon_bh_qvalue,global_bh_qvalue,evidence_label,positive_horizons,review_status,financial_role,cluster_id,cluster_status
micro_share_change_5d_lag1:H3,micro_share_change_5d_lag1,H04-ETF-DERIVATIVE-MICROSTRUCTURE,ETF_PRIMARY_MARKET,tushare.etf_share_size,3,NEGATIVE,717,643,0.0402654749170708,0.0982302480836769,0.1269955251487182,0.0022588728983398,0.199401608931515,2,"{""2024"": -0.08834978354516151, ""2025"": 0.18042837650009796, ""2026"": 0.17466435346709985}",0.0135069649126728,0.927,-0.0163440861910944,0.0929251620314932,0.199270568343387,True,0.8951283589896217,0.9369996961497468,DIRECTIONALLY_STABLE,3,ELIGIBLE,CONFIRMATION,CLUSTER-01,REPRESENTATIVE
tsfresh__log_volume_change__mean__lb20:H3,tsfresh__log_volume_change__mean__lb20,H05-PRICE-LIQUIDITY-STATE,TSFRESH_PROPOSAL,tsfresh,3,POSITIVE,703,643,0.0547341170962355,0.0534022210931838,0.0667043422709836,0.0032108135514873,0.087417865753302,2,"{""2024"": -0.07460033238125399, ""2025"": 0.21672073868499447, ""2026"": 0.04281021773427807}",0.0099253272261011,0.826,-0.0404294568107414,0.0482981664544941,0.1487692920677119,True,0.8129861515057092,0.9369996961497468,DIRECTIONALLY_STABLE,2,ELIGIBLE,CONFIRMATION,CLUSTER-07,REPRESENTATIVE
tsfresh__log_volume_change__sum_values__lb20:H3,tsfresh__log_volume_change__sum_values__lb20,H05-PRICE-LIQUIDITY-STATE,TSFRESH_PROPOSAL,tsfresh,3,POSITIVE,703,643,0.0547341170962355,0.0534022210931838,0.0667043422709836,0.0032108135514873,0.087417865753302,2,"{""2024"": -0.07460033238125399, ""2025"": 0.21672073868499447, ""2026"": 0.04281021773427807}",0.0099253272261011,0.846,-0.0377044104675477,0.0506908869792371,0.144580171852332,True,0.8129861515057092,0.9369996961497468,DIRECTIONALLY_STABLE,2,ELIGIBLE,CONFIRMATION,CLUSTER-07,REDUNDANT_ALTERNATE
price_intraday_range:H3,price_intraday_range,H05-PRICE-LIQUIDITY-STATE,VOLATILITY_RISK,588080 OHLCV,3,POSITIVE,723,643,0.0448231200995299,0.0454935318173693,0.0496797931514203,0.003461750800986,0.0791624254711052,2,"{""2024"": 0.07719402025261111, ""2025"": 0.1125557733312413, ""2026"": -0.08542423938304432}",0.0083355352458591,0.792,-0.0448495827123524,0.0460107675842513,0.1347010132751428,True,0.8129861515057092,0.9369996961497468,DIRECTIONALLY_STABLE,2,ELIGIBLE,RISK_CONTEXT,CLUSTER-03,REPRESENTATIVE
risk_shibor_on_change_1d:H3,risk_shibor_on_change_1d,H01-RISK-APPETITE,INTEREST_RATE,tushare.shibor,3,POSITIVE,722,643,0.0325216419094377,0.0397298411618797,0.04007476395182,-0.0029409836402745,0.7418292998847209,3,"{""2024"": 0.02495466509042878, ""2025"": 0.0783518942810755, ""2026"": 0.04952245810477699}",-0.0086720825308698,0.883,-0.0148824398172522,0.0378871851805329,0.0938652490503213,True,0.8951283589896217,0.9369996961497468,DIRECTIONALLY_STABLE,2,TAIL_DIRECTION_CONFLICT,RISK_CONTEXT,,
risk_shibor_on_change_5d:H3,risk_shibor_on_change_5d,H01-RISK-APPETITE,INTEREST_RATE,tushare.shibor,3,NEGATIVE,718,643,0.0231029266355437,0.0398784119687235,0.034009106526543,0.0035421326378982,0.1177346616187658,2,"{""2024"": 0.14034654709547556, ""2025"": 0.007213914668436649, ""2026"": -0.1061918668054908}",0.0116807347934161,0.775,-0.0489877197005648,0.0409015473774284,0.1371541187010337,True,0.8574867851766966,0.9369996961497468,DIRECTIONALLY_STABLE,2,ELIGIBLE,RISK_CONTEXT,CLUSTER-06,REPRESENTATIVE
risk_sse_return_1d:H3,risk_sse_return_1d,H01-RISK-APPETITE,MARKET_RISK_APPETITE,tushare.index_daily,3,NEGATIVE,722,643,0.0541548618865028,0.0447855304946809,0.0158367627710453,-0.0003096116861332,0.535416015634111,3,"{""2024"": 0.06385670392960828, ""2025"": 0.06669631488162422, ""2026"": 0.04818848216815065}",-0.0063896291851696,0.935,-0.0036487443160663,0.0478177970383416,0.1004785322458347,True,0.8951283589896217,0.9369996961497468,DIRECTIONALLY_STABLE,3,TAIL_DIRECTION_CONFLICT,OPPORTUNITY,,
risk_global_spx_return:H3,risk_global_spx_return,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,tushare.global/us_daily,3,POSITIVE,723,643,0.0590961502647863,0.0937363093235479,0.1018096079485264,0.0040133723679485,0.001387766404902,3,"{""2024"": 0.10893444918413302, ""2025"": 0.04208475077651803, ""2026"": 0.13570977090026484}",0.0145843087192718,0.997,0.0309994962164323,0.0906153319706081,0.1535772855321255,True,0.1290622756558947,0.3871868269676842,NOMINAL_SUPPORT,2,ELIGIBLE,OPPORTUNITY,CLUSTER-05,REPRESENTATIVE
risk_global_ixic_return:H3,risk_global_ixic_return,H01-RISK-APPETITE,GLOBAL_RISK_APPETITE,tushare.global/us_daily,3,POSITIVE,723,643,0.071290787383301,0.1021726250341426,0.1093440942209129,0.004424505502362,0.0039567286738857,3,"{""2024"": 0.12014724163726866, ""2025"": 0.06296694872370734, ""2026"": 0.11738441230547747}",0.0110839207321789,0.991,0.032384731090529,0.1009989902278047,0.1725339430512921,True,0.1839878833356872,0.5519636500070618,NOMINAL_SUPPORT,2,ELIGIBLE,OPPORTUNITY,CLUSTER-05,REDUNDANT_ALTERNATE
risk_chinext_turnover_z20:H3,risk_chinext_turnover_z20,H01-RISK-APPETITE,MARKET_RISK_APPETITE,tushare.index_dailybasic,3,POSITIVE,704,643,0.1035215460354653,0.097429198222673,0.1329445755192743,0.0073672414576229,0.019926395450407,2,"{""2024"": -0.10964473588953297, ""2025"": 0.09896503492648584, ""2026"": 0.3048837815689667}",0.0224010734128972,0.943,-0.0080146077734036,0.0973593650326229,0.1924827474761172,True,0.3996446481895383,0.7732185388091783,NOMINAL_SUPPORT,3,ELIGIBLE,OPPORTUNITY,CLUSTER-04,REPRESENTATIVE
