holding_sessions,window,entry_signal_date,entry_date,exit_signal_date,exit_date,size,entry_price,exit_price,entry_fees,exit_fees,net_return
3,2021,2021-03-10,2021-03-11,2021-03-15,2021-03-16,148912.43293728583,6.712,6.85,499.75012493750546,510.02508281020397,0.019540140537597672
3,2021,2021-05-21,2021-05-24,2021-05-26,2021-05-27,140420.37001860072,7.257,7.363,509.515312612406,516.9575922234786,0.013592487206858461
3,2022,2022-08-04,2022-08-05,2022-08-09,2022-08-10,141833.4397438715,7.047,7.239,499.75012493750546,513.3661351529429,0.026218904170732804
3,2022,2022-10-25,2022-10-26,2022-10-28,2022-10-31,174439.80461652388,5.88,5.769,512.8530255724909,503.1716164163632,-0.019858183153320996
3,2022,2022-12-02,2022-12-05,2022-12-07,2022-12-08,161733.8147554778,6.216,6.207,502.6686962599633,501.94089409362533,-0.002445929544880099
3,2023,2023-02-17,2023-02-20,2023-02-22,2023-02-23,159105.42022844037,6.282,6.39,499.75012493750546,508.34181762986697,0.01617529344210422
3,2023,2023-03-06,2023-03-07,2023-03-09,2023-03-10,158698.04058003874,6.4,6.27,507.8337298560655,497.51835721842144,-0.021291697901049567
3,2023,2023-03-20,2023-03-21,2023-03-23,2023-03-24,160355.24681273245,6.199,6.32,497.02108749595936,506.72257992823455,0.01850026753037426
3,2023,2023-03-29,2023-03-30,2023-04-03,2023-04-04,161240.99715973213,6.279,6.429,506.2161105829291,518.309185369959,0.022865776858345788
3,2023,2023-05-11,2023-05-12,2023-05-16,2023-05-17,167895.95823919232,6.168,6.126,517.7911352096125,514.265320086646,-0.007802032835722228
3,2023,2023-07-10,2023-07-11,2023-07-13,2023-07-14,168747.3515423608,6.089,6.155,513.7513117706403,519.3199743716153,0.009828884211203759
3,2023,2023-07-18,2023-07-19,2023-07-21,2023-07-24,170266.13519116043,6.094,6.0,518.8009139273781,510.7984055734813,-0.016409091155111577
3,2023,2023-09-15,2023-09-18,2023-09-20,2023-09-21,175961.33187568097,5.8,5.746,510.28786243940704,505.5369064788315,-0.010300539385479479
3,2023,2023-10-11,2023-10-12,2023-10-16,2023-10-17,175480.0633128856,5.756,5.69,505.03162221447565,499.24078012515963,-0.012454335723035004
3,2023,2023-11-02,2023-11-03,2023-11-07,2023-11-08,179242.33201821265,5.565,5.7,498.74178884061985,510.8406462519061,0.02323501322115229
3,2023,2023-12-15,2023-12-18,2023-12-20,2023-12-21,184902.19597765614,5.52,5.39,510.33006089832634,498.31141815978333,-0.024526685932396042
3,2024,2024-03-14,2024-03-15,2024-03-19,2024-03-20,182958.12737965633,5.463,5.562,499.75012493750546,508.8065522428243,0.01710429793340551
3,2024,2024-06-03,2024-06-04,2024-06-06,2024-06-07,192209.49138465477,5.289,5.291,508.2979999666568,508.49020945810423,-0.0006217348878971851
3,2024,2024-11-26,2024-11-27,2024-11-29,2024-12-02,175711.50929321753,5.782,5.946,507.98197336657904,522.3903171287358,0.027336037965105975
3,2025,2025-01-23,2025-01-24,2025-02-05,2025-02-06,179475.71375023568,5.569,5.598,499.75012493750546,502.3525227869097,0.00420269305103238
3,2025,2025-03-25,2025-03-26,2025-03-28,2025-03-31,169172.5674413817,5.933,5.881,501.85042131482624,497.45193456138287,-0.0097552774261781
