candidate_id,year,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count,start,end,baseline_max_drawdown,baseline_calmar,baseline_win_loss_ratio,max_drawdown_improved,calmar_improved,win_loss_ratio_improved
125,2021,-0.01774032110288537,-0.018391291326638415,-0.17059782235889265,-0.10780495947918964,2.1508320518765935,14,4,10,True,-0.0422693005150235,0.5185185185185185,29,2021-01-04,2021-12-31,-0.18128985460147662,-0.03545702517918672,1.718363153027743,True,False,True
125,2022,0.06332762277482828,0.06602905597104525,-0.0829001404220907,0.7964890726946252,3.541763061678484,10,3,7,True,0.5500188516391522,0.47107438016528924,21,2022-01-04,2022-12-30,-0.08541801769719781,0.9354898115931695,4.175728135130536,True,False,False
125,2023,-0.04399784978918053,-0.04577369540073084,-0.1514735859851677,-0.30218928998758243,1.2612343173123828,16,6,10,True,-0.29040761950058525,0.5454545454545454,33,2023-01-03,2023-12-29,-0.150897538084942,-0.34724740128649967,1.214151605856839,False,True,True
125,2024,0.2474878393984714,0.2589392210617296,-0.1823154056517775,1.4202816275235874,7.374284322465935,11,3,8,True,0.9391647794469464,0.4297520661157025,23,2024-01-02,2024-12-31,-0.1823154056517775,1.2717314082181355,7.198946964102891,False,True,True
125,2025,0.4766597469516052,0.4981320053577907,-0.14102529516436324,3.5322174279247136,13.002713025569964,10,3,7,True,2.128027628150927,0.6008230452674898,21,2025-01-02,2025-12-31,-0.14102529516436335,3.192622565217468,13.300294860415136,False,True,False
143,2021,-0.01255780041794563,-0.013019863353179506,-0.16507345700706844,-0.07887314889529451,2.015104264812469,13,4,9,True,-0.0002384719811146924,0.5308641975308642,27,2021-01-04,2021-12-31,-0.18128985460147662,-0.03545702517918672,1.718363153027743,True,False,True
143,2022,0.027105029124002034,0.028240743166807247,-0.11414143881329675,0.24741884683091434,3.251331945402666,11,3,8,True,0.29813833376474114,0.4628099173553719,23,2022-01-04,2022-12-30,-0.08541801769719781,0.9354898115931695,4.175728135130536,False,False,False
143,2023,-0.008533713971588086,-0.008884775680944257,-0.13939122511269275,-0.06373984928937412,1.7243592042162705,14,5,9,True,0.02274636271188204,0.5619834710743802,29,2023-01-03,2023-12-29,-0.150897538084942,-0.34724740128649967,1.214151605856839,True,True,True
143,2024,0.20961767120170216,0.21916738077650288,-0.1823154056517775,1.2021330835591189,6.878685180696524,12,3,9,True,0.8354654092559183,0.4628099173553719,25,2024-01-02,2024-12-31,-0.1823154056517775,1.2717314082181355,7.198946964102891,False,False,False
143,2025,0.4461343422344146,0.46602809433033254,-0.14568361694808496,3.198905299670064,13.672673987332944,12,3,9,True,2.0116426264614518,0.6172839506172839,25,2025-01-02,2025-12-31,-0.14102529516436335,3.192622565217468,13.300294860415136,False,True,True
275,2021,0.013013436263829448,0.013498654139866506,-0.1705978223588922,0.07912559464838272,2.3790548976555628,13,4,9,True,0.19653793139873213,0.5432098765432098,27,2021-01-04,2021-12-31,-0.18128985460147662,-0.03545702517918672,1.718363153027743,True,True,True
275,2022,0.048513825559225454,0.05056839952921233,-0.08541801769719781,0.5920109233683523,3.680870204717305,11,3,8,True,0.44715981518327486,0.4834710743801653,23,2022-01-04,2022-12-30,-0.08541801769719781,0.9354898115931695,4.175728135130536,False,False,False
