year,regime,size
2020,warmup,34
2021,range,96
2021,trend,120
2021,warmup,27
2022,range,103
2022,trend,139
2023,range,130
2023,trend,112
2024,range,117
2024,trend,125
2025,range,146
2025,trend,97
