entry_signal_date,entry_date,exit_signal_date,exit_date,size,entry_price,exit_price,entry_fees,exit_fees,net_return
2025-12-31,2026-01-05,2026-01-29,2026-01-30,716279.4768280691,1.3954054,1.5488798,499.75012493750546,554.7154064067821,0.10887609740715742
2026-02-25,2026-02-26,2026-03-02,2026-03-03,729836.7645269991,1.5185888,1.5105112,554.1609682193957,551.2133034948974,-0.00631333269535439
2026-03-06,2026-03-09,2026-03-11,2026-03-12,772481.9472930138,1.4256964,1.4418516,550.6623656603042,556.9021658377739,0.010320618727463371
2026-04-01,2026-04-02,2026-06-01,2026-06-02,836116.5916465564,1.3307846,1.7215385,556.3455419838428,719.7034515041627,0.2923337269149946
2026-06-16,2026-06-17,2026-07-13,2026-07-14,804152.4124233761,1.7881787,2.0476716,718.9841077243909,823.3200284954173,0.1439712103293358
2026-08-04,2026-08-05,2026-08-14,2026-08-17,987987.3173470327,1.6649953000000002,1.7750526,822.4971199210268,876.8647282119377,0.06503509918782258
