signal_date,execution_date,side,size,price,fees
2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546
2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821
2026-02-25,2026-02-26,Buy,729836.7645269991,1.5185888,554.1609682193957
2026-03-02,2026-03-03,Sell,729836.7645269991,1.5105112,551.2133034948974
2026-03-06,2026-03-09,Buy,772481.9472930138,1.4256964,550.6623656603042
2026-03-11,2026-03-12,Sell,772481.9472930138,1.4418516,556.9021658377739
2026-04-01,2026-04-02,Buy,836116.5916465564,1.3307846,556.3455419838428
2026-06-01,2026-06-02,Sell,836116.5916465564,1.7215385,719.7034515041627
2026-06-16,2026-06-17,Buy,804152.4124233761,1.7881787,718.9841077243909
2026-07-13,2026-07-14,Sell,804152.4124233761,2.0476716,823.3200284954173
2026-08-04,2026-08-05,Buy,987987.3173470327,1.6649953000000002,822.4971199210268
2026-08-14,2026-08-17,Sell,987987.3173470327,1.7750526,876.8647282119377
2026-08-27,2026-08-28,Buy,1002974.3873982867,1.746781,875.9883016969543
