signal_date,regime,score,target_position
2020-11-16,warmup,0.0,0.0
2020-11-17,warmup,0.0,0.0
2020-11-18,warmup,0.0,0.0
2020-11-19,warmup,0.0,0.0
2020-11-20,warmup,0.0,0.0
2020-11-23,warmup,0.0,0.0
2020-11-24,warmup,0.0,0.0
2020-11-25,warmup,0.0,0.0
2020-11-26,warmup,0.0,0.0
2020-11-27,warmup,0.0,0.0
2020-11-30,warmup,0.0,0.0
2020-12-01,warmup,0.0,0.0
2020-12-02,warmup,0.0,0.0
2020-12-03,warmup,0.0,0.0
2020-12-04,warmup,0.0,0.0
2020-12-07,warmup,0.0,0.0
2020-12-08,warmup,0.0,0.0
2020-12-09,warmup,0.0,0.0
2020-12-10,warmup,0.0,0.0
2020-12-11,warmup,0.0,0.0
2020-12-14,warmup,0.0,0.0
2020-12-15,warmup,0.0,0.0
2020-12-16,warmup,0.0,0.0
2020-12-17,warmup,0.0,0.0
2020-12-18,warmup,0.0,0.0
2020-12-21,warmup,0.0,0.0
2020-12-22,warmup,0.0,0.0
2020-12-23,warmup,0.0,0.0
2020-12-24,warmup,0.0,0.0
2020-12-25,warmup,0.0,0.0
2020-12-28,warmup,-0.29780296157749153,0.0
2020-12-29,warmup,-0.29780296157749153,0.0
2020-12-30,warmup,0.012345679012345678,0.0
2020-12-31,warmup,0.012345679012345678,0.0
2021-01-04,warmup,0.012345679012345678,0.0
2021-01-05,warmup,0.012345679012345678,0.0
2021-01-06,warmup,0.1550743202949186,0.0
2021-01-07,warmup,0.03523053474851196,0.0
2021-01-08,warmup,-0.10749810653406097,0.0
2021-01-11,warmup,0.03523053474851196,0.0
2021-01-12,warmup,0.20265053405577624,1.0
2021-01-13,warmup,0.20265053405577624,1.0
2021-01-14,warmup,0.1550743202949186,1.0
2021-01-15,warmup,0.1550743202949186,1.0
2021-01-18,warmup,0.1550743202949186,1.0
2021-01-19,warmup,0.1550743202949186,1.0
2021-01-20,warmup,0.1550743202949186,1.0
2021-01-21,warmup,0.3453791753383492,1.0
2021-01-22,warmup,0.39295538909920685,1.0
2021-01-25,warmup,0.3453791753383492,1.0
2021-01-26,warmup,0.32068781731365786,1.0
2021-01-27,warmup,0.22553538979194257,1.0
2021-01-28,warmup,-0.059921892773203284,0.0
2021-01-29,warmup,-0.059921892773203284,0.0
2021-02-01,warmup,-0.059921892773203284,0.0
2021-02-02,warmup,0.107498106534061,0.0
2021-02-03,warmup,-0.15507432029491855,0.0
2021-02-04,warmup,-0.2502267478166339,0.0
2021-02-05,warmup,-0.059921892773203284,0.0
2021-02-08,warmup,-0.15507432029491855,0.0
2021-02-09,warmup,-0.03523053474851196,0.0
2021-02-10,range,-0.027482924018321128,0.0
2021-02-18,range,0.023363609945015983,0.0
2021-02-19,range,0.003024996359681127,0.0
2021-02-22,range,0.07832945798165836,0.0
2021-02-23,range,0.07832945798165836,0.0
2021-02-24,range,0.07832945798165836,0.0
