factor,exact_match,closest_reference,max_abs_correlation
cross__cxt_bi_end_V230312__di_1__30m_daily::看空,False,raw__daily__cxt_five_bi_V230619__di_1,0.08906416178880916
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,False,raw__daily__cxt_seven_bi_V230620__di_1,0.058581114298272154
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,False,raw__weekly__cxt_bi_status_V230101,0.14608476594267875
cross__cxt_bi_end_V230320__di_1__30m_daily::看多,False,target_position,0.06639434989561482
cross__cxt_bi_end_V230320__di_1__daily_weekly::看多,False,raw__weekly__cxt_bi_status_V230101,0.07864499582328947
cross__cxt_bi_end_V230320__di_1__30m_daily::看空,False,raw__30m__cxt_third_buy_V230228__di_1,0.09594174939570585
cross__cxt_bi_end_V230320__di_1__daily_weekly::看空,False,raw__30m__cxt_bi_status_V230101,0.05803383721296406
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.06976204386776827
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.05448724720437593
cross__cxt_bi_end_V230322__di_1__30m_daily::看多,False,raw__30m__cxt_third_buy_V230228__di_1,0.0876755659178819
cross__cxt_bi_end_V230322__di_1__daily_weekly::看多,False,raw__daily__cxt_five_bi_V230619__di_1,0.16056201942058598
cross__cxt_bi_end_V230322__di_1__30m_daily::看空,False,raw__30m__cxt_bi_status_V230101,0.05803383721296394
cross__cxt_bi_end_V230322__di_1__daily_weekly::看空,False,raw__daily__cxt_five_bi_V230619__di_1,0.0890641617888093
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,False,target_position,0.11335238912666186
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.06251707046425568
cross__cxt_bi_end_V230324__di_1__30m_daily::看多,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.09434337383100949
cross__cxt_bi_end_V230324__di_1__daily_weekly::看多,False,raw__daily__cxt_five_bi_V230619__di_1,0.13445776154271044
cross__cxt_bi_end_V230324__di_1__all::看多,False,raw__30m__cxt_third_buy_V230228__di_1,0.09594174939570585
cross__cxt_bi_end_V230324__di_1__30m_daily::看空,False,raw__30m__cxt_bi_status_V230101,0.033478928389604895
cross__cxt_bi_end_V230324__di_1__daily_weekly::看空,False,raw__daily__cxt_seven_bi_V230620__di_1,0.13588609839090532
cross__cxt_bi_end_V230324__di_1__30m_daily_divergence,False,target_position,0.065259580656158
cross__cxt_bi_end_V230324__di_1__daily_weekly_divergence,False,raw__daily__cxt_five_bi_V230619__di_1,0.07997683444934682
cross__cxt_bi_end_V230618__di_1__30m_daily::看多,False,raw__daily__cxt_bi_status_V230101,0.18356855439318245
cross__cxt_bi_end_V230618__di_1__daily_weekly::看多,False,raw__daily__cxt_five_bi_V230619__di_1,0.333814828849323
cross__cxt_bi_end_V230618__di_1__all::看多,False,raw__daily__cxt_five_bi_V230619__di_1,0.10588285295515505
cross__cxt_bi_end_V230618__di_1__30m_daily::看空,False,raw__30m__cxt_bi_status_V230101,0.17910660245791668
