factor,reason
cross__byi_bi_end_V230106__di_1__30m_daily::nan,state_active_support
cross__byi_bi_end_V230106__di_1__30m_daily::看多,state_active_support
cross__byi_bi_end_V230106__di_1__30m_daily_divergence,state_active_support
cross__byi_bi_end_V230106__di_1__daily_weekly_divergence,state_active_support
cross__byi_bi_end_V230107__di_1__30m_daily_divergence,cross_year_direction
cross__byi_fx_num_V230628__di_1__30m_daily::向上,state_active_support
cross__byi_fx_num_V230628__di_1__daily_weekly::向上,state_active_support
cross__byi_fx_num_V230628__di_1__all::向上,state_active_support
cross__byi_fx_num_V230628__di_1__30m_daily::向下,cross_year_direction
cross__byi_fx_num_V230628__di_1__daily_weekly::向下,state_active_support
cross__byi_fx_num_V230628__di_1__all::向下,state_active_support
cross__byi_fx_num_V230628__di_1__30m_daily_divergence,minimum_absolute_effect
cross__byi_second_bs_V230324__di_1__30m_daily_divergence,state_active_support
cross__byi_second_bs_V230324__di_1__daily_weekly_divergence,state_active_support
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,minimum_absolute_effect
cross__byi_symmetry_zs_V221107__di_1__daily_weekly::否,state_active_support
cross__byi_symmetry_zs_V221107__di_1__all::否,state_active_support
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,cross_year_direction
cross__byi_symmetry_zs_V221107__di_1__daily_weekly::是,state_active_support
cross__byi_symmetry_zs_V221107__di_1__all::是,state_active_support
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,cross_year_direction
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,cross_year_direction
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,cross_year_direction
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,cross_year_direction
cross__cxt_bi_base_V230228__di_1__all::向上,state_active_support
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,minimum_absolute_effect
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,minimum_absolute_effect
cross__cxt_bi_base_V230228__di_1__all::向下,cross_year_direction
cross__cxt_bi_base_V230228__di_1__30m_daily_divergence,cross_year_direction
cross__cxt_bi_base_V230228__di_1__daily_weekly_divergence,cross_year_direction
cross__cxt_bi_end_V230104__di_1__30m_daily_divergence,state_active_support
cross__cxt_bi_end_V230104__di_1__daily_weekly_divergence,state_active_support
cross__cxt_bi_end_V230105__di_1__30m_daily_divergence,state_active_support
cross__cxt_bi_end_V230105__di_1__daily_weekly_divergence,state_active_support
cross__cxt_bi_end_V230222__di_1__30m_daily::新低,state_active_support
cross__cxt_bi_end_V230222__di_1__daily_weekly::新低,state_active_support
cross__cxt_bi_end_V230222__di_1__all::新低,state_active_support
cross__cxt_bi_end_V230222__di_1__30m_daily::新高,state_active_support
cross__cxt_bi_end_V230222__di_1__daily_weekly::新高,state_active_support
cross__cxt_bi_end_V230222__di_1__all::新高,state_active_support
