factor,year,endpoint,effect,matched_strata,references
cross__byi_fx_num_V230628__di_1__daily_weekly_divergence,2025,max_drawdown_20,0.005827106090005549,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,2021,return_20,-0.008363960331016596,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,2022,return_20,0.0022632211293427563,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,2023,return_20,0.006535572747742141,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,2024,return_20,0.011863607396194641,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,2025,return_20,-0.0075620659413046035,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,2021,max_drawdown_20,0.0055352965678332165,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,2022,max_drawdown_20,-0.005315465519295567,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,2023,max_drawdown_20,0.0073541224980683065,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,2024,max_drawdown_20,0.010699999964096518,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::否,2025,max_drawdown_20,0.004206858866458277,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,2021,return_20,-0.03716374103782803,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,2022,return_20,0.0018071999269471941,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,2023,return_20,-0.02088130310375175,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,2024,return_20,0.027706164012354102,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,2025,return_20,0.032639643856804346,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,2021,max_drawdown_20,-0.017315628254598342,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,2022,max_drawdown_20,0.010386093413008007,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,2023,max_drawdown_20,-0.013643944673834299,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,2024,max_drawdown_20,-0.02129015809552575,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily::是,2025,max_drawdown_20,0.02359724042596987,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,2021,return_20,0.019830393356238988,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,2022,return_20,-0.014705330834402735,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,2023,return_20,0.007506153862543676,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,2024,return_20,-0.0211296457443831,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,2025,return_20,-0.017762921700330593,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,2021,max_drawdown_20,0.0016026941740337956,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,2022,max_drawdown_20,-0.0034920700340984037,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,2023,max_drawdown_20,0.0023531107203687515,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,2024,max_drawdown_20,0.010093562961762432,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__30m_daily_divergence,2025,max_drawdown_20,-0.02085477019616152,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,2021,return_20,0.004900743372343913,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,2022,return_20,-0.008276047839149293,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,2023,return_20,-0.020539406478038303,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,2024,return_20,0.10504144968047058,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,2025,return_20,0.01883075566097146,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,2021,max_drawdown_20,0.0013585339750450962,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,2022,max_drawdown_20,-0.008003357559209869,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,2023,max_drawdown_20,0.0009366644068743535,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,2024,max_drawdown_20,-0.026226554657219098,2,['target_position']
cross__byi_symmetry_zs_V221107__di_1__daily_weekly_divergence,2025,max_drawdown_20,0.003229671518458539,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,2021,return_20,0.011860877515901121,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,2022,return_20,-0.026967937522678093,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,2023,return_20,-0.011799537380374094,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,2024,return_20,0.006848775193538202,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,2025,return_20,-0.0016514803074423802,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,2021,max_drawdown_20,0.008676289560187367,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,2022,max_drawdown_20,-0.01608100102249027,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,2023,max_drawdown_20,0.00032304055224820606,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,2024,max_drawdown_20,-0.012451241187933745,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向上,2025,max_drawdown_20,-0.0053280874663966995,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,2021,return_20,0.01220855138812301,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,2022,return_20,-0.017506079532192475,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,2023,return_20,0.003420539461538141,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,2024,return_20,-0.07526979387732043,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,2025,return_20,0.02572646287839485,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,2021,max_drawdown_20,0.02562747915436414,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,2022,max_drawdown_20,-0.00566394278866137,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,2023,max_drawdown_20,-0.005457865641482814,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,2024,max_drawdown_20,-0.0009705864150353898,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向上,2025,max_drawdown_20,0.00373947550873983,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,2021,return_20,-0.009311499866354964,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,2022,return_20,0.02078373454187991,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,2023,return_20,0.008276486919376224,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,2024,return_20,-0.011691931400673452,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,2025,return_20,0.0046802729306335425,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,2021,max_drawdown_20,-0.0021853664168358183,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,2022,max_drawdown_20,0.01057732906738619,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,2023,max_drawdown_20,0.004418411265745391,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,2024,max_drawdown_20,0.009841974084729508,2,['target_position']
cross__cxt_bi_base_V230228__di_1__30m_daily::向下,2025,max_drawdown_20,0.00020279016344052238,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,2021,return_20,-0.03335170583581578,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,2022,return_20,0.04888018630242666,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,2023,return_20,0.0028971530577451914,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,2024,return_20,0.02430795743795833,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,2025,return_20,-0.05151197201466311,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,2021,max_drawdown_20,-0.010230572122806541,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,2022,max_drawdown_20,0.025804146081805045,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,2023,max_drawdown_20,-7.495095322370728e-05,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,2024,max_drawdown_20,-0.00288329393942209,2,['target_position']
cross__cxt_bi_base_V230228__di_1__daily_weekly::向下,2025,max_drawdown_20,-0.030962475711052557,2,['target_position']
cross__cxt_bi_base_V230228__di_1__all::向下,2021,return_20,-0.04469166198086737,2,['target_position']
cross__cxt_bi_base_V230228__di_1__all::向下,2022,return_20,0.04168097588639374,2,['target_position']
cross__cxt_bi_base_V230228__di_1__all::向下,2023,return_20,0.015738655571360755,2,['target_position']
cross__cxt_bi_base_V230228__di_1__all::向下,2024,return_20,0.032016614173243856,2,['target_position']
cross__cxt_bi_base_V230228__di_1__all::向下,2025,return_20,-0.06818294212948532,2,['target_position']
cross__cxt_bi_base_V230228__di_1__all::向下,2021,max_drawdown_20,-0.016022830979658016,2,['target_position']
