split_id,training_blocks,validation_blocks,selected_candidate,training_sharpe,validation_sharpe,validation_rank,validation_candidate_count,validation_percentile,logit
0,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",BOTH-FILTER-H5,1.0900588955896569,1.0844728107167272,4,9,0.625,0.5108256237659907
1,"[0, 1, 2, 3, 5]","[4, 6, 7, 8, 9]",BOTH-FILTER-H5,1.126244150260974,1.070571740139953,3,9,0.75,1.0986122886681098
2,"[0, 1, 2, 3, 6]","[4, 5, 7, 8, 9]",BOTH-FILTER-H5,1.4442093801359015,0.8515172010182241,4,9,0.625,0.5108256237659907
3,"[0, 1, 2, 3, 7]","[4, 5, 6, 8, 9]",PRESSURE-FILTER-H5,1.6590456533921962,0.6461581623482221,4,9,0.625,0.5108256237659907
4,"[0, 1, 2, 3, 8]","[4, 5, 6, 7, 9]",PRESSURE-FILTER-H5,1.1600562480647765,1.0662090038860441,1,9,1.0,2.8332133440562157
5,"[0, 1, 2, 3, 9]","[4, 5, 6, 7, 8]",PRESSURE-FILTER-H5,1.5235093033253073,0.5694607598167898,3,9,0.75,1.0986122886681098
6,"[0, 1, 2, 4, 5]","[3, 6, 7, 8, 9]",CORE-H5,0.7077351299102511,1.2281667525263502,4,9,0.625,0.5108256237659907
7,"[0, 1, 2, 4, 6]","[3, 5, 7, 8, 9]",CORE-H5,1.0330313834450824,1.0206216414099598,4,9,0.625,0.5108256237659907
8,"[0, 1, 2, 4, 7]","[3, 5, 6, 8, 9]",CORE-H5,1.2843516795255077,0.8183935351117841,5,9,0.5,0.0
9,"[0, 1, 2, 4, 8]","[3, 5, 6, 7, 9]",TOP-FILTER-H5,0.7339093948426383,1.1975196838891364,4,9,0.625,0.5108256237659907
10,"[0, 1, 2, 4, 9]","[3, 5, 6, 7, 8]",CORE-H7,1.3161279041699818,0.05011590879598155,9,9,0.0,-2.833213344056216
11,"[0, 1, 2, 5, 6]","[3, 4, 7, 8, 9]",CORE-H5,1.1027538440953932,1.0126496292580855,4,9,0.625,0.5108256237659907
12,"[0, 1, 2, 5, 7]","[3, 4, 6, 8, 9]",CORE-H5,1.3616388341674244,0.8171345696493274,4,9,0.625,0.5108256237659907
13,"[0, 1, 2, 5, 8]","[3, 4, 6, 7, 9]",TOP-FILTER-H5,0.7676259192901919,1.1826667865817,4,9,0.625,0.5108256237659907
14,"[0, 1, 2, 5, 9]","[3, 4, 6, 7, 8]",CORE-H4,1.2675336014490015,0.32337423258777026,7,9,0.25,-1.0986122886681098
15,"[0, 1, 2, 6, 7]","[3, 4, 5, 8, 9]",CORE-H5,1.7035116815200082,0.6137671034193056,3,9,0.75,1.0986122886681098
