comparator_id,mean_block_length,metric,direction,point_difference,lower_95,upper_95,probability_favorable
CORE-H4,10,cagr,higher_is_better,0.014812054554804721,-0.0012989931569228172,0.03331141639915221,0.9603
CORE-H4,10,max_drawdown,higher_is_better,0.012619227354446205,-0.018336752778009033,0.03535470992685582,0.6175999999999999
CORE-H4,10,calmar,higher_is_better,0.6933574909075436,-0.2352546984040667,1.1011499396752407,0.8913
CORE-H4,21,cagr,higher_is_better,0.014812054554804721,-0.0012909492478699821,0.033625149719030155,0.9649
CORE-H4,21,max_drawdown,higher_is_better,0.012619227354446205,-0.014737802189816745,0.03489541379625202,0.6572
CORE-H4,21,calmar,higher_is_better,0.6933574909075436,-0.20072606241812058,1.173541040679556,0.9082
CORE-H4,42,cagr,higher_is_better,0.014812054554804721,-0.0008366563062882246,0.03361763824536403,0.9659
CORE-H4,42,max_drawdown,higher_is_better,0.012619227354446205,-0.01207617853064666,0.032175916981478245,0.69455
CORE-H4,42,calmar,higher_is_better,0.6933574909075436,-0.144167357444516,1.2217578338596036,0.9228
CORE-H6,10,cagr,higher_is_better,0.0032878910744202905,-0.011068304836164056,0.017744465844718706,0.6787
CORE-H6,10,max_drawdown,higher_is_better,0.03017298602350227,-0.009065125851901248,0.03899836336981953,0.8496
CORE-H6,10,calmar,higher_is_better,0.7376367875478679,-0.2967915133613678,0.9031490499441227,0.8159
CORE-H6,21,cagr,higher_is_better,0.0032878910744202905,-0.011280227039533996,0.017403866131242122,0.667
CORE-H6,21,max_drawdown,higher_is_better,0.03017298602350227,-0.007615340064686346,0.040048418129072644,0.88205
CORE-H6,21,calmar,higher_is_better,0.7376367875478679,-0.2918475305826756,0.9311031474303864,0.8315
CORE-H6,42,cagr,higher_is_better,0.0032878910744202905,-0.0115418925184817,0.018080132153443736,0.6656
CORE-H6,42,max_drawdown,higher_is_better,0.03017298602350227,-0.005841617950626654,0.04679388249311849,0.91445
CORE-H6,42,calmar,higher_is_better,0.7376367875478679,-0.248499800946091,1.0024930450951437,0.8595
