cost_bp_one_way,max_drawdown,calmar,win_loss_ratio,return,sharpe,closed_trades
5,-0.0363661389838702,1.5177090960302675,2.11364814844673,0.3414832610103573,1.000697147096774,25
6,-0.036558846543129686,1.4828027092710951,2.0642533646621097,0.3346591840901656,0.9841018738786365,25
7,-0.0367515155878374,1.4482889050863974,2.0163918732657047,0.3278698334689678,0.9674688677202259,25
8,-0.03730908970477875,1.40032861064715,1.969993371669978,0.32111503223375504,0.9507995561729516,25
9,-0.038367549995561356,1.336131086524135,1.9249917904896556,0.31439460437450295,0.9340953784379319,25
10,-0.03942485632541515,1.2754411205531404,1.8813249796441194,0.30770837477952706,0.9173577847493389,25
11,-0.04048100996267345,1.2179786255057066,1.838934421983014,0.30105616923090395,0.9005882357484362,25
12,-0.04153601217423686,1.1634925619816863,1.7977649716597444,0.2944378143999091,0.8837882018488099,25
13,-0.04258986422558508,1.1117572678907237,1.7577646147930903,0.2878531378424338,0.8669591625933543,25
14,-0.04364256738076688,1.0625693307887156,1.7188842502332309,0.28130196799448437,0.8501026060038986,25
15,-0.04469412290241359,1.015744911654014,1.6810774884886583,0.27478413416766156,0.8332200279238894,25
16,-0.0463302871979151,0.9588395802266277,1.644300467083099,0.2682994665446976,0.8163129313550301,25
17,-0.04833105469272736,0.8990018663835423,1.6085116807969255,0.2618477961749852,0.7993828257883709,25
18,-0.05060756299974867,0.8393412024539371,1.5736718254120097,0.25542895497015183,0.7824312265306647,25
19,-0.05297826301631081,0.7834387750924343,2.1484939040447437,0.24904277569963895,0.7654596540266352,25
20,-0.055343053571474954,0.7324197527217978,2.0986403291610247,0.24268909198632405,0.7484696331779257,25
21,-0.05784828523600949,0.6839333635372489,2.0503313894056863,0.23636773830214164,0.7314626926593311,25
22,-0.06057678186026072,0.6371303242831936,2.0034963927603426,0.23007854996374943,0.7144403642331483,25
23,-0.06329738724754685,0.5944501582842281,1.9580688961240393,0.22382136312820222,0.6974041820622988,25
24,-0.06601012424410801,0.5553675810104568,1.9139863908144172,0.21759601478864998,0.6803556820229031,25
25,-0.06871501562981586,0.5194429040717218,1.871190015595988,0.21140234277006686,0.6632964010170987,25
26,-0.07141208411837119,0.48630528262149364,1.8296242944648113,0.2052401857249877,0.6462278762868073,25
27,-0.07410135235749271,0.45563974906797694,1.7892368967334027,0.1991093831292774,0.6291516447290473,25
28,-0.07678284292910931,0.42717707095391416,1.7499784172341801,0.1930097752779265,0.6120692422136842,25
29,-0.07945657834955577,0.4006857404946469,1.7118021747001513,0.18694120328084418,0.594982202904112,25
30,-0.08212258106976256,0.37596559076418007,1.6746640265931592,0.1809035090587059,0.577892058581716,25
31,-0.08478087347544994,0.35284266577595386,1.6385221988349699,0.17489653533878768,0.5608003379747286,25
32,-0.08743147788730621,0.33116506623155506,1.6033371290609113,0.16892012565087433,0.5437085660921672,25
33,-0.09007441656119708,0.3107995610973711,1.569071322158757,0.16297412432310798,0.5266182635634121,25
34,-0.09270971168833986,0.2916288052107579,1.5356892169848266,0.1570583764779383,0.5095309459842909,25
35,-0.09533738539549941,0.27354904012053216,1.5031570632605904,0.15117272802804194,0.49244812327008436,25
36,-0.09795745974517389,0.2564681830026884,1.471442807754244,0.14531702567229066,0.47537129901620406,25
37,-0.10056995673578095,0.24030422932186302,1.4405159889403683,0.139491116891729,0.4583019698670807,25
38,-0.10317489830185111,0.22498391074612983,1.41034763940974,0.13369484994556124,0.44124162489385543,25
39,-0.10577230631420664,0.21044156196231148,1.3809101953724534,0.12792807386718685,0.424191744981513,25
40,-0.10836220258015083,0.1966181594154129,1.3521774126597466,0.12219063846023648,0.40715380222592135,25
41,-0.11094460884365742,0.18346050229152694,1.3241242886866194,0.11648239429462048,0.39012925934128356,25
42,-0.11351954678554832,0.17092051177858136,1.2967269898876124,0.11080319270262762,0.3731195690787036,25
43,-0.11608703802368237,0.15895462914533795,1.2699627841829135,0.10515288577501547,0.3561261736561177,25
44,-0.1186471041131415,0.14752329675416617,1.2438099780726788,0.0995313263571298,0.33915050420018666,25
45,-0.12119976654640663,0.1365905089755937,1.2182478579938056,0.09393836804505074,0.32219398020063084,25
46,-0.1237450467535487,0.12612342226162931,1.19325663560575,0.08837386518175006,0.30525800897731664,25
47,-0.12628296610240375,0.11609201548128742,1.373037619414359,0.08283767285327559,0.28834398516063153,25
48,-0.12881354589876126,0.10646879311852904,1.3445394310136363,0.07732964688494359,0.27145329018539077,25
49,-0.13133680738654008,0.09722852515239658,1.3167120733535211,0.07184964383756309,0.25458729179873385,25
50,-0.1338527717479715,0.08834801843679614,1.2895321355267586,0.0663975210036758,0.23774734358233535,25
51,-0.13636146010378292,0.079805915217763,1.26297728343678,0.060973136403803085,0.22093478448913456,25
52,-0.13886289351336234,0.07158251510302856,1.2370261985902773,0.055576348782754526,0.20415093839509305,25
53,-0.14135709297496124,0.06365961735956784,1.2116585210174744,0.05020701760587687,0.18739711366585285,25
54,-0.14384407942585387,0.05602038088195406,1.1868547959995703,0.04486500305540719,0.1706746027390159,25
55,-0.14632387374252376,0.048649199563656806,1.1625964243098827,0.03955016602679007,0.15398468172185664,25
56,-0.1487964967408374,0.04153159113029725,1.1388656157014556,0.03426236812503736,0.13732861000485613,25
57,-0.1512619691762277,0.03465409776837315,1.1156453453965938,0.029001471661091793,0.12070762989113824,25
58,-0.15372031174385947,0.02800419711469812,1.092919313354794,0.02376733964822897,0.10412296624204173,25
59,-0.15617154507881714,0.02157022236774631,1.0706719061141579,0.018559835798456437,0.08757582613876762,25
60,-0.15861568975627238,0.01534129044863176,1.2308796439121843,0.013378824518944121,0.07106739856040045,25
61,-0.1610527662916612,0.009307237281088745,1.205754267377877,0.008224170908471384,0.054598854078177966,25
62,-0.16348279514085895,0.003458559380743025,1.1811836502917084,0.003095740753890519,0.03817134456624203,25
63,-0.1659057967003551,-0.0022136389524066297,1.157149619937952,-0.002006599473396209,0.02178600292865963,25
64,-0.1683217913074221,-0.0077176934555022725,1.1336347887591778,-0.00708298262092788,0.0054439428429828495,25
65,-0.170730799240294,-0.013061423279102358,1.1106225124055744,-0.012133540858673353,-0.010853741479922128,25
66,-0.17313284071833646,-0.018252170392899433,1.088096850445533,-0.01715840568249638,-0.027105975519667886,25
67,-0.17552793590221571,-0.023296835438553768,1.0660425295426061,-0.022157707917596414,-0.04331170465388183,25
68,-0.17791610489407406,-0.028201910397834536,1.044444908920014,-0.027131577721940192,-0.059469894349561306,25
69,-0.1802973677377001,-0.03297350840128858,1.0232899479486635,-0.03208014458967645,-0.07557953033836118,25
70,-0.1826717444186966,-0.03761739096523487,1.0025641757079127,-0.03700353735452366,-0.09163961877592014,25
71,-0.185039254864654,-0.042138992912276456,0.9822546623802666,-0.04190188419315488,-0.1076491863853934,25
