behavior_id,cost_bp_one_way,max_drawdown,calmar,win_loss_ratio,return,sharpe,closed_trades
CORE-H4,5,-0.048985366338316294,0.8243516051227302,2.129610013069369,0.24168905822441578,0.807812234099695,25
CORE-H4,10,-0.05578823463645166,0.6370687223195565,1.892212615146593,0.21042671757917342,0.7177044521498817,25
CORE-H4,15,-0.06592102639416575,0.46606182905806587,1.6881017320375027,0.17995174222442278,0.6265199087460754,25
CORE-H4,20,-0.07737714874976298,0.3350868100460594,1.5107351506444142,0.15024428044826688,0.5344908956686217,25
CORE-H5,5,-0.0363661389838702,1.5177090960302675,2.11364814844673,0.3414832610103573,1.000697147096774,25
CORE-H5,10,-0.03942485632541515,1.2754411205531404,1.8813249796441194,0.30770837477952706,0.9173577847493389,25
CORE-H5,15,-0.04469412290241359,1.015744911654014,1.6810774884886583,0.27478413416766156,0.8332200279238894,25
CORE-H5,20,-0.055343053571474954,0.7324197527217978,2.0986403291610247,0.24268909198632405,0.7484696331779257,25
CORE-H6,5,-0.06653912500737247,0.7800723084824058,2.4080829947215365,0.3187847973555673,0.9236494662678367,24
CORE-H6,10,-0.07212312476339433,0.6544777000971962,2.151727734036325,0.2868676216243753,0.8455049915939321,24
CORE-H6,15,-0.07767372634669711,0.5474397945450055,1.9310351084431674,0.25572318724136367,0.7666485774116923,24
CORE-H6,20,-0.08319113223070851,0.4551130256683632,1.7390473181662733,0.22533276363653654,0.6872394739534234,24
