state_id,signal_id,frequency,name,namespace,s001_reference_function,state_primary,horizon,episode_count,coverage_years,max_year_share,positive_years,negative_years,year_sign_consistency,forward_bias,evidence_quality,behavior_sha256,event_count,raw_return_mean,raw_return_median,net_return_mean,net_return_median,net_win_rate,net_return_std,standardized_effect,mfe_mean,mfe_median,mae_mean,mae_median
STATE-5761FD934E16D5D7,SIG-30M-CB5BD470E25B32F0,30m,adtm_up_dw_line_V230603,adtm,False,看多,1,170,6,0.2,2,4,0.6666666666666666,NEGATIVE,OK,5aecfff601f3d491efa8e23209859a14c9b2973922efe150a5d32cb32cb68423,170,0.00069347120474268,-0.0003254398511840506,-0.0003067221697747039,-0.0013246148238463817,0.4235294117647059,0.011010927524696703,-0.027856160989775707,0.008363571501735842,0.006041410687471105,-0.007273069437839697,-0.005334419027485826
STATE-5761FD934E16D5D7,SIG-30M-CB5BD470E25B32F0,30m,adtm_up_dw_line_V230603,adtm,False,看多,3,170,6,0.2,3,3,0.5,POSITIVE,OK,5aecfff601f3d491efa8e23209859a14c9b2973922efe150a5d32cb32cb68423,170,0.001830600345319371,0.0033081967074678476,0.0008292704099418441,0.0023053899141571854,0.5705882352941176,0.021973713080586255,0.03773920260543055,0.015258165794438172,0.011699890736199592,-0.014462434106758366,-0.009953405790753878
STATE-5761FD934E16D5D7,SIG-30M-CB5BD470E25B32F0,30m,adtm_up_dw_line_V230603,adtm,False,看多,5,170,6,0.2,4,2,0.6666666666666666,POSITIVE,OK,5aecfff601f3d491efa8e23209859a14c9b2973922efe150a5d32cb32cb68423,170,0.0029481246534823697,0.004633738248928987,0.0019456777522796039,0.003629606576516231,0.5470588235294118,0.03586424434042393,0.05425118493536912,0.02104631895620881,0.015533543561676022,-0.019422543758823064,-0.01312283113572188
STATE-5761FD934E16D5D7,SIG-30M-CB5BD470E25B32F0,30m,adtm_up_dw_line_V230603,adtm,False,看多,10,170,6,0.2,4,2,0.6666666666666666,POSITIVE,OK,5aecfff601f3d491efa8e23209859a14c9b2973922efe150a5d32cb32cb68423,169,0.0058657967203469465,0.00561797752808979,0.0048604336051842915,0.004612862108271942,0.5443786982248521,0.045484561881308956,0.10685897377372777,0.03176930934546654,0.02255389718076284,-0.028367131057986918,-0.02192749778956682
STATE-5761FD934E16D5D7,SIG-30M-CB5BD470E25B32F0,30m,adtm_up_dw_line_V230603,adtm,False,看多,20,170,6,0.2,3,3,0.5,POSITIVE,OK,5aecfff601f3d491efa8e23209859a14c9b2973922efe150a5d32cb32cb68423,168,0.0046898660323532,0.0031110299280711073,0.0036856782602070377,0.002108420203005723,0.5059523809523809,0.0674599906585755,0.05463502476394896,0.047190578407037546,0.033399337076196134,-0.045905191810363476,-0.03447294459584771
STATE-456BDC04EC163D6B,SIG-30M-CB5BD470E25B32F0,30m,adtm_up_dw_line_V230603,adtm,False,看空,1,171,6,0.19883040935672514,1,5,0.8333333333333334,NEGATIVE,OK,19c670b9086206b2e56cfe4dbb5951aa1fca6252050bf2e86e69a940cc6b6d27,171,0.0002474144938730864,0.0003292723081989024,-0.0007523330468503214,-0.0006705570494305313,0.47368421052631576,0.013367185262085138,-0.05628208423087011,0.009059531857787672,0.007090493931018127,-0.008554512287747928,-0.005707921481275191
STATE-456BDC04EC163D6B,SIG-30M-CB5BD470E25B32F0,30m,adtm_up_dw_line_V230603,adtm,False,看空,3,171,6,0.19883040935672514,2,4,0.6666666666666666,NEGATIVE,OK,19c670b9086206b2e56cfe4dbb5951aa1fca6252050bf2e86e69a940cc6b6d27,171,-0.0007776790822952407,0.0007780890133830543,-0.0017764020417331168,-0.00022218893665515438,0.49707602339181284,0.021875159348282165,-0.08120635893208321,0.014933613240433859,0.011054192504718285,-0.016299579296342136,-0.01148225469728592
STATE-456BDC04EC163D6B,SIG-30M-CB5BD470E25B32F0,30m,adtm_up_dw_line_V230603,adtm,False,看空,5,171,6,0.19883040935672514,3,3,0.5,NEGATIVE,OK,19c670b9086206b2e56cfe4dbb5951aa1fca6252050bf2e86e69a940cc6b6d27,171,0.0008220782366935692,0.000876270592358841,-0.00017824368058437731,-0.00012410549019215011,0.49707602339181284,0.027400204543609204,-0.006505195255046032,0.019299025340966055,0.015336590662323513,-0.021156324612393005,-0.014180478821362752
STATE-456BDC04EC163D6B,SIG-30M-CB5BD470E25B32F0,30m,adtm_up_dw_line_V230603,adtm,False,看空,10,171,6,0.19883040935672514,3,3,0.5,POSITIVE,OK,19c670b9086206b2e56cfe4dbb5951aa1fca6252050bf2e86e69a940cc6b6d27,170,0.0029825600697747463,0.0029549377052981995,0.0019800787503647874,0.0019524839944484729,0.5117647058823529,0.04889535366876154,0.040496255815607854,0.03043693340509184,0.020687066524664233,-0.030038993617651104,-0.0200648757083986
STATE-456BDC04EC163D6B,SIG-30M-CB5BD470E25B32F0,30m,adtm_up_dw_line_V230603,adtm,False,看空,20,171,6,0.19883040935672514,2,4,0.6666666666666666,NEGATIVE,OK,19c670b9086206b2e56cfe4dbb5951aa1fca6252050bf2e86e69a940cc6b6d27,168,0.0009110106907679176,-0.0005892329208490588,-8.940011452010643e-05,-0.0015881442322723816,0.48214285714285715,0.06687666120324358,-0.0013367909359053116,0.045563330709632845,0.033137860449984125,-0.048409479864146406,-0.032850613733235
