risk_budget_fraction,strategy_sleeve_cash,cash_reserve,cagr,total_return,max_drawdown,calmar,closed_trades,return_gate,drawdown_gate,primary_gate,se_sleeve_replay_audit
0.5,50000.0,50000.0,0.1669717604285239,1.3208044945000004,-0.11597476846792243,1.439724887010288,73,PASS,PASS,PASS,PASS
0.6,60000.0,40000.0,0.1902787389185574,1.5850288900000011,-0.1370453474088712,1.3884363279467327,73,PASS,PASS,PASS,PASS
0.65,65000.0,35000.0,0.20122032667131928,1.7172721860000002,-0.14738725111852047,1.3652491999427365,73,PASS,PASS,PASS,PASS
0.7,70000.0,30000.0,0.21171201787291682,1.849216058000001,-0.1575441691142213,1.343826426983935,73,PASS,FAIL,FAIL,PASS
0.75,75000.0,25000.0,0.2218224628054961,1.9812701770000003,-0.16749379316947144,1.3243622859567967,73,PASS,FAIL,FAIL,PASS
0.8,80000.0,20000.0,0.23156631092812452,2.113224130500001,-0.17734973482575134,1.3057042975318895,73,PASS,FAIL,FAIL,PASS
