path_id,information_family,regime,discovery_n,discovery_ic,discovery_pvalue,same_direction_discovery_years,annual_discovery_json,confirmation_n,confirmation_ic,discovery_fdr_q,other_regime_ic,absolute_regime_ic_gap,minimum_annual_observations,role,validated
MARKET_STRUCTURE:trend,MARKET_STRUCTURE,trend,358,0.15105993019497113,0.004174725263164459,3,"{""2021"": {""ic"": 0.05968340894066618, ""n"": 114}, ""2022"": {""ic"": 0.18727985665210628, ""n"": 139}, ""2023"": {""ic"": 0.24146376255433266, ""n"": 105}}",262,0.06475017997163125,0.07514505473696026,0.09634361056488625,0.054716319630084886,105,OPPORTUNITY,True
VOLUME_LIQUIDITY:range,VOLUME_LIQUIDITY,range,340,0.12046417138577473,0.026339862534866098,2,"{""2021"": {""ic"": 0.21695398637357394, ""n"": 100}, ""2022"": {""ic"": 0.11103049916446446, ""n"": 103}, ""2023"": {""ic"": -0.019458701483360083, ""n"": 137}}",384,0.10072509720254894,0.17932452862211679,0.11479333128750821,0.005670840098266516,100,OPPORTUNITY,False
VOLUME_LIQUIDITY:trend,VOLUME_LIQUIDITY,trend,358,0.11479333128750821,0.029887421437019463,2,"{""2021"": {""ic"": -0.04672040311128531, ""n"": 114}, ""2022"": {""ic"": 0.10809944263959378, ""n"": 139}, ""2023"": {""ic"": 0.24587121682851146, ""n"": 105}}",262,-0.06400542397531178,0.17932452862211679,0.12046417138577473,0.005670840098266516,105,OPPORTUNITY,False
MARKET_STRUCTURE:range,MARKET_STRUCTURE,range,340,0.09634361056488625,0.07605072608537351,3,"{""2021"": {""ic"": 0.03292269675589462, ""n"": 100}, ""2022"": {""ic"": 0.12578551811450742, ""n"": 103}, ""2023"": {""ic"": 0.1757884605470835, ""n"": 137}}",384,0.00490080306998578,0.25725457543580876,0.15105993019497113,0.054716319630084886,100,OPPORTUNITY,False
TREND_MOMENTUM:range,TREND_MOMENTUM,range,340,0.09581890084841842,0.07766999850193768,2,"{""2021"": {""ic"": -0.0289158785451386, ""n"": 100}, ""2022"": {""ic"": 0.22465045838755174, ""n"": 103}, ""2023"": {""ic"": 0.06751314315483987, ""n"": 137}}",384,0.018046096008782143,0.25725457543580876,0.08555482812274763,0.010264072725670786,100,OPPORTUNITY,False
POSITION_VALUATION:range,POSITION_VALUATION,range,340,0.09332526137193943,0.08575152514526958,3,"{""2021"": {""ic"": 0.008228611552981184, ""n"": 100}, ""2022"": {""ic"": 0.09921247099299732, ""n"": 103}, ""2023"": {""ic"": 0.15757528254060602, ""n"": 137}}",384,0.07268956382367722,0.25725457543580876,-0.020864147236473767,0.1141894086084132,100,OPPORTUNITY,False
TREND_MOMENTUM:trend,TREND_MOMENTUM,trend,358,0.08555482812274763,0.1060778022141096,2,"{""2021"": {""ic"": -0.05837699621227963, ""n"": 114}, ""2022"": {""ic"": 0.17161079331367368, ""n"": 139}, ""2023"": {""ic"": 0.2276895535641718, ""n"": 105}}",262,0.008777841346313596,0.2727714914077104,0.09581890084841842,0.010264072725670786,105,OPPORTUNITY,False
CALENDAR_SEASONALITY:trend,CALENDAR_SEASONALITY,trend,358,0.0724284647081797,0.17149535772453806,2,"{""2021"": {""ic"": 0.1997539694760323, ""n"": 114}, ""2022"": {""ic"": -0.017957994712344355, ""n"": 139}, ""2023"": {""ic"": 0.062097935242537323, ""n"": 105}}",262,-0.0009537275340461396,0.38586455488021065,0.04988887044102238,0.022539594267157313,105,OPPORTUNITY,False
VOLATILITY_RISK:range,VOLATILITY_RISK,range,340,0.06331517104213702,0.24428496944878794,2,"{""2021"": {""ic"": -0.07940906857918674, ""n"": 100}, ""2022"": {""ic"": 0.11420005974769531, ""n"": 103}, ""2023"": {""ic"": 0.11793780596860369, ""n"": 137}}",384,0.009404183593037158,0.48856993889757594,0.018111655247922485,0.045203515794214534,100,OPPORTUNITY,False
MARKET_BREADTH:trend,MARKET_BREADTH,trend,333,0.05319244188791937,0.3331910906463337,2,"{""2021"": {""ic"": 0.17312497736941138, ""n"": 89}, ""2022"": {""ic"": -0.01445563537338205, ""n"": 139}, ""2023"": {""ic"": 0.05387110670700373, ""n"": 105}}",262,0.0552187823648858,0.4972100215522068,0.0448470352513509,0.008345406636568471,89,OPPORTUNITY,False
FUNDAMENTAL_EXPECTATION:trend,FUNDAMENTAL_EXPECTATION,trend,358,0.050942559930280566,0.3364859341941809,1,"{""2021"": {""ic"": -0.1433511680500633, ""n"": 114}, ""2022"": {""ic"": 0.15340065148310927, ""n"": 139}, ""2023"": {""ic"": -0.02930600575956041, ""n"": 105}}",262,0.013222415608227968,0.4972100215522068,-0.055614527761716236,0.1065570876919968,105,OPPORTUNITY,False
CALENDAR_SEASONALITY:range,CALENDAR_SEASONALITY,range,340,0.04988887044102238,0.3590961266765938,2,"{""2021"": {""ic"": -0.014636846864003935, ""n"": 100}, ""2022"": {""ic"": 0.1041777840416233, ""n"": 103}, ""2023"": {""ic"": 0.031748977992592166, ""n"": 137}}",384,-0.03158768550204154,0.4972100215522068,0.0724284647081797,0.022539594267157313,100,OPPORTUNITY,False
FUNDAMENTAL_EXPECTATION:range,FUNDAMENTAL_EXPECTATION,range,339,-0.055614527761716236,0.3072637745916443,2,"{""2021"": {""ic"": -0.027509457906508123, ""n"": 99}, ""2022"": {""ic"": -0.027378151000677795, ""n"": 103}, ""2023"": {""ic"": 0.024060394097894053, ""n"": 137}}",384,0.005634247290165676,0.4972100215522068,0.050942559930280566,0.1065570876919968,99,VETO,False
MARKET_BREADTH:range,MARKET_BREADTH,range,309,0.0448470352513509,0.4321374789916856,3,"{""2021"": {""ic"": 0.031241847595394126, ""n"": 69}, ""2022"": {""ic"": 0.02665781846475662, ""n"": 103}, ""2023"": {""ic"": 0.0526597708367225, ""n"": 137}}",384,-0.02124822799207322,0.5556053301321672,0.05319244188791937,0.008345406636568471,69,OPPORTUNITY,False
FUND_FLOW:range,FUND_FLOW,range,309,0.0405695103892845,0.4773636211808107,2,"{""2021"": {""ic"": 0.23070443096599, ""n"": 69}, ""2022"": {""ic"": 0.08598608032421856, ""n"": 103}, ""2023"": {""ic"": -0.018306574649965126, ""n"": 137}}",384,0.008670702097897564,0.5728363454169728,-0.02877236756835949,0.06934187795764399,69,OPPORTUNITY,False
FUND_FLOW:trend,FUND_FLOW,trend,337,-0.02877236756835949,0.5986541313181686,0,"{""2021"": {""ic"": 0.0039737460894676314, ""n"": 93}, ""2022"": {""ic"": 0.03397035952632528, ""n"": 139}, ""2023"": {""ic"": 0.032428234232633586, ""n"": 105}}",262,0.00012009969642595319,0.6734858977329397,0.0405695103892845,0.06934187795764399,93,VETO,False
VOLATILITY_RISK:trend,VOLATILITY_RISK,trend,358,0.018111655247922485,0.7327135437196199,2,"{""2021"": {""ic"": 0.015826478533953695, ""n"": 114}, ""2022"": {""ic"": 0.06800956666719951, ""n"": 139}, ""2023"": {""ic"": -0.00042840525000343704, ""n"": 105}}",262,0.07465217133618093,0.7327135437196199,0.06331517104213702,0.045203515794214534,105,OPPORTUNITY,False
POSITION_VALUATION:trend,POSITION_VALUATION,trend,358,-0.020864147236473767,0.6940016036336452,1,"{""2021"": {""ic"": -0.10975689831474619, ""n"": 114}, ""2022"": {""ic"": 0.1777549107283217, ""n"": 139}, ""2023"": {""ic"": 0.01124370885815847, ""n"": 105}}",262,0.08858392758477164,0.7327135437196199,0.09332526137193943,0.1141894086084132,105,VETO,False
