ts_code,symbol,name,exchange,list_status,list_date,delist_date
000540.SZ,000540,*ST中天(退),SZSE,D,1994-02-02,2023-06-30
600068.SH,600068,葛洲坝(退),SSE,D,1997-05-26,2021-09-13
