trade_year,trades,stress_mean,total_return
2021,25,-0.002674450124878489,-0.06676515935119054
2022,46,-0.0009084171967077293,-0.044945520335252676
2023,38,-0.0009722678206813361,-0.038689938550361846
2024,49,-0.000627350163277178,-0.03877403947256619
2025,39,0.0023049593126768155,0.08345773942512613
2026,35,-0.00014604345735782826,-0.017813159014120283
