family,configuration,cost_bps_one_way,period,annualized_return,max_drawdown,calmar,entries,exposure,annual_turnover,positive_years,evaluated_years,worst_year,top2_positive_year_concentration
BUY_HOLD,always_long,10,FULL,0.0721479157012328,0.23232682060390586,0.31054492767426894,1,1.0,0.08756892831455286,9,12,-0.10146698723477576,0.41172218280889294
BUY_HOLD,always_long,10,P1,0.006567933955107019,0.23232682060390586,0.02827023560187523,1,1.0,0.22644141351518907,3,5,-0.10146698723477576,0.999999999999995
BUY_HOLD,always_long,10,P2,0.07251410452129492,0.20919540229885003,0.3466333567776195,0,1.0,0.0,3,4,-0.06775700934579398,0.9111413217658814
BUY_HOLD,always_long,10,P3,0.17707789251949846,0.10847288177955416,1.6324623225127177,0,1.0,0.0,3,3,0.09746588693957192,0.8179715183693408
BUY_HOLD,always_long,30,FULL,0.07196013915370014,0.23232682060390508,0.30973668458359044,1,1.0,0.08756892831455286,9,12,-0.10326244178022992,0.41172218280889294
BUY_HOLD,always_long,30,P1,0.006112132987174279,0.23232682060390508,0.026308339998311597,1,1.0,0.22644141351518907,3,5,-0.10326244178022992,0.999999999999995
BUY_HOLD,always_long,30,P2,0.07251410452129492,0.20919540229885003,0.3466333567776195,0,1.0,0.0,3,4,-0.06775700934579398,0.9111413217658814
BUY_HOLD,always_long,30,P3,0.17707789251949846,0.10847288177955416,1.6324623225127177,0,1.0,0.0,3,3,0.09746588693957192,0.8179715183693408
DONCHIAN,entry=120;exit=40,10,FULL,0.03977570208315817,0.14333105434010152,0.2775093106395271,8,0.3465275278877294,1.313533924718293,6,12,-0.03651586480615088,0.6520054120839011
DONCHIAN,entry=120;exit=40,10,P1,0.008641177412845868,0.07563834300424765,0.11424334629277379,1,0.12950971322849214,0.45288282703037813,1,5,0.0,1.0
DONCHIAN,entry=120;exit=40,10,P2,0.024283460803913748,0.14333105434010163,0.16942218778557916,4,0.3237410071942446,2.0027416038382455,2,4,-0.03651586480615088,1.0
DONCHIAN,entry=120;exit=40,10,P3,0.10994768727319637,0.07099902347272546,1.5485802747052313,3,0.7006896551724138,1.6739230064161321,3,3,0.01939746972075107,0.9426987602487601
DONCHIAN,entry=120;exit=40,30,FULL,0.03703822130862777,0.15007222176360235,0.2468026452421777,8,0.3465275278877294,1.313533924718293,6,12,-0.04417953561113486,0.6649424209769723
DONCHIAN,entry=120;exit=40,30,P1,0.0077027283965593885,0.07758367685821099,0.09928284799696468,1,0.12950971322849214,0.45288282703037813,1,5,0.0,1.0
DONCHIAN,entry=120;exit=40,30,P2,0.02018833228424355,0.15007222176360213,0.13452411143779,4,0.3237410071942446,2.0027416038382455,2,4,-0.04417953561113486,1.0
DONCHIAN,entry=120;exit=40,30,P3,0.10624106676793499,0.07472364104519069,1.421786536120255,3,0.7006896551724138,1.6739230064161321,3,3,0.013299419901284582,0.9594278299456899
DONCHIAN,entry=150;exit=40,10,FULL,0.03742563765006768,0.14333105434010107,0.26111325157256415,8,0.3317740194314502,1.313533924718293,6,12,-0.03651586480615088,0.6877867712370932
DONCHIAN,entry=150;exit=40,10,P1,0.008641177412845868,0.07563834300424765,0.11424334629277379,1,0.12950971322849214,0.45288282703037813,1,5,0.0,1.0
DONCHIAN,entry=150;exit=40,10,P2,0.022029572325298563,0.14333105434010174,0.15369713441879734,4,0.31963001027749227,2.0027416038382455,2,4,-0.03651586480615088,1.0
DONCHIAN,entry=150;exit=40,10,P3,0.10363380578155601,0.07086354647330229,1.4624417057732195,3,0.6496551724137931,1.6739230064161321,3,3,0.009547783570694302,0.9702295991782218
DONCHIAN,entry=150;exit=40,30,FULL,0.03469425726028397,0.1500722217636027,0.23118373841986015,8,0.3317740194314502,1.313533924718293,6,12,-0.04417953561113486,0.7033740485685815
DONCHIAN,entry=150;exit=40,30,P1,0.0077027283965593885,0.07758367685821099,0.09928284799696468,1,0.12950971322849214,0.45288282703037813,1,5,0.0,1.0
DONCHIAN,entry=150;exit=40,30,P2,0.01794421439387106,0.15007222176360246,0.1195705253310452,4,0.31963001027749227,2.0027416038382455,2,4,-0.04417953561113486,1.0
DONCHIAN,entry=150;exit=40,30,P3,0.09994682010927747,0.0712670116307288,1.4024275442774783,3,0.6496551724137931,1.6739230064161321,3,3,0.0055310759294211476,0.9821529969372588
