hypothesis,mechanism,entry_signal_count,information_families,family_count,frequencies,valid_start,valid_sessions,independent_cycles,complete_cycles,rolling_60_median,rolling_60_p10,exposure,median_holding_sessions,density_pass
CORE_CONTINUATION,30分钟结构向上、短均线多头且量价运动有效时参与；结构或趋势转空退出,3,MARKET_STRUCTURE|TREND_MOMENTUM|VOLUME_LIQUIDITY,3,30m,2021-02-18,1346,300,300,13.0,11.0,0.30683506686478457,2.0,True
DAILY_TREND_ALIGNMENT,只在日线短趋势同向时参与30分钟延续,4,MARKET_STRUCTURE|TREND_MOMENTUM|VOLUME_LIQUIDITY,3,30m|daily,2021-11-25,1158,161,161,9.0,6.0,0.18307426597582038,2.0,True
DAILY_VOLATILITY_FILTER,避开日线高波动状态后参与30分钟延续,4,MARKET_STRUCTURE|TREND_MOMENTUM|VOLATILITY_RISK|VOLUME_LIQUIDITY,4,30m|daily,2021-11-25,1158,137,137,8.0,2.0,0.1614853195164076,2.0,False
WEEKLY_STRUCTURE_ALIGNMENT,只在周线CZSC笔向上时参与30分钟延续,4,MARKET_STRUCTURE|TREND_MOMENTUM|VOLUME_LIQUIDITY,3,30m|weekly,2021-11-19,1162,140,140,7.0,3.0,0.16953528399311532,2.0,True
PULLBACK_IN_UPTREND,日线与周线方向有利时参与30分钟相对低点修复,3,MARKET_STRUCTURE|POSITION_VALUATION|TREND_MOMENTUM,3,30m|daily|weekly,2021-11-25,1158,57,57,3.0,0.0,0.1079447322970639,3.0,False
QUIET_EXPANSION,非高波动环境中参与噪音减少、量能先缩后放且MACD向上的扩张,4,TREND_MOMENTUM|VOLATILITY_RISK|VOLUME_LIQUIDITY,3,30m|daily,2021-11-25,1158,60,60,3.0,0.0,0.12953367875647667,3.0,False
