trade_date,event_time,previous_close,opening_close,opening_return,opening_magnitude,shock_threshold,opening_volume,opening_volume_ratio,shock_side,is_opening_shock
2021-01-04,2021-01-04 09:45:00,1.9741529,1.987327,0.0066732926309811536,0.0066732926309811536,0.004686561564965242,88244024.25972173,1.8405580876197565,up,True
2021-01-08,2021-01-08 09:45:00,2.0316144,2.0147964,-0.008278145695364336,0.008278145695364336,0.004544009754405398,57081452.01569747,1.0540972277123357,down,True
2021-01-11,2021-01-11 09:45:00,2.0366598,2.0128343,-0.011698320946875618,0.011698320946875618,0.004544009754405398,51738851.23082412,0.9554378475241785,down,True
2021-01-21,2021-01-21 09:45:00,2.0268493,2.043387,0.008159314064444922,0.008159314064444922,0.003952258255277442,43376382.44737781,0.6403859675919952,up,True
2021-01-26,2021-01-26 09:45:00,2.0616065,2.0475915,-0.00679809653297081,0.00679809653297081,0.0038915722228000105,28614698.537281483,0.4385392253864276,down,True
2021-01-28,2021-01-28 09:45:00,2.0352583,2.020963,-0.007023825919294957,0.007023825919294957,0.003814759319205269,87966107.74170531,1.537101527940722,down,True
2021-02-01,2021-02-01 09:45:00,1.9688272,1.9803195,0.005837129840546629,0.005837129840546629,0.003814759319205269,58290046.37887977,1.0185481846690005,up,True
2021-02-09,2021-02-09 09:45:00,1.9618197,1.9741529,0.006286612373196165,0.006286612373196165,0.0031878219463000405,57636817.69532644,0.9787239198390966,up,True
2021-02-10,2021-02-10 09:45:00,2.0016223,1.9934936,-0.0040610558745274306,0.0040610558745274306,0.003405734329290661,196957188.7263646,3.397955949197244,down,True
2021-02-18,2021-02-18 09:45:00,2.0243266,2.0705761,0.02284685682636378,0.02284685682636378,0.003405734329290661,104329928.64787728,1.7999266948357098,up,True
2021-02-22,2021-02-22 09:45:00,2.0837502,2.0904774,0.0032284100080710587,0.0032284100080710587,0.0031878219463000405,155498394.57723868,2.6826981962990435,up,True
2021-02-24,2021-02-24 09:45:00,2.0588035,2.0655307,0.0032675289312458222,0.0032675289312458222,0.0031386525911799913,59493043.16803425,1.0263892436519635,up,True
2021-02-26,2021-02-26 09:45:00,2.0223645,1.981721,-0.02009702009702008,0.02009702009702008,0.003242101631182226,257308526.57866573,4.3251484222267536,down,True
2021-03-01,2021-03-01 09:45:00,1.9777968,1.9912512,0.006802721088435382,0.006802721088435382,0.003303006663254704,101290046.37887976,1.6555257829090677,up,True
2021-03-02,2021-03-02 09:45:00,2.0128343,2.004145,-0.004316947500348278,0.004316947500348278,0.003405734329290661,130192622.19051015,1.9301021801913916,down,True
2021-03-03,2021-03-03 09:45:00,1.9971375,2.0061071,0.004491228070175435,0.004491228070175435,0.003566986573153275,74775212.27256511,0.9831300457874836,up,True
2021-03-04,2021-03-04 09:45:00,2.023766,1.9993799,-0.01204986149584486,0.01204986149584486,0.003814759319205269,59915447.73457011,0.7738148746641806,down,True
2021-03-08,2021-03-08 09:45:00,1.9926527,2.0083495,0.007877338584892257,0.007877338584892257,0.003814759319205269,120537634.67713164,1.5567573672020503,up,True
2021-03-09,2021-03-09 09:45:00,1.9450017,1.9180929,-0.013834846519671373,0.013834846519671373,0.003991940945693201,343116874.7770246,3.8752916925235934,down,True
2021-03-12,2021-03-12 09:45:00,1.9318276,1.9186535,-0.006819500870574591,0.006819500870574591,0.003991940945693201,98386917.58829826,0.9569782077397423,down,True
2021-03-15,2021-03-15 09:45:00,1.9332291,1.9225777,-0.0055096418732781816,0.0055096418732781816,0.003991940945693201,53628255.44059936,0.5216249582135276,down,True
2021-03-17,2021-03-17 09:45:00,1.9214565,1.9074415,-0.00729394602479938,0.00729394602479938,0.004150617943564728,89400285.40849091,0.8695680990804262,down,True
2021-03-19,2021-03-19 09:45:00,1.9469638,1.9351912,-0.006046645551396446,0.006046645551396446,0.0043779456997877835,58767392.079914376,0.6258934702906161,down,True
2021-03-22,2021-03-22 09:45:00,1.9309867,1.950888,0.010306285382493785,0.010306285382493785,0.004502337114871957,64325008.91901534,0.6850840514421549,up,True
2021-03-26,2021-03-26 09:45:00,1.9169717,1.9287443,0.0061412487205732,0.0061412487205732,0.004847672901261398,113417923.65322869,1.2079409229516873,up,True
2021-03-31,2021-03-31 09:45:00,1.9489259,1.9343503,-0.007478786135481141,0.007478786135481141,0.005556665191581628,40671780.235462,0.46666464723537115,down,True
2021-04-06,2021-04-06 09:45:00,1.9640621,1.9744332,0.005280433851862387,0.005280433851862387,0.004847672901261398,66113635.39065287,0.790598813482241,up,True
2021-04-14,2021-04-14 09:45:00,1.9321079,1.9436002,0.00594806325257502,0.00594806325257502,0.004386594951582229,50021405.63681769,0.7601706987403292,up,True
2021-04-15,2021-04-15 09:45:00,1.9497668,1.9354715,-0.00733179988499133,0.00733179988499133,0.004514512602543214,57789154.477345705,0.8903165740122682,down,True
2021-04-21,2021-04-21 09:45:00,2.0002208,1.9853649,-0.007427130044843078,0.007427130044843078,0.004810692796734601,58392793.43560472,0.9613752691285413,down,True
2021-04-26,2021-04-26 09:45:00,2.0119934,2.0226448,0.00529395374756203,0.00529395374756203,0.005227384670970492,56305740.27827328,0.9741658243596035,up,True
2021-05-11,2021-05-11 09:45:00,2.0122737,1.9912512,-0.01044713748432935,0.01044713748432935,0.004514512602543214,47152975.38351766,0.8158105533907253,down,True
2021-05-19,2021-05-19 09:45:00,2.0534778,2.040584,-0.0062790062790063494,0.0062790062790063494,0.004558285629433834,57790938.28041384,1.0128593267400476,down,True
2021-05-20,2021-05-20 09:45:00,2.0501142,2.0290917,-0.010254306808859748,0.010254306808859748,0.004558285629433834,59539850.16054228,1.0436736794212143,down,True
2021-06-10,2021-06-10 09:45:00,2.0885153,2.099447,0.0052341967521138955,0.0052341967521138955,0.004154144001756221,46609347.12807706,0.8701408985403963,up,True
2021-06-15,2021-06-15 09:45:00,2.1047727,2.0887956,-0.007590890930882832,0.007590890930882832,0.004051690652278484,55214769.88940421,1.1509193329491159,down,True
2021-07-01,2021-07-01 09:45:00,2.1297194,2.1176665,-0.005659384048433802,0.005659384048433802,0.0035769589144493074,45050660.00713521,1.0146479823870667,down,True
2021-07-05,2021-07-05 09:45:00,2.0879547,2.1025303,0.006980802792321272,0.006980802792321272,0.0036147689109866433,50201926.5073136,1.0953943399384254,up,True
2021-07-12,2021-07-12 09:45:00,2.1344845,2.1552267,0.00971766250820738,0.00971766250820738,0.0035769589144493074,89198002.14056368,2.044843562785486,up,True
2021-07-16,2021-07-16 09:45:00,2.1759689,2.1838173,0.0036068530207393756,0.0036068530207393756,0.0033994961212686363,39603638.95825901,0.9079042606700771,up,True
2021-07-19,2021-07-19 09:45:00,2.1790522,2.1712038,-0.0036017494211475487,0.0036017494211475487,0.003524779509899362,60278630.03924367,1.4297222398510714,down,True
2021-07-21,2021-07-21 09:45:00,2.1692417,2.1818552,0.0058147047422147935,0.0058147047422147935,0.003524779509899362,33933999.28647877,0.7779290828865743,up,True
2021-07-26,2021-07-26 09:45:00,2.2020368,2.1885824,-0.006109979633401208,0.006109979633401208,0.0033994961212686363,63647613.27149483,1.4773420964789004,down,True
2021-07-27,2021-07-27 09:45:00,2.1613933,2.1759689,0.006743613020360639,0.006743613020360639,0.003524779509899362,56330959.68605066,1.2646598632672257,up,True
2021-07-28,2021-07-28 09:45:00,2.1201892,2.0652504,-0.025912215758857715,0.025912215758857715,0.0035756103187709666,637083481.983589,14.302861405265375,down,True
2021-07-29,2021-07-29 09:45:00,2.088235,2.113462,0.012080536912751683,0.012080536912751683,0.0036030980168258895,204437745.27292183,4.517061981223544,up,True
2021-08-09,2021-08-09 09:45:00,2.183537,2.175128,-0.0038510911424902705,0.0038510911424902705,0.0033622928513562913,32544416.69639672,0.5581773638525608,down,True
2021-08-13,2021-08-13 09:45:00,2.2325895,2.2230593,-0.004268675455116111,0.004268675455116111,0.0033622928513562913,39427399.21512665,0.7856797905725961,down,True
2021-08-20,2021-08-20 09:45:00,2.1869006,2.1700826,-0.007690335811330273,0.007690335811330273,0.0032695387371764364,95523353.5497681,2.228901747192281,down,True
2021-08-23,2021-08-23 09:45:00,2.1773704,2.191946,0.006694129763130885,0.006694129763130885,0.0033622928513562913,38435961.46985373,0.7843254021482243,up,True
2021-08-30,2021-08-30 09:45:00,2.2575362,2.2653846,0.0034765333995530057,0.0034765333995530057,0.003289138715153989,39281840.884766325,1.0109164692704602,up,True
2021-09-03,2021-09-03 09:45:00,2.3037857,2.3178007,0.006083465141744515,0.006083465141744515,0.0032557676492229464,48341419.90724224,1.2650826734762155,up,True
2021-09-07,2021-09-07 09:45:00,2.3119144,2.3248082,0.005577109602327823,0.005577109602327823,0.003256315138668065,47765251.51623261,1.2160013078603313,up,True
2021-09-14,2021-09-14 09:45:00,2.4058149,2.3878757,-0.007456600256320778,0.007456600256320778,0.003130694036308196,30933642.525865145,0.738620151721798,down,True
2021-09-16,2021-09-16 09:45:00,2.3892771999999995,2.4058149,0.006921633036133468,0.006921633036133468,0.003179102749028656,42621833.74955405,1.0454975059070624,up,True
