event_id,window,signal_date,execution_date,event_type,regime,baseline_episode_id,path_mechanism,block_label,baseline_score,ex04_score,baseline_enter_threshold,ex04_enter_threshold,baseline_exit_threshold,ex04_exit_threshold,baseline_margin,ex04_margin,weights_only_condition,thresholds_only_condition
2021H1:missed_baseline_entry:20210106,2021H1,2021-01-06,2021-01-07,missed_baseline_entry,warmup,2021H1:E001,late_entry,threshold_block,0.15,0.1550743202949186,0.15,0.175,0.0,0.025,0.0,-0.019925679705081384,True,False
2021H1:missed_baseline_entry:20210415,2021H1,2021-04-15,2021-04-16,missed_baseline_entry,downtrend,2021H1:E003,late_entry,threshold_block,0.15,0.166968373735133,0.15,0.175,0.0,0.025,0.0,-0.008031626264866976,True,False
2021H2:missed_baseline_entry:20210723,2021H2,2021-07-23,2021-07-26,missed_baseline_entry,uptrend,2021H2:E002,late_entry,independent_double_block,0.15,0.1431802668547042,0.15,0.175,0.0,0.025,0.0,-0.03181973314529579,False,False
2021H2:missed_baseline_entry:20210831,2021H2,2021-08-31,2021-09-01,missed_baseline_entry,sideways,2021H2:E005,fully_missed_entry,independent_double_block,0.15000000000000002,0.1184889088300129,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.05651109116998709,False,False
2021H2:missed_baseline_entry:20210910,2021H2,2021-09-10,2021-09-13,missed_baseline_entry,sideways,2021H2:E006,fully_missed_entry,independent_double_block,0.15000000000000002,0.14318026685470425,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.03181973314529574,False,False
2021H2:missed_baseline_entry:20210927,2021H2,2021-09-27,2021-09-28,missed_baseline_entry,downtrend,2021H2:E007,fully_missed_entry,independent_double_block,0.15000000000000002,0.14318026685470425,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.03181973314529574,False,False
2022H1:missed_baseline_entry:20220318,2022H1,2022-03-18,2022-03-21,missed_baseline_entry,downtrend,2022H1:E005,late_entry,threshold_block,0.15000000000000002,0.15537353007677404,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.019626469923225948,True,False
2022H1:missed_baseline_entry:20220429,2022H1,2022-04-29,2022-05-05,missed_baseline_entry,downtrend,2022H1:E006,late_entry,threshold_block,0.15000000000000002,0.16696837373513307,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.00803162626486692,True,False
2022H2:missed_baseline_entry:20220916,2022H2,2022-09-16,2022-09-19,missed_baseline_entry,sideways,2022H2:E003,fully_missed_entry,independent_double_block,0.15000000000000002,0.14227701571044177,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.03272298428955822,False,False
2022H2:missed_baseline_entry:20221125,2022H2,2022-11-25,2022-11-28,missed_baseline_entry,sideways,2022H2:E005,fully_missed_entry,independent_double_block,0.15000000000000002,0.14227701571044177,0.15,0.175,0.0,0.025,2.7755575615628914e-17,-0.03272298428955822,False,False
