event_id,window,signal_date,event_type,group,baseline_weighted_contribution,ex04_weighted_contribution
2024H1:missed_baseline_entry:20240328,2024H1,2024-03-28,missed_baseline_entry,volume_position,0.4,0.38060971008686123
2024H1:missed_baseline_entry:20240531,2024H1,2024-05-31,missed_baseline_entry,structure,-0.049999999999999996,-0.03568216032064323
2024H1:missed_baseline_entry:20240531,2024H1,2024-05-31,missed_baseline_entry,trend,0.0,0.012345679012345678
2024H1:missed_baseline_entry:20240531,2024H1,2024-05-31,missed_baseline_entry,volume_position,0.2,0.19030485504343062
2024H2:missed_baseline_entry:20240710,2024H2,2024-07-10,missed_baseline_entry,structure,-0.049999999999999996,-0.03568216032064323
2024H2:missed_baseline_entry:20240710,2024H2,2024-07-10,missed_baseline_entry,trend,0.0,0.012345679012345678
2024H2:missed_baseline_entry:20240710,2024H2,2024-07-10,missed_baseline_entry,volume_position,0.2,0.19030485504343062
2024H2:missed_baseline_entry:20240830,2024H2,2024-08-30,missed_baseline_entry,structure,-0.049999999999999996,-0.03568216032064323
2024H2:missed_baseline_entry:20240830,2024H2,2024-08-30,missed_baseline_entry,trend,0.0,0.012345679012345678
2024H2:missed_baseline_entry:20240830,2024H2,2024-08-30,missed_baseline_entry,volume_position,0.2,0.19030485504343062
2024H2:missed_baseline_entry:20241129,2024H2,2024-11-29,missed_baseline_entry,structure,0.0,-0.011894053440214408
2024H2:missed_baseline_entry:20241129,2024H2,2024-11-29,missed_baseline_entry,trend,0.14999999999999997,0.15507432029491863
2024H2:missed_baseline_entry:20241129,2024H2,2024-11-29,missed_baseline_entry,volume_position,0.0,0.0
2025H2:missed_baseline_entry:20251021,2025H2,2025-10-21,missed_baseline_entry,structure,0.09999999999999999,0.1070464809619297
2025H2:missed_baseline_entry:20251021,2025H2,2025-10-21,missed_baseline_entry,trend,-0.15,-0.13038296227022725
2025H2:missed_baseline_entry:20251021,2025H2,2025-10-21,missed_baseline_entry,volume_position,0.2,0.19030485504343062
2025H2:missed_baseline_entry:20251201,2025H2,2025-12-01,missed_baseline_entry,structure,-0.049999999999999996,-0.03568216032064323
2025H2:missed_baseline_entry:20251201,2025H2,2025-12-01,missed_baseline_entry,trend,0.0,0.012345679012345678
2025H2:missed_baseline_entry:20251201,2025H2,2025-12-01,missed_baseline_entry,volume_position,0.2,0.19030485504343062
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,early_ex04_exit,structure,0.0,-0.011894053440214415
2021H1:early_ex04_exit:20210616,2021H1,2021-06-16,early_ex04_exit,trend,-0.15,-0.1550743202949186
